BV号：BV1eM4y1V7vk
标题：BV1eM4y1V7vk
链接：https://www.bilibili.com/video/BV1eM4y1V7vk
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 22:41:56

[00:00:00 - 00:00:02] 大家好,我上学习面对更快乐的张雪凤老师
[00:00:02 - 00:00:05] 我们这期的议题是我们高号报局院的时候要不要出省
[00:00:05 - 00:00:07] 根据我们的调查结果
[00:00:07 - 00:00:12] 在我这边的朋友的百分之大概75的是想要出省的
[00:00:12 - 00:00:15] 那么将近25%的是觉得说还是留在本省好
[00:00:15 - 00:00:19] 实际上的话出省确确实是会长很多的见识
[00:00:19 - 00:00:21] 比如说我们在今天报局院的时候
[00:00:21 - 00:00:22] 有一个浙江的小孩儿
[00:00:22 - 00:00:23] 我印象非常的深
[00:00:23 - 00:00:24] 在刚才是给他报局院的时候
[00:00:24 - 00:00:26] 我们报到都是江州户的学校
[00:00:26 - 00:00:30] 但实际上这个男孩自己是想出去走一走的
[00:00:30 - 00:00:33] 他是觉得男孩子一定要多去长长见识
[00:00:33 - 00:00:36] 但实际上本省可能不受大家待见
[00:00:36 - 00:00:40] 但其实本省也有一些相对比较好的选择
[00:00:40 - 00:00:42] 他的理由比如说像东北的高校
[00:00:42 - 00:00:45] 他本省的学校实力都比较强
[00:00:45 - 00:00:46] 性价比相对比较高
[00:00:46 - 00:00:49] 你会发现在东北毕竟是老中工业基地
[00:00:49 - 00:00:50] 那有很多学校他的硕士点
[00:00:50 - 00:00:55] 博士点以及相关工科专业确实性价比是相对比较高的
[00:00:55 - 00:00:57] 那你像山东省它有一个很大的优势
[00:00:57 - 00:01:01] 就在于它本省内考研氛围特别特别的好
[00:01:01 - 00:01:03] 那如果说你在山东上学的话
[00:01:03 - 00:01:04] 那你考研的几率
[00:01:04 - 00:01:07] 考上研就上的几率都会大大的增加
[00:01:07 - 00:01:10] 因为你身边的同学都是那种特别努力的同学
[00:01:10 - 00:01:12] 这个跟我们周围的学习氛围是有关系的
[00:01:12 - 00:01:14] 所以说不过是本省还是外省呢
[00:01:14 - 00:01:16] 都有它选择的理由
[00:01:16 - 00:01:18] 大家应该根据自己的实际情况
[00:01:18 - 00:01:23] 去做一个比较正确或者是适合你的这么一个选择
[00:01:23 - 00:01:26] 那我们下一周的一题是关于一个老生常谈的问题
[00:01:26 - 00:01:28] 一本和二本的问题
[00:01:28 - 00:01:30] 那在有些省份
[00:01:30 - 00:01:32] 他还没有去实行新高好多改革
[00:01:32 - 00:01:34] 还是有一本和二本是说的
[00:01:34 - 00:01:37] 那有的时候你跟分就很尴尬了
[00:01:37 - 00:01:37] 对吧
[00:01:37 - 00:01:40] 你过了一本分的线没多少分
[00:01:40 - 00:01:42] 那你是上一个所谓的差
[00:01:42 - 00:01:42] 一本呢
[00:01:42 - 00:01:45] 还是上一个所谓的好二本呢
[00:01:45 - 00:01:48] 大家可以在积极的在我们评论当中
[00:01:48 - 00:01:49] 来转发起来来
[00:01:49 - 00:01:51] 评论起来说出你的观点
[00:01:51 - 00:01:54] 那參與討論就會有機會獲得我們的生學大禮包
