BV号：BV1VM6NY5Eya
标题：BV1VM6NY5Eya
链接：https://www.bilibili.com/video/BV1VM6NY5Eya
识别语言：zh
语言置信度：1
分段数：161
生成时间：2026-04-03 07:23:52

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 25年考研出事已经很尽了
[00:00:04 - 00:00:05] 大家准备的怎么样了呢
[00:00:05 - 00:00:08] 很多同学是越到考试就越焦虑
[00:00:08 - 00:00:10] 如果说你也有这个问题
[00:00:10 - 00:00:12] 张老师这里就要以三招告别焦虑
[00:00:12 - 00:00:14] 首先就是要掌握好节奏
[00:00:14 - 00:00:17] 保持学习和生活的平衡
[00:00:17 - 00:00:20] 长时间的学习和焦虑容易对身体造成负担
[00:00:20 - 00:00:21] 考研市场持久战
[00:00:21 - 00:00:23] 不能把自己皮得太狠
[00:00:23 - 00:00:25] 只要给自己定下合理的复习进度
[00:00:25 - 00:00:28] 按着目标一步一步的完成就可以了
[00:00:28 - 00:00:29] 学习超过40分钟
[00:00:29 - 00:00:31] 你就站起来走动三到五分钟
[00:00:31 - 00:00:33] 学习超过三到四个小时
[00:00:33 - 00:00:34] 可以充分慢跑半个小时
[00:00:34 - 00:00:35] 边运动
[00:00:35 - 00:00:37] 边简单回顾刚刚背的东西
[00:00:37 - 00:00:38] 多重记忆刺激
[00:00:38 - 00:00:40] 记忆的更牢
[00:00:40 - 00:00:41] 而且牢易结合
[00:00:41 - 00:00:42] 整个人的状态就会更好
[00:00:42 - 00:00:44] 如果背书背久了
[00:00:44 - 00:00:44] 嗓子难受
[00:00:44 - 00:00:46] 你还可以给自己来两颗
[00:00:46 - 00:00:46] 龙胶伞
[00:00:46 - 00:00:47] 无糖润活片
[00:00:47 - 00:00:48] 润着嗓子
[00:00:48 - 00:00:49] 体体精神
[00:00:49 - 00:00:51] 它这种小颗粒的设计
[00:00:51 - 00:00:52] 也完全可以一边含着
[00:00:52 - 00:00:53] 一边背书
[00:00:53 - 00:00:54] 完全没有影响
[00:00:54 - 00:00:55] 我自己有的时候
[00:00:55 - 00:00:55] 嗓子不舒服
[00:00:55 - 00:00:57] 也会喊几片来讲课
[00:00:57 - 00:00:59] 如果说你只是学的无聊了
[00:00:59 - 00:01:00] 嘴巴寂寞了
[00:01:00 - 00:01:01] 你也可以来两颗
[00:01:01 - 00:01:03] 如果一种口味吃腻了
[00:01:03 - 00:01:04] 这里有薄荷味
[00:01:04 - 00:01:04] 荔枝味
[00:01:04 - 00:01:06] 柠檬味和抹茶味
[00:01:06 - 00:01:06] 四种口味
[00:01:06 - 00:01:07] 一轮着吃
[00:01:07 - 00:01:08] 混着吃
[00:01:08 - 00:01:11] 可以一门磕墨对应一个味道
[00:01:11 - 00:01:13] 背书仪式感更足
[00:01:13 - 00:01:15] 如果有正在减重期的同学
[00:01:15 - 00:01:15] 你也不用担心
