BV号：BV1gR4y1T75u
标题：BV1gR4y1T75u
链接：https://www.bilibili.com/video/BV1gR4y1T75u
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-04-03 20:39:14

[00:00:00 - 00:00:02] 喂你好老师
[00:00:02 - 00:00:04] 我是您的粉丝
[00:00:04 - 00:00:06] 我已经考研商案了
[00:00:06 - 00:00:08] 感谢一下您
[00:00:08 - 00:00:10] 谢谢啊这是我的考研
[00:00:10 - 00:00:12] 你考到哪里啊
[00:00:12 - 00:00:14] 我考到西安交代
[00:00:14 - 00:00:16] 哦大家
[00:00:16 - 00:00:18] 大家赶紧真真喜气啊
[00:00:18 - 00:00:20] 赶紧真真喜气
[00:00:20 - 00:00:22] 西安交代什么转业
[00:00:22 - 00:00:24] 西安交代那个
[00:00:24 - 00:00:26] 计算机
[00:00:26 - 00:00:28] 我的预言都是比较准的
[00:00:28 - 00:00:32] 不说财富自由吧反正车房具有是绝对没有问题的
[00:00:32 - 00:00:39] 谢谢张老师我是看您那个就是之前走红的那个视频然后对这个考验感兴趣
[00:00:39 - 00:00:47] 然后的话也欢迎你将来就业的时候选择苏州可以来我们公司后边的那个公司我们公司后边的那个公司叫微软
[00:00:49 - 00:00:52] 好的谢谢张老师谢谢张老师那我就当您
[00:00:53 - 00:00:54] 好好好那现在啊
[00:00:55 - 00:00:57] 有的时候大家你要知道就是
[00:00:58 - 00:00:59] 当老师最大的成就是什么
[00:01:00 - 00:01:01] 这就是当老师最大的成就
[00:01:02 - 00:01:05] 就是当你会发现你给学生报支院
[00:01:05 - 00:01:06] 包括说你为学生去
[00:01:06 - 00:01:09] 去去讲一些考研的知识方法
[00:01:09 - 00:01:11] 然后的话有学生真的就是通过这个事
[00:01:11 - 00:01:13] 改变了他能命运的时候
[00:01:13 - 00:01:15] 真的会无比心理
[00:01:15 - 00:01:17] 就是有的这是最开心的
