BV号：BV1vD421N7Dn
标题：BV1vD421N7Dn
链接：https://www.bilibili.com/video/BV1vD421N7Dn
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 11:22:58

[00:00:00 - 00:00:01] 但大家这样说
[00:00:01 - 00:00:04] 就是你如果是一个普通家庭
[00:00:04 - 00:00:06] 你一定要去想一想
[00:00:06 - 00:00:08] 就是你刚才我说的那个问题
[00:00:08 - 00:00:08] 就是老师
[00:00:08 - 00:00:11] 我希望我们家孩子能够在一个城市
[00:00:11 - 00:00:12] 生活的开心
[00:00:12 - 00:00:13] 能够养活的起自己就可以了
[00:00:13 - 00:00:14] 别让他吃老板
[00:00:14 - 00:00:15] 对吧
[00:00:15 - 00:00:16] 怎么能立的
[00:00:16 - 00:00:19] 你包含ED购房
[00:00:19 - 00:00:20] 如果你包含ED购房
[00:00:20 - 00:00:23] 那有些专业可能你就不能选
[00:00:23 - 00:00:25] 那你不包含ED购房
[00:00:25 - 00:00:27] 那有些专业就可以学
[00:00:27 - 00:00:29] 因为各位家长这么说
[00:00:29 - 00:00:30] 我再给你讲一个
[00:00:30 - 00:00:31] 你说老师
[00:00:31 - 00:00:32] 我什么什么分
[00:00:32 - 00:00:33] 你说报什么学校比较好
[00:00:33 - 00:00:34] 这个问题没法回答
[00:00:34 - 00:00:35] 为什么
[00:00:35 - 00:00:37] 因为同样的专业
[00:00:37 - 00:00:39] 在不同的城市
[00:00:39 - 00:00:40] 同一个分
[00:00:40 - 00:00:41] 有的就能报
[00:00:41 - 00:00:42] 有的就不能报
[00:00:44 - 00:00:47] 大家能理解
[00:00:47 - 00:00:50] 比如说临床医学和电器
[00:00:50 - 00:00:51] 如果你是大城市的家长
[00:00:51 - 00:00:53] 分不足够高
[00:00:53 - 00:00:55] 你就根本碰都不要碰
[00:00:57 - 00:00:58] 临床和电器
[00:00:58 - 00:01:04] 如果你在大城市,分不足够高,你碰都不要碰。
[00:01:04 - 00:01:05] 为什么?
[00:01:05 - 00:01:11] 因为越市这种专业,在大城市,它的就业门槛就会怎么样?
[00:01:11 - 00:01:13] 就会变高。
[00:01:13 - 00:01:18] 而你的分不足够高,不足以到达你这个专业,
[00:01:18 - 00:01:24] 在这个城市最低的就业院校门槛,你抱它就相当于是废字。
[00:01:24 - 00:01:26] 听懂了吗?
