BV号：BV1rdBNYpEcn
标题：BV1rdBNYpEcn
链接：https://www.bilibili.com/video/BV1rdBNYpEcn
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-03 06:57:51

[00:00:00 - 00:00:03] 就是计算机类 电子信息力也可以爆 是吧
[00:00:03 - 00:00:04] 家长 电子信息力是电子信息力
[00:00:04 - 00:00:06] 它是两个不同的大类
[00:00:06 - 00:00:08] 它两个很大的差别在于电子信息力里边
[00:00:08 - 00:00:09] 会在商大学的时候
[00:00:09 - 00:00:11] 有一大堆的物理专业课
[00:00:11 - 00:00:12] 如果说你说老师
[00:00:12 - 00:00:14] 我接受待物理的专业课 那没有问题
[00:00:14 - 00:00:15] 从工作的角度来讲 家长
[00:00:15 - 00:00:18] 电子信息力是包含计算机类的
[00:00:18 - 00:00:20] 就是电子信息也学软件
[00:00:20 - 00:00:21] 所以说正常计算机能干的活
[00:00:21 - 00:00:22] 电子信息也能干
[00:00:22 - 00:00:25] 但是当你口供的时候
[00:00:25 - 00:00:26] 但是当你口边的时候
[00:00:26 - 00:00:28] 人就要求计算机类的时候
[00:00:28 - 00:00:30] 你店的信息类你不是计算机类
[00:00:30 - 00:00:32] 从就业的角度来讲是没有问题的
[00:00:32 - 00:00:35] 但是如果从口供考验考验过期的角度来讲
[00:00:35 - 00:00:36] 人家要求计算机类
[00:00:36 - 00:00:38] 你店的信息你说那个活我能干
[00:00:38 - 00:00:39] 但是你不能考
[00:00:39 - 00:00:41] 因为你不是计算机类
