BV号：BV1Sc411u7eP
标题：BV1Sc411u7eP
链接：https://www.bilibili.com/video/BV1Sc411u7eP
识别语言：zh
语言置信度：1
分段数：75
生成时间：2026-04-03 15:15:57

[00:00:00 - 00:00:01] 我发现每年报出院的时候
[00:00:01 - 00:00:02] 很多考生和家长
[00:00:02 - 00:00:04] 就只看所谓的学校层次
[00:00:04 - 00:00:06] 确实院校层次很重要
[00:00:06 - 00:00:07] 但是你只要看这个
[00:00:07 - 00:00:10] 就容易漏掉很多好学校
[00:00:10 - 00:00:12] 都说金杯银杯不如老百姓的口碑
[00:00:12 - 00:00:14] 今天我们就给大家介绍一所
[00:00:14 - 00:00:15] 名气看色不大
[00:00:15 - 00:00:16] 专业其实很硬
[00:00:16 - 00:00:18] 在行业内又有实力
[00:00:18 - 00:00:18] 又有地位
[00:00:18 - 00:00:20] 又有口碑的大学
[00:00:20 - 00:00:22] 它就是先建筑科技大学
[00:00:22 - 00:00:24] 这所学校的名字的耳聪农祥
[00:00:24 - 00:00:27] 和清华同纪这些顶级985方的一块
[00:00:27 - 00:00:29] 组成叫建筑脑巴哨
[00:00:29 - 00:00:31] 很多央企啊国企啊在招聘的时候
[00:00:31 - 00:00:34] 西建大的毕业生呢都是的优先入去的那一行列
[00:00:34 - 00:00:37] 顶着西建大的牌子出去你找工作肯定没问题
[00:00:37 - 00:00:39] 可以说是社会认可度相当的高
[00:00:39 - 00:00:44] 作为拥有完整建筑科技学科练群的图件类招售
[00:00:44 - 00:00:45] 除了图件类专业呢
[00:00:45 - 00:00:47] 人家能拿到出手的可不止这些
[00:00:47 - 00:00:51] 像环境施政 材料业金随手一通的都是王牌
[00:00:51 - 00:00:53] 工程学 材料科学 环境与生态学
[00:00:53 - 00:00:57] 化学进入到ESI全球起排名前百分之一
[00:00:57 - 00:01:00] 第四輪學科評估還拿了五個B加
[00:01:00 - 00:01:02] 比很多R1都多
[00:01:02 - 00:01:05] 第五輪學科評估建築學圖文工程和環境科學運工程
[00:01:05 - 00:01:08] 三個學科取得了重大突破
[00:01:08 - 00:01:09] 這個就更厲害了
[00:01:09 - 00:01:13] 說明這三個學科很大概率已經被評為A類學科了
[00:01:13 - 00:01:16] 這是值得大肆宣傳的突破性的發展
[00:01:16 - 00:01:19] 不光學科實力強專業也是沒話說
[00:01:19 - 00:01:20] 60多個專業裏邊
[00:01:20 - 00:01:23] 國家級省異級的一流專業就有35個
[00:01:23 - 00:01:25] 所以說不管你選哪一個
[00:01:25 - 00:01:27] 从师资科研到益后的生学就业
[00:01:27 - 00:01:28] 都是有保障的
[00:01:28 - 00:01:32] 目前国家建筑行业正主于转型升级阶段
[00:01:32 - 00:01:35] 以后肯定是往智能化数字化方向发展的
[00:01:35 - 00:01:37] 而西线大就一直在朝这个方向走
[00:01:37 - 00:01:39] 这几年新增的专业都是向
[00:01:39 - 00:01:41] 人工智能的大数据
[00:01:41 - 00:01:44] 光电信息业纳米材料这种新兴热门专业
[00:01:44 - 00:01:46] 今年还新增设了
[00:01:46 - 00:01:48] 智能建造 储能科学与工程
[00:01:48 - 00:01:51] 智能制造和机器而工程四个作用专业
[00:01:51 - 00:01:52] 我看了一下
[00:01:52 - 00:01:54] 师资平台都很不错
[00:01:54 - 00:01:57] 再加上手持周生分数应该不会太高
[00:01:57 - 00:01:58] 很推荐大家去重新重新
[00:01:58 - 00:02:01] 你要是能讨上就相当于站在了时代的封口上
[00:02:01 - 00:02:03] 还怕以后没有反正机会吗
[00:02:03 - 00:02:04] 虽然说是一个省属高校
[00:02:04 - 00:02:05] 但是在人才培养上
[00:02:05 - 00:02:07] 西建大河很多985大学差不多
[00:02:07 - 00:02:10] 大类培养中外合作拜学本朔一体化
[00:02:10 - 00:02:13] 本博贯通培养这学校都有
[00:02:13 - 00:02:15] 这里我就多年讲一下本博贯通培养
[00:02:15 - 00:02:18] 它是先入校再选拔
[00:02:18 - 00:02:20] 原则上8年博士就可以毕业了
[00:02:20 - 00:02:23] 总的来说西建大的西建大比较非常高
[00:02:23 - 00:02:24] 以前是布什高校
[00:02:24 - 00:02:27] 现在又是省部共建的高校
[00:02:27 - 00:02:30] 去年还被陕西省列入到了第二轮
[00:02:30 - 00:02:32] 省内双一流重点建设高校
[00:02:32 - 00:02:34] 可以说目标很明确了
[00:02:34 - 00:02:36] 就是奔着下一轮的双一流去的
[00:02:36 - 00:02:37] 所以说
[00:02:37 - 00:02:38] 报知不光要看学校统治
[00:02:38 - 00:02:40] 像这种有自己的办学择拆
[00:02:40 - 00:02:42] 又能够看到发展潜力的学校
[00:02:42 - 00:02:44] 大家也都可以重点关注一下
