BV号：BV17o4y127vA
标题：BV17o4y127vA
链接：https://www.bilibili.com/video/BV17o4y127vA
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 23:46:56

[00:00:00 - 00:00:01] 我给大家讲一个故事
[00:00:01 - 00:00:02] 就在前天发行的
[00:00:02 - 00:00:05] 我们前天大家都跟我原来都可能说了玩嘛
[00:00:05 - 00:00:05] 对吧
[00:00:05 - 00:00:06] 可能说我不是不做了
[00:00:06 - 00:00:07] 我也在做
[00:00:07 - 00:00:09] 我们前天在前期举办了我们的高分盖点大会
[00:00:09 - 00:00:11] 因为一个学生上来问一个问题
[00:00:11 - 00:00:12] 说说老师
[00:00:12 - 00:00:13] 我第一年考业做
[00:00:13 - 00:00:14] 我去年考业没有考上
[00:00:14 - 00:00:16] 万般无奈之下
[00:00:16 - 00:00:17] 考了一个工作
[00:00:17 - 00:00:18] 国家做好公司
[00:00:19 - 00:00:22] 万般无奈之下去世国家就好公司
[00:00:22 - 00:00:23] 他在哪个市场
[00:00:23 - 00:00:24] 他就在哪个百大学
[00:00:24 - 00:00:25] 他选择什么专业
[00:00:25 - 00:00:27] 就是能动专业
[00:00:27 - 00:00:29] 给了一个哇
[00:00:29 - 00:00:31] 能弄过一个毕业军去拨台电话公司
[00:00:32 - 00:00:33] 辽宁的家长都知道
[00:00:33 - 00:00:34] 辽宁很多家长都怎么样
[00:00:34 - 00:00:35] 希望还得去国企
[00:00:35 - 00:00:37] 就是找一个正经工作
[00:00:38 - 00:00:40] 很多辽宁家长跟我说
[00:00:40 - 00:00:40] 张老师
[00:00:40 - 00:00:44] 你懂不懂家长是包括正经工作
[00:00:44 - 00:00:45] 而什么都正经工作
[00:00:45 - 00:00:47] 有兵制国企
[00:00:51 - 00:00:52] 啊如果才这个文
