BV号：BV1HeXKYbEqZ
标题：BV1HeXKYbEqZ
链接：https://www.bilibili.com/video/BV1HeXKYbEqZ
识别语言：zh
语言置信度：1
分段数：69
生成时间：2026-04-03 05:33:28

[00:00:00 - 00:00:02] 我给大家讲个特别好玩的事
[00:00:02 - 00:00:05] 就是说昨天我去参加一个活动
[00:00:05 - 00:00:06] 参加一个活动
[00:00:06 - 00:00:09] 然后的话认识了一个学化学的博士
[00:00:09 - 00:00:11] 一个学化学的女博士
[00:00:11 - 00:00:12] 然后我们就私下聊天
[00:00:12 - 00:00:14] 我说你作为一个学化学的女博士
[00:00:14 - 00:00:16] 你如果家里有亲戚朋友和孩子
[00:00:16 - 00:00:18] 你会推荐她学化学吗
[00:00:18 - 00:00:21] 那个女博士就是就哈哈在这笑
[00:00:21 - 00:00:23] 我不知道为什么我这句话出动了
[00:00:23 - 00:00:24] 她的笑点
[00:00:24 - 00:00:25] 你知道吗
[00:00:25 - 00:00:26] 那个女博士就在这哈
[00:00:26 - 00:00:27] 就点笑
[00:00:27 - 00:00:28] 一直笑
[00:00:28 - 00:00:29] 一句话不
[00:00:29 - 00:00:30] 一个字都没说
[00:00:30 - 00:00:31] 一句话也不说
[00:00:31 - 00:00:32] 我说明白了
[00:00:32 - 00:00:33] 此时无声甚有声
[00:00:33 - 00:00:35] 哈哈哈哈
[00:00:35 - 00:00:37] 此时无声甚无声
[00:00:37 - 00:00:38] 但是我想先跟大家说一下
[00:00:38 - 00:00:40] 就是不是说所有的专业
[00:00:40 - 00:00:41] 就一定都不行
[00:00:41 - 00:00:43] 这个大家移到我个概念
[00:00:43 - 00:00:45] 不是说所有的专业一定都不行
[00:00:45 - 00:00:49] 现在每一个专业都有这种爬坑的方向
[00:00:49 - 00:00:51] 比如说我给大家举个例子
[00:00:51 - 00:00:52] 比如说化学
[00:00:52 - 00:00:54] 化学现在爬坑的左一个方向
[00:00:54 - 00:00:55] 就是化学这个专业
[00:00:55 - 00:00:57] 如果说你要想去所谓的爬坑
[00:00:57 - 00:01:00] 所谓的说正出高薪能够有高薪的话
[00:01:00 - 00:01:01] 在左的方向是什么
[00:01:01 - 00:01:04] 对就是能源化学电池
[00:01:04 - 00:01:06] 能源化学电池
[00:01:06 - 00:01:09] 现在是目前化学爬坑的一个主要的方向
[00:01:09 - 00:01:11] 就是能源化学电池
[00:01:11 - 00:01:12] 电化学就在这方面
[00:01:12 - 00:01:13] 能源化学电化学
[00:01:13 - 00:01:14] 就是你解决能源问题
[00:01:15 - 00:01:16] 你解决这个电池的问题
[00:01:16 - 00:01:17] 它电池的这种
[00:01:17 - 00:01:21] 就是比如说我组合更快速的提高我们的充电效率
[00:01:21 - 00:01:21] 然后的话
[00:01:21 - 00:01:24] 如何能够去代替一些这个传统的能源
[00:01:24 - 00:01:25] 能源化学电池
[00:01:26 - 00:01:27] 就是这是一个爬坑的方向
[00:01:27 - 00:01:29] 但是各位家长你要知道
[00:01:29 - 00:01:33] 一个学校里面研究能源化学的导师并没有那么多
[00:01:33 - 00:01:35] 或者说是很多家长或很多孩子
[00:01:35 - 00:01:37] 他了解这个信息和不了解个信息
[00:01:37 - 00:01:38] 他不一样
[00:01:38 - 00:01:39] 所以说来
[00:01:39 - 00:01:41] 各位家长把下面这句话记住
[00:01:41 - 00:01:42] 并且告诉我们的孩子
[00:01:42 - 00:01:46] 大学的教育资源并不是平均分配的
[00:01:46 - 00:01:48] 而是你要去主动获取
[00:01:48 - 00:01:51] 各位朋友一定要记住这句话
[00:01:51 - 00:01:52] 大学的教育资源
[00:01:52 - 00:01:54] 一他是主动
[00:01:54 - 00:01:55] 不是平均分配的
[00:01:55 - 00:01:58] 是要你主动获取的
[00:01:58 - 00:02:00] 所以说你真的你到了大学以后的话
[00:02:00 - 00:02:02] 你会发现你主动学习的人
[00:02:02 - 00:02:04] 和不主动学习的人
[00:02:04 - 00:02:07] 将会在大学当中发生明显的差别
