BV号：BV1dR63YKEUq
标题：BV1dR63YKEUq
链接：https://www.bilibili.com/video/BV1dR63YKEUq
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 06:53:11

[00:00:00 - 00:00:03] 在自动化和机械制造里头
[00:00:03 - 00:00:04] 我要测重于哪一个呢
[00:00:04 - 00:00:05] 就是说
[00:00:05 - 00:00:05] 都差不多
[00:00:05 - 00:00:06] 差别不大
[00:00:06 - 00:00:07] 都差不多
[00:00:07 - 00:00:09] 就是它这个物理分数
[00:00:09 - 00:00:10] 如果学起来
[00:00:10 - 00:00:11] 因为测重了这边物理嘛
[00:00:11 - 00:00:12] 佳长 我这么说
[00:00:12 - 00:00:15] 你如果说你将来要去做研发
[00:00:15 - 00:00:16] 我就往下问
[00:00:16 - 00:00:17] 如果你将来你说了说
[00:00:17 - 00:00:18] 本科毕业直接就业
[00:00:18 - 00:00:19] 我就不问了
[00:00:19 - 00:00:19] 因为这两个作业
[00:00:19 - 00:00:20] 你本科毕业直接就业
[00:00:20 - 00:00:22] 跟你物理学的好不好
[00:00:22 - 00:00:23] 没什么特别大关系
[00:00:23 - 00:00:24] 这个本科期间没有关系
[00:00:24 - 00:00:26] 就是在研究生期间 是吧
[00:00:26 - 00:00:28] 对 如果说你准备本科毕业数
[00:00:28 - 00:00:28] 我倾一下
[00:00:28 - 00:00:30] 你本科毕业就去就业
[00:00:30 - 00:00:31] 跟你物理学得好不好
[00:00:31 - 00:00:32] 没什么特别大关系
[00:00:32 - 00:00:35] 就如果说你准备学机械或者学自动化
[00:00:35 - 00:00:37] 你本科毕业就去准备就业的话
[00:00:37 - 00:00:38] 那你物理学得好不好
[00:00:38 - 00:00:38] 其实不重要
[00:00:38 - 00:00:40] 那要是要是再接着
[00:00:40 - 00:00:41] 要是考虑他要再往上上
[00:00:41 - 00:00:43] 要往上研发
[00:00:43 - 00:00:44] 那你就物理学得好不好
[00:00:44 - 00:00:45] 就很好了
[00:00:45 - 00:00:45] 你往上研发
[00:00:45 - 00:00:46] 那你就物理学得好不好
[00:00:46 - 00:00:47] 就很重要了
[00:00:47 - 00:00:49] 然后加上我们下面这个问题
[00:00:49 - 00:00:52] 你孩子力学和电学哪个学得好
[00:00:52 - 00:00:53] 力学
[00:00:53 - 00:00:53] 力学学得好
[00:00:53 - 00:00:56] 那就学机械
[00:00:56 - 00:00:57] 那就学机械没有问题
