BV号：BV1nH4y1971y
标题：BV1nH4y1971y
链接：https://www.bilibili.com/video/BV1nH4y1971y
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-04-03 13:31:07

[00:00:00 - 00:00:04] 你真觉得你一次考试能决定你的一生吗
[00:00:04 - 00:00:05] 它会决定一个你的起点
[00:00:05 - 00:00:08] 但是你找起点不是特别差
[00:00:08 - 00:00:10] 一般问题都不大
[00:00:10 - 00:00:10] 当你考大学
[00:00:10 - 00:00:12] 我也没说一下子就考到一个特别
[00:00:12 - 00:00:13] 怎么样怎么样
[00:00:13 - 00:00:14] 就是你会发现同一个学校
[00:00:14 - 00:00:15] 同一个专业
[00:00:15 - 00:00:16] 它刚才使的时候
[00:00:16 - 00:00:18] 毕业找到的工资带与差别
[00:00:18 - 00:00:20] 不会特别大
[00:00:20 - 00:00:22] 但是五年以后大家差别就会
[00:00:22 - 00:00:23] 非常大
[00:00:23 - 00:00:24] 为什么说这个五年以后
[00:00:24 - 00:00:25] 差点差别就会非常大
[00:00:25 - 00:00:26] 首先第一
[00:00:26 - 00:00:28] 你找的不同的行业它不一样
[00:00:28 - 00:00:29] 比如说举个例子
[00:00:29 - 00:00:30] 比如像什么计算机专业
[00:00:30 - 00:00:31] 电子信息专业
[00:00:31 - 00:00:33] 你找的这个工作
[00:00:33 - 00:00:35] 它是属于什么样的赛道
[00:00:35 - 00:00:37] 跟你赛道冷热是有关系的
[00:00:37 - 00:00:37] 这是第一点
[00:00:37 - 00:00:38] 第二点的话
[00:00:38 - 00:00:39] 跟人也是有关系的
[00:00:39 - 00:00:40] 就是你又没有在工作过程当中
[00:00:40 - 00:00:41] 你去持续学习
[00:00:41 - 00:00:42] 所以说有的时候的话
[00:00:42 - 00:00:45] 你只要在大方向领域里边
[00:00:45 - 00:00:46] 别跑偏
[00:00:46 - 00:00:48] 你别说老师一会些比较好的赛道
[00:00:48 - 00:00:50] 我根本禁都禁不去
[00:00:50 - 00:00:51] 你要是学了这种专业
[00:00:51 - 00:00:52] 你有的好的赛道
[00:00:52 - 00:00:54] 你禁都禁不去
[00:00:54 - 00:00:55] 就很麻烦
[00:00:55 - 00:00:57] 但是你只要是大方向
[00:00:57 - 00:00:58] 它别不会特别辣
[00:00:58 - 00:00:59] 你有机会能禁
[00:00:59 - 00:01:01] 那其实都差别不会特别大
[00:01:01 - 00:01:02] 然后再有就是有的时候
[00:01:02 - 00:01:02] 大家说
[00:01:02 - 00:01:03] 老师
[00:01:03 - 00:01:04] 你看我靠985和221
[00:01:04 - 00:01:05] 实际上从一些比较好的
[00:01:05 - 00:01:07] 功课专业角度来讲
[00:01:07 - 00:01:09] 985和221差别大家
[00:01:09 - 00:01:11] 没有大家想象的那么大
[00:01:11 - 00:01:12] 就是一般情况下
[00:01:12 - 00:01:13] 一个又比较优质的企业
[00:01:13 - 00:01:14] 221的学生能不能用
[00:01:14 - 00:01:15] 当然也能用
[00:01:15 - 00:01:15] 没有问题
[00:01:15 - 00:01:17] 但是只不过985的同学
[00:01:17 - 00:01:19] 会比221的同学有多一些机会
[00:01:19 - 00:01:20] 你没有那个机会
[00:01:20 - 00:01:21] 就一定是坏事吗
[00:01:21 - 00:01:22] 这个也不一定
[00:01:22 - 00:01:23] 没有必要那么焦虑
