BV号：BV1DK411Q7Dh
标题：BV1DK411Q7Dh
链接：https://www.bilibili.com/video/BV1DK411Q7Dh
识别语言：zh
语言置信度：1
分段数：13
生成时间：2026-04-03 17:17:16

[00:00:00 - 00:00:01] 自己在网上你去买这套书
[00:00:01 - 00:00:03] 让孩子平常平常是说
[00:00:03 - 00:00:04] 当科外书去看一看
[00:00:04 - 00:00:06] 看这种科外书不是所谓的耽误孩子学习
[00:00:06 - 00:00:08] 是打开孩子的一种眼界
[00:00:08 - 00:00:09] 我跟大家这样说
[00:00:09 - 00:00:12] 有些孩子对于学习没有那么特别上心
[00:00:12 - 00:00:14] 我个人觉得你没有找到一个驱动力
[00:00:14 - 00:00:15] 那这个驱动力的话
[00:00:15 - 00:00:17] 可以是对未来美好生活的向往
[00:00:17 - 00:00:20] 也可以是对某项科技某项技术的执着
[00:00:20 - 00:00:23] 所以说我个人觉得你找到孩子的这种推动力的话
[00:00:23 - 00:00:26] 会让孩子学习更加的吃卖力
