BV号：BV1Q44y1B7DN
标题：BV1Q44y1B7DN
链接：https://www.bilibili.com/video/BV1Q44y1B7DN
识别语言：zh
语言置信度：1
分段数：32
生成时间：2026-04-03 23:17:06

[00:00:00 - 00:00:02] 那么第三个阶段就是在上个世纪
[00:00:02 - 00:00:04] 九十年的末到本世纪初
[00:00:04 - 00:00:08] 以浙江大学四孝合一为代表的一个
[00:00:08 - 00:00:10] 就是RR 985大学提出
[00:00:10 - 00:00:13] 包括出现的合并的浪潮
[00:00:13 - 00:00:15] 在98年的时候
[00:00:15 - 00:00:17] 当时的杭州大学
[00:00:17 - 00:00:20] 当时的浙江大学
[00:00:20 - 00:00:24] 然后当时的我们的浙江农业大学
[00:00:24 - 00:00:27] 和浙江一科大学四孝合一
[00:00:27 - 00:00:29] 合并成了现在的浙大
[00:00:29 - 00:00:31] 然后的话那个时候大家就说说哎呀你看这个浙大
[00:00:31 - 00:00:33] 当年也没有那么很强嘛
[00:00:33 - 00:00:34] 这是合并出来的
[00:00:34 - 00:00:37] 这个对中国大学历史不了解的人会说这样的话
[00:00:37 - 00:00:38] 但其实我了解的话我会知道
[00:00:38 - 00:00:40] 当年浙大52年分裂的时候
[00:00:40 - 00:00:41] 其实就分裂了
[00:00:42 - 00:00:42] 这四个大学
[00:00:42 - 00:00:45] 然后的话这四个大学就把你的肉重新合并了
[00:00:45 - 00:00:46] 那么以他为标志
[00:00:46 - 00:00:49] 后来中国的大学开始各种各样的合并
[00:00:49 - 00:00:50] 比如说我的总裁院校
[00:00:50 - 00:00:53] 郑州大学当年也是有老的郑州大学
[00:00:53 - 00:00:56] 郑州工业大学和我们的河南医科大学
[00:00:56 - 00:00:57] 三个学校来进行合并
[00:00:57 - 00:00:59] 合併成是現在的新的政大
[00:00:59 - 00:01:01] 所以說第三個階段就是
[00:01:01 - 00:01:03] 中間經歷了個合併的浪潮
[00:01:03 - 00:01:05] 所以說大家現在看到的很多大學
[00:01:05 - 00:01:09] 很多學校其實都是有合併的痕跡的
[00:01:09 - 00:01:11] 都是有合併的痕跡的
