BV号：BV12Y4y1g7wR
标题：BV12Y4y1g7wR
链接：https://www.bilibili.com/video/BV12Y4y1g7wR
识别语言：zh
语言置信度：1
分段数：25
生成时间：2026-04-03 18:44:33

[00:00:00 - 00:00:02] 现在的小孩真的养尊处忧啊
[00:00:02 - 00:00:03] 他俩犯下了吧
[00:00:03 - 00:00:04] 你让他吃点苦
[00:00:04 - 00:00:05] 他吃个东西不好吃
[00:00:05 - 00:00:06] 他都不吃了
[00:00:06 - 00:00:07] 你让他大山里边
[00:00:07 - 00:00:09] 你要不要冲冥校
[00:00:09 - 00:00:09] 因为你要冲冥校
[00:00:09 - 00:00:11] 你就得冒着上垃圾专业的风险
[00:00:11 - 00:00:13] 那所谓的垃圾专业
[00:00:13 - 00:00:14] 在功课当中都是什么样的专业
[00:00:14 - 00:00:17] 都是那些就业条件相对艰苦
[00:00:17 - 00:00:18] 但实际上就业率很高的专业
[00:00:18 - 00:00:19] 比如像
[00:00:19 - 00:00:20] 矿业工程啊
[00:00:20 - 00:00:22] 就业率很高
[00:00:22 - 00:00:24] 就是条件健库点
[00:00:24 - 00:00:25] 地址工程啊
[00:00:25 - 00:00:26] 就业率很高
[00:00:26 - 00:00:28] 就是条件健库点
[00:00:28 - 00:00:29] 撤回啊
[00:00:29 - 00:00:30] 绝率很高
[00:00:30 - 00:00:31] 没人去
[00:00:31 - 00:00:32] 你要不要选
[00:00:32 - 00:00:33] 你要不要选
