BV号：BV1xo4y1278N
标题：BV1xo4y1278N
链接：https://www.bilibili.com/video/BV1xo4y1278N
识别语言：zh
语言置信度：1
分段数：59
生成时间：2026-04-04 00:22:02

[00:00:00 - 00:00:04] 就是河北省代过年期间发了一个高跑入曲的一个规则
[00:00:04 - 00:00:06] 河北省今天在高跑入曲的时候
[00:00:06 - 00:00:08] 它的规则叫做物理历史分裂计划
[00:00:08 - 00:00:09] 大家听说了吧
[00:00:09 - 00:00:11] 你们知道什么叫做物理历史分裂计划吗
[00:00:11 - 00:00:13] 为什么要进行物理历史分裂计划
[00:00:14 - 00:00:15] 为什么要进行物理历史分裂计划
[00:00:17 - 00:00:20] 就跟原来的本理分科一样的各位啊
[00:00:20 - 00:00:23] 你可以简单的把物理列为理科
[00:00:23 - 00:00:24] 把历史列为轮科
[00:00:24 - 00:00:26] 那么有些学校有些专业
[00:00:26 - 00:00:28] 它是物理或历史均科
[00:00:28 - 00:00:30] 叫物力均壑
[00:00:30 - 00:00:34] 那这种专业你就可以把它视为理科文科尖招大家的意见吧
[00:00:34 - 00:00:35] 它是这个意思
[00:00:35 - 00:00:36] 那为什么要分开呢
[00:00:36 - 00:00:39] 你说张老师他为什么不放在一起招生呢
[00:00:39 - 00:00:40] 他必须分开
[00:00:40 - 00:00:41] 为什么
[00:00:41 - 00:00:42] 如果他不分开的话
[00:00:42 - 00:00:44] 高分段对学历史的不公平
[00:00:44 - 00:00:46] 低分段对学物理的不公平
[00:00:46 - 00:00:48] 什么意思我给大家解释一下
[00:00:48 - 00:00:50] 高分段如果你放在一起招生
[00:00:50 - 00:00:52] 高分段为什么对学历史的不公平
[00:00:52 - 00:00:53] 我们大家一个问题
[00:00:53 - 00:00:55] 物理学习好的孩子能不能考码分
[00:00:55 - 00:00:57] 学历史的孩子学习好的孩子能不能考码分
[00:00:57 - 00:00:58] 能不能考管分
[00:00:59 - 00:01:00] 好难啊
[00:01:00 - 00:01:01] 对不对
[00:01:01 - 00:01:02] 你先过速就考管分
[00:01:02 - 00:01:03] 你谁将会语用考管分
[00:01:04 - 00:01:05] 不可能啊
[00:01:05 - 00:01:07] 因为以后发现物理是
[00:01:07 - 00:01:08] 客观级偏多
[00:01:08 - 00:01:09] 历史是主观级偏多
[00:01:09 - 00:01:10] 大家还在吗
[00:01:10 - 00:01:12] 如果说你放那一会儿招生的话
[00:01:12 - 00:01:13] 在高分段
[00:01:13 - 00:01:16] 有很多孩子物理考了98 99 100
[00:01:16 - 00:01:17] 历史他考不了能不能考分
[00:01:17 - 00:01:18] 对不对
[00:01:18 - 00:01:20] 所以高分段是对学历史的是不公平的
[00:01:20 - 00:01:21] 对不对
[00:01:21 - 00:01:23] 但低分段对学物理同学不公平
[00:01:23 - 00:01:23] 为什么
[00:01:23 - 00:01:26] 你想想历史随随地样样写一写
[00:01:26 - 00:01:26] 都有点分
[00:01:26 - 00:01:27] 对吧
[00:01:27 - 00:01:28] 物理呢
[00:01:28 - 00:01:30] 他们不会的是真不会啊
[00:01:31 - 00:01:31] 大家理解了吗
[00:01:31 - 00:01:34] 所以高分段对于学历史的社不公平的
[00:01:34 - 00:01:35] 低分段对于学物理的社不公平的
[00:01:35 - 00:01:36] 所以说在录取的时候
[00:01:36 - 00:01:37] 为了保证公平
[00:01:37 - 00:01:39] 必须物理历史分立计划
[00:01:39 - 00:01:40] 这个大家理解了吗
