BV号：BV1tT411J7Ay
标题：BV1tT411J7Ay
链接：https://www.bilibili.com/video/BV1tT411J7Ay
识别语言：zh
语言置信度：1
分段数：28
生成时间：2026-04-03 18:21:51

[00:00:00 - 00:00:02] 我给你说当名人吧有一种特别好玩的感受
[00:00:02 - 00:00:03] 就是自己可以吃自己的瓜
[00:00:03 - 00:00:05] 网上所有什么的都有
[00:00:05 - 00:00:07] 我前两天我在网上看了一个我的视频
[00:00:07 - 00:00:09] 说张雪峰为什么跌下神坛
[00:00:09 - 00:00:11] 啊张雪峰为什么会跌下神坛
[00:00:11 - 00:00:12] 张雪峰为什么会凉凉
[00:00:12 - 00:00:15] 啊张雪峰讲课的风格为什么不受大家欢迎
[00:00:15 - 00:00:16] 我就想起了松手宝那句话
[00:00:16 - 00:00:18] 不喜欢的我人多了你算老几
[00:00:18 - 00:00:19] 是吧
[00:00:19 - 00:00:24] 千万不要为了所谓迎合不喜欢自己的人去改变
[00:00:24 - 00:00:25] 大家一定要记住
[00:00:25 - 00:00:26] 他不喜欢你
[00:00:26 - 00:00:27] 你为了迎合他去改变
[00:00:27 - 00:00:28] 他就喜欢你了吗
[00:00:28 - 00:00:30] 相信我啊 不可以大
[00:00:30 - 00:00:31] 他今天对你提这个要求
[00:00:31 - 00:00:33] 明天他会对你提别的要求
[00:00:33 - 00:00:34] 你改完了以后
[00:00:34 - 00:00:35] 那个不喜欢你的人
[00:00:35 - 00:00:37] 仍然会不喜欢你
[00:00:37 - 00:00:38] 喜欢你的人
[00:00:38 - 00:00:39] 反而会觉得你变了
[00:00:39 - 00:00:40] 包括说什么
[00:00:40 - 00:00:41] 像咱们家孩子
[00:00:41 - 00:00:43] 你不要觉得你在老师心中的形象是完美的
[00:00:43 - 00:00:44] 不可能
