BV号：BV1d44y1B777
标题：BV1d44y1B777
链接：https://www.bilibili.com/video/BV1d44y1B777
识别语言：zh
语言置信度：1
分段数：89
生成时间：2026-04-03 23:27:00

[00:00:00 - 00:00:02] 你们在冲志院的时候
[00:00:02 - 00:00:03] 大家要在冲志院到报志院
[00:00:03 - 00:00:04] 经常冲一冲文英文保一保
[00:00:04 - 00:00:05] 对吧
[00:00:05 - 00:00:06] 大家在冲志院的时候
[00:00:06 - 00:00:07] 对于两类学校冲志院
[00:00:07 - 00:00:09] 一定要小心一些
[00:00:09 - 00:00:10] 一类是一科大学
[00:00:10 - 00:00:12] 一类是农业大学
[00:00:12 - 00:00:15] 因为这两类学校经常会出现
[00:00:15 - 00:00:16] 你可能接受不了的专业
[00:00:16 - 00:00:18] 比如像护理
[00:00:18 - 00:00:20] 如果说的护理跟其他专业
[00:00:20 - 00:00:23] 跟临床放在一个PC里边招生
[00:00:23 - 00:00:24] 你报临床没考上
[00:00:24 - 00:00:25] 就会被调集到护理
[00:00:25 - 00:00:26] 能明白吧
[00:00:26 - 00:00:28] 你能接受吗
[00:00:28 - 00:00:30] 你不能接受沖就不要沖
[00:00:30 - 00:00:31] 那明白吧
[00:00:31 - 00:00:33] 也不要沖
[00:00:33 - 00:00:35] 你尽量也不要稳
[00:00:35 - 00:00:37] 而是说你保的时候
[00:00:37 - 00:00:38] 如果说要是你要冲立创意学
[00:00:38 - 00:00:40] 就要给分数建立足够的优势
[00:00:40 - 00:00:41] 那明白吧
[00:00:41 - 00:00:44] 其实院校和专业这两之间一定是怎么样
[00:00:44 - 00:00:45] 要有取舍的
[00:00:45 - 00:00:48] 你院校上占有势
[00:00:48 - 00:00:50] 专业上一定会吃亏一些
[00:00:50 - 00:00:51] 你专业上占有势
[00:00:51 - 00:00:52] 院校上一定要吃亏一些
[00:00:52 - 00:00:53] 大家能理解吧
[00:00:53 - 00:00:55] 你要有保持这样的心理平衡
[00:00:55 - 00:00:56] 这个是很重要的
[00:00:56 - 00:00:57] 知道吧
[00:00:57 - 00:00:58] 那一个是什么
[00:00:58 - 00:01:00] 一科大学冲的时候注意
[00:01:00 - 00:01:02] 你小心被调集到护理
[00:01:02 - 00:01:03] 另外的话什么呢
[00:01:03 - 00:01:05] 农业大学你冲的时候也要注意
[00:01:05 - 00:01:07] 小心被调集到你无法接受的专业
[00:01:07 - 00:01:08] 像比如说吧
[00:01:08 - 00:01:10] 水土宝水与花木画房制
[00:01:10 - 00:01:12] 野生东东自然保护区管理
[00:01:12 - 00:01:13] 这种专业大家如果说
[00:01:13 - 00:01:15] 你能接受还是喜欢这一块
[00:01:15 - 00:01:16] 那可以
[00:01:16 - 00:01:17] 如果说你不能接受
[00:01:17 - 00:01:17] 还得不喜欢的话
[00:01:17 - 00:01:19] 这种专业大家尽量不要抱
[00:01:19 - 00:01:19] 能明白吗
[00:01:19 - 00:01:21] 像什么草业科学
[00:01:21 - 00:01:23] 这什么叫草业科学
[00:01:23 - 00:01:24] 专门种草的
[00:01:24 - 00:01:28] 这草有啥好种的
[00:01:28 - 00:01:29] 他们那种讨厌科学的话
[00:01:29 - 00:01:30] 大多数是对谁的你知道吧
[00:01:30 - 00:01:32] 对高尔夫球场的
[00:01:33 - 00:01:34] 对高尔夫球场的
[00:01:34 - 00:01:35] 对
[00:01:35 - 00:01:36] 然后还有马耶科学
[00:01:37 - 00:01:38] 毕马温
[00:01:40 - 00:01:42] 这专业你会给孩子爆吗
[00:01:43 - 00:01:44] 我估计不会吧
[00:01:45 - 00:01:46] 那你冲这院的时候
[00:01:46 - 00:01:47] 这个专业又想招满学生的话
[00:01:47 - 00:01:48] 觉得怎么样
[00:01:49 - 00:01:50] 就得调剂对不对
[00:01:50 - 00:01:51] 那你还得被调剂到这个专业
[00:01:51 - 00:01:52] 能接受吗
[00:01:52 - 00:01:52] 毕马温
[00:01:54 - 00:01:56] 那说这这这是干啥的
[00:01:57 - 00:01:57] 这是干嘛的
[00:01:58 - 00:01:59] 娱乐
[00:01:59 - 00:02:00] 塞马
[00:02:00 - 00:02:01] 養賽馬的大經濟名位吧
[00:02:01 - 00:02:02] 娛樂馬的
[00:02:02 - 00:02:04] 哎呀我不知道咱們太遠有沒有這樣的機構
[00:02:04 - 00:02:06] 在北京和蘇州有這樣的機構
[00:02:06 - 00:02:08] 就專門教那個小孩騎馬的馬術
[00:02:09 - 00:02:10] 也有吧是吧
[00:02:10 - 00:02:11] 對專門有這樣的機構
[00:02:11 - 00:02:12] 他們養那種馬的
[00:02:12 - 00:02:14] 知道吧那種馬就不一樣
[00:02:14 - 00:02:14] 就不一樣
[00:02:14 - 00:02:16] 但是你要學這個嗎
[00:02:17 - 00:02:18] 你本來是你要學這個嗎
[00:02:19 - 00:02:20] 你小好
