BV号：BV1LiRGYuEKQ
标题：BV1LiRGYuEKQ
链接：https://www.bilibili.com/video/BV1LiRGYuEKQ
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-03 05:42:27

[00:00:00 - 00:00:04] 请问张老师采矿工程专业和智能采矿工程专业
[00:00:05 - 00:00:06] 差别不大
[00:00:06 - 00:00:07] 差别不大
[00:00:07 - 00:00:08] 对
[00:00:08 - 00:00:10] 就是一个有概念一个没概念
[00:00:10 - 00:00:10] 怎么说呢
[00:00:10 - 00:00:12] 一个是没有打扮的张雪峰
[00:00:12 - 00:00:15] 一个是刮了胡子做了发型的张雪峰
[00:00:15 - 00:00:16] 明白了
[00:00:16 - 00:00:19] 这个采矿工程专业那个学科
[00:00:19 - 00:00:23] 我也看了也就是那么多学校在开这个专业
[00:00:23 - 00:00:23] 嗯
[00:00:24 - 00:00:26] 只有原来矿业部的知识研修在开
[00:00:26 - 00:00:29] 你们陕西这个专业最好的叫西安科技
[00:00:29 - 00:00:29] 我知道
[00:00:30 - 00:00:32] 就是这个以后的就业能方便说一下吗
[00:00:32 - 00:00:33] 家长就是这样子
[00:00:33 - 00:00:34] 就是采矿
[00:00:34 - 00:00:35] 你可以有兴趣的话
[00:00:35 - 00:00:36] 你可以
[00:00:36 - 00:00:37] 我给你看一下这个
[00:00:37 - 00:00:39] 家长你怎么对这个不很兴趣
[00:00:39 - 00:00:40] 因为这个专业一般情况下
[00:00:40 - 00:00:41] 看的人不多
[00:00:41 - 00:00:42] 是
[00:00:42 - 00:00:43] 因为分数不高
[00:00:43 - 00:00:44] 然后的话
[00:00:44 - 00:00:46] 主要就是在一些矿命的企业嘛
[00:00:46 - 00:00:46] 家长
[00:00:46 - 00:00:48] 采矿工程
[00:00:48 - 00:00:49] 来 家长看这
[00:00:49 - 00:00:50] 这是研究生阶段的专业模式
[00:00:50 - 00:00:51] 然后的话
[00:00:51 - 00:00:52] 一个是矿命工程
[00:00:52 - 00:00:54] 包括采矿工程
[00:00:54 - 00:00:56] 矿物加工工程和安全技术体工程
[00:00:56 - 00:00:58] 采矿工程是干嘛的呢
[00:00:58 - 00:00:58] 家长
[00:00:58 - 00:01:01] 把礦石从地底线搞上来
[00:01:01 - 00:01:02] 采矿
[00:01:02 - 00:01:04] 那矿物加工工程是什么呢
[00:01:04 - 00:01:08] 把金属物质从矿石当中分离出来
[00:01:08 - 00:01:09] 怎么加工它
[00:01:09 - 00:01:11] 那矿山矿产的安全是什么呢
[00:01:11 - 00:01:13] 就是安全基础几乎
[00:01:13 - 00:01:14] 明白了吧
[00:01:14 - 00:01:14] 明白
[00:01:14 - 00:01:15] 就是这三个工作
[00:01:15 - 00:01:17] 要么就是怎么挖
[00:01:17 - 00:01:18] 要么就是怎么分离
[00:01:18 - 00:01:20] 要么就是它的中间的安全
