BV号：BV19q4y1W7Vt
标题：BV19q4y1W7Vt
链接：https://www.bilibili.com/video/BV19q4y1W7Vt
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 23:02:03

[00:00:00 - 00:00:03] 现在新疆支架是假的 将来只不定干嘛上半是假的
[00:00:03 - 00:00:05] 你看着我这条腿了吗?
[00:00:05 - 00:00:07] 真的
[00:00:07 - 00:00:10] 学材料一定就是天空吗?
[00:00:10 - 00:00:13] 收获还财 四大天空 材料一定是天空吗?
[00:00:13 - 00:00:15] 说实话有的方向是确实是天空
[00:00:15 - 00:00:18] 比如说什么?钢铁 烈装
[00:00:18 - 00:00:21] 但是中国广州大学院叫钢铁学院
[00:00:21 - 00:00:24] 但现在你会发现还有一个学校就是钢铁学院吗?
[00:00:24 - 00:00:27] 没有 全改名了
[00:00:27 - 00:00:29] 那哪个时候的材料是钢铁眼睛方向
[00:00:29 - 00:00:31] 你要看清楚看明白
[00:00:31 - 00:00:36] 因为大家都知道现在钢铁行业在这上泼入还是在这下泼入
[00:00:36 - 00:00:38] 明显在这下泼入对吧
[00:00:38 - 00:00:40] 但材料有的方向就很牛逼
[00:00:40 - 00:00:41] 什么方向
[00:00:41 - 00:00:43] 生物医学材料就很牛逼
[00:00:43 - 00:00:44] 比如说你方法健
[00:00:44 - 00:00:45] 一个老年人心脏不好
[00:00:45 - 00:00:47] 就给你做一个手术心脏大小手术
[00:00:47 - 00:00:49] 然后按个指甲对吧
[00:00:49 - 00:00:50] 各位家长各位搞过我问一下
[00:00:50 - 00:00:52] 你知道按的那个指甲是啥时候的吗
[00:00:52 - 00:00:53] 什么指甲
[00:00:53 - 00:00:54] 塞了塑料
[00:00:55 - 00:00:56] 填
[00:00:56 - 00:00:58] 很沒想法是對不對
[00:00:58 - 00:00:59] 那它是啥過的呢
[00:00:59 - 00:01:01] 大家你覺得中國老齡化的發展
[00:01:01 - 00:01:04] 人生地裏邊的那些假玩意會越來越多
[00:01:04 - 00:01:05] 還是會越來越少
[00:01:06 - 00:01:08] 一定會越來越多對不對
[00:01:08 - 00:01:10] 老齡化發展嘛對不對
[00:01:10 - 00:01:12] 你來現在心臟吃價是假的
[00:01:12 - 00:01:14] 將來只不定是上完食假的
[00:01:14 - 00:01:15] 你看我吃到腿了嗎
[00:01:15 - 00:01:16] 真的
[00:01:19 - 00:01:21] 說你就信我這真的
[00:01:21 - 00:01:23] 我一跳就有点泡着味道
[00:01:23 - 00:01:27] 什么玩意
[00:01:27 - 00:01:29] 真的啊
