BV号：BV176421Z7VE
标题：BV176421Z7VE
链接：https://www.bilibili.com/video/BV176421Z7VE
识别语言：zh
语言置信度：1
分段数：76
生成时间：2026-04-03 09:20:54

[00:00:00 - 00:00:04] 这两天啊我看有些考生家长留言说是让我除了综合经验院校以外
[00:00:04 - 00:00:07] 也多讲一讲西大比比比较高的行业特色学校
[00:00:07 - 00:00:10] 那话我都说今天就给大家推荐两个
[00:00:10 - 00:00:11] 他们不光是在意内很有名气
[00:00:11 - 00:00:15] 而且在人才培养这一块呢也很有自己的意向
[00:00:15 - 00:00:17] 先来看广东外语外模大学
[00:00:17 - 00:00:21] 这个学校其实我专门讲过说它是原类的头部学校
[00:00:21 - 00:00:22] 国际华特色呢很鲜明
[00:00:22 - 00:00:25] 而且呢实力认可度也是相当高
[00:00:25 - 00:00:28] 不管是对文科生还是理科生来说都是非常值得关注的
[00:00:28 - 00:00:30] 那今天的再提就是想提醒大家
[00:00:30 - 00:00:32] 关注一下它今年招生方面的新变化
[00:00:32 - 00:00:34] 首先就是汉原文学示范
[00:00:34 - 00:00:36] 计算积累等好几个热门专业
[00:00:36 - 00:00:38] 都扩大了招生规模
[00:00:38 - 00:00:41] 数学语音数学专业的也增设了示范类招生
[00:00:41 - 00:00:44] 可以说上热门专业的机会更大了
[00:00:44 - 00:00:46] 其次就是专业上的调整
[00:00:46 - 00:00:47] 新增四个专业
[00:00:47 - 00:00:48] 除了供应量管理以外
[00:00:48 - 00:00:50] 其他三个都是小于重
[00:00:50 - 00:00:54] 而且今年的广外还搞了九个双学式学位项目
[00:00:54 - 00:00:56] 像什么法语加国贸
[00:00:56 - 00:00:57] 英语加素质经济
[00:00:57 - 00:01:00] 英語加法學主打一個負荷培養
[00:01:00 - 00:01:02] 這在廣東還是第一家
[00:01:02 - 00:01:04] 至於說轉專業政客也很友好
[00:01:04 - 00:01:05] 出國機會多
[00:01:05 - 00:01:07] 而且還有資助
[00:01:07 - 00:01:09] 微專業緊密集合企業
[00:01:09 - 00:01:10] 市場這些
[00:01:10 - 00:01:12] 之前講過的就不細說了
[00:01:12 - 00:01:13] 最後再強調一點
[00:01:13 - 00:01:16] 廣外今年在廣東招生的院校專業組設置
[00:01:16 - 00:01:19] 和去年相比的總體變化不大
[00:01:19 - 00:01:21] 選科限制少可以大膽放心報
[00:01:21 - 00:01:25] 接下來我還想再給大家講一講西南石油大學
[00:01:25 - 00:01:27] 之前直播的时候也说过
[00:01:27 - 00:01:30] 这些一所很有新加比的能源类双一流
[00:01:30 - 00:01:33] 它最聪明的就是石油与天然气工程
[00:01:33 - 00:01:34] 毕竟拿了A加
[00:01:34 - 00:01:36] 但其他学科发展也不错
[00:01:36 - 00:01:39] 近几年这个学校也开始布举新兴的
[00:01:39 - 00:01:41] 能源交叉学科专业了
[00:01:41 - 00:01:43] 像探储科学与工程
[00:01:43 - 00:01:46] 储能科学与工程都是新增的热门专业
[00:01:46 - 00:01:48] 现在71个专业里边
[00:01:48 - 00:01:49] 一半以上都是一路专业
[00:01:49 - 00:01:52] 光国一路专业就有28个
[00:01:52 - 00:01:54] 就算高考没入到自己喜欢的专业
[00:01:54 - 00:01:56] 禁校以后还有两次转专业的机会
[00:01:56 - 00:01:58] 不怕选不到合适的
[00:01:58 - 00:01:59] 就业方面
[00:01:59 - 00:02:01] 西南十大就业的学生里边有四成以上
[00:02:01 - 00:02:04] 都能进入到大型的国企阳期
[00:02:04 - 00:02:06] 除了咱们常说的三统之外
[00:02:06 - 00:02:07] 像国家电网
[00:02:07 - 00:02:08] 国家管网
[00:02:08 - 00:02:09] 国家能源集团
[00:02:09 - 00:02:11] 这些单位都是很认可这个学校的
[00:02:11 - 00:02:12] 工作稳定不错
[00:02:12 - 00:02:14] 待遇也很不错
[00:02:14 - 00:02:15] 你要想网上申造的话
[00:02:15 - 00:02:16] 也不用担心
[00:02:16 - 00:02:19] 它有完整的本朔博人才培养体系
[00:02:19 - 00:02:20] 还有本朔联赔计划
[00:02:20 - 00:02:23] 本朔博海外施资这些项目
[00:02:23 - 00:02:25] 生造率非常高
[00:02:25 - 00:02:27] 有些专业的保卫率更是超过了15%
[00:02:27 - 00:02:30] 可以说是真的是实力强就也好
[00:02:30 - 00:02:31] 性价比还高
[00:02:31 - 00:02:32] 说了这么多
[00:02:32 - 00:02:33] 最后张老师给大家总结一下
[00:02:33 - 00:02:36] 不管是广外还是西南时代
[00:02:36 - 00:02:38] 这两个学校都是既有特色又有实力
[00:02:38 - 00:02:41] 感兴趣的同学和家长可以重点关注一下
