BV号：BV1dE6vBtEDW
标题：BV1dE6vBtEDW
链接：https://www.bilibili.com/video/BV1dE6vBtEDW
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 00:29:14

[00:00:00 - 00:00:04] 如果我们本科阶段要学一个教育类的专业
[00:00:04 - 00:00:07] 家长来我给你解释一下什么叫教育学
[00:00:07 - 00:00:09] 教育类跟教育学它是不一样的
[00:00:09 - 00:00:10] 我记得去年高考的时候
[00:00:10 - 00:00:13] 大家记不记得有一个好像是桂林的吧
[00:00:13 - 00:00:14] 一个女生
[00:00:14 - 00:00:15] 然后挑着扁蛋回家
[00:00:15 - 00:00:19] 然后全网都都都在都在去支持这个女生啊
[00:00:19 - 00:00:21] 然后的话后来一问说这个女生干嘛
[00:00:21 - 00:00:22] 通常这个女生说说
[00:00:22 - 00:00:23] 我想当老师
[00:00:23 - 00:00:25] 然后我想报教育学
[00:00:25 - 00:00:26] 大家女后家的各位家的女后
[00:00:26 - 00:00:29] 教育学跟当老师是完全不相关的
[00:00:29 - 00:00:31] 我当时我在网上发生我说
[00:00:31 - 00:00:33] 一定要让记者去转告这个同学
[00:00:33 - 00:00:34] 在报局院的时候
[00:00:34 - 00:00:37] 报师范内是跟学科有关
[00:00:37 - 00:00:39] 而教育学不是当老师的
[00:00:39 - 00:00:40] 什么叫做教育学
[00:00:40 - 00:00:41] 各位家长
[00:00:41 - 00:00:44] 它是研究教育规律的学科
[00:00:44 - 00:00:46] 它并不是当老师的学科
[00:00:46 - 00:00:48] 什么叫研究教育规律的学科
[00:00:48 - 00:00:50] 教育学在研究生阶段的时候
[00:00:50 - 00:00:52] 分成了一堆研究生的二级学科
[00:00:52 - 00:00:54] 这个要展示我的专业了
[00:00:54 - 00:00:57] 包括教育学原理 教育史
[00:00:57 - 00:00:58] 科生与教学论
[00:00:58 - 00:01:04] 比較教育學、成人教育學、高腦教育學、職業技術教育學、教育技術學、特殊教育學和學錢教育學
[00:01:04 - 00:01:07] 這是教育學分的10個二級學科
[00:01:07 - 00:01:10] 比如說家長我研究生階段學的是學錢教育學
[00:01:10 - 00:01:12] 你研究的是學錢教育的規律
[00:01:12 - 00:01:16] 你研究的是三十歲、四歲、五歲、六歲的孩子
[00:01:16 - 00:01:18] 他學什麼東西比較好
[00:01:18 - 00:01:21] 我怎麼能把這個學錢教育所謂做的更好
[00:01:21 - 00:01:25] 大家注意你是理論研究你不是實際操作
[00:01:25 - 00:01:25] 懂嗎
[00:01:25 - 00:01:30] 你是在理论上 比如说我用什么样的缺陷教育的理论和方法
[00:01:30 - 00:01:32] 而不是我怎么把孩子给带好
[00:01:32 - 00:01:33] 它完全不是一回事
[00:01:33 - 00:01:34] 一个是理论
[00:01:34 - 00:01:36] 一个是实践
[00:01:36 - 00:01:37] 比较教育学
[00:01:37 - 00:01:38] 什么都比较教育学呢
[00:01:38 - 00:01:42] 我们去专门比较各个国家的教育制度
[00:01:42 - 00:01:45] 比如说中国我们人才选拔使用这种方式
[00:01:45 - 00:01:47] 韩国人才选拔是什么方式
[00:01:47 - 00:01:49] 乌兹别克斯坦人才选拔是什么方式
[00:01:49 - 00:01:50] 这个美国是什么方式
[00:01:50 - 00:01:51] 英国是什么方式
[00:01:51 - 00:01:52] 意大利是什么方式
[00:01:52 - 00:01:54] 埃塞俄比亚是什么方式
[00:01:54 - 00:01:55] 哪一种方式会更好
[00:01:55 - 00:01:56] 这叫比较教育学
[00:01:56 - 00:01:57] 高等教育学是什么呢
[00:01:57 - 00:02:00] 我们怎么样在大学阶段
[00:02:00 - 00:02:01] 把孩子们的得育培养好
[00:02:01 - 00:02:03] 换句话说家长全是利润
[00:02:03 - 00:02:04] 这叫教育学
[00:02:04 - 00:02:05] 他跟当老师
[00:02:05 - 00:02:07] 不能说一点关系没有
[00:02:07 - 00:02:08] 可以说是毫无关系
[00:02:08 - 00:02:09] 你要想当老师的话
[00:02:09 - 00:02:11] 家长你抱的那个叫学科
[00:02:11 - 00:02:12] 你想当什么老师
[00:02:12 - 00:02:13] 老师我想当数学老师
[00:02:13 - 00:02:14] OK想当数学老师
[00:02:14 - 00:02:16] 你就直接抱数学
[00:02:16 - 00:02:17] 想当物理老师
[00:02:17 - 00:02:18] 抱物理
[00:02:18 - 00:02:19] 想过语文老师
[00:02:19 - 00:02:20] 到抱语文
[00:02:20 - 00:02:21] 教育学是研究教育的
[00:02:21 - 00:02:22] 他不是当老师的
[00:02:22 - 00:02:23] 哦
[00:02:23 - 00:02:24] 好的好的
