BV号：BV1HX4y1u7Ld
标题：BV1HX4y1u7Ld
链接：https://www.bilibili.com/video/BV1HX4y1u7Ld
识别语言：zh
语言置信度：1
分段数：53
生成时间：2026-04-04 01:11:13

[00:00:00 - 00:00:03] 马上我们新高一的同学就要参加清文考试了
[00:00:03 - 00:00:04] 等这个清文考试考完以后
[00:00:04 - 00:00:06] 参加新高考的省份
[00:00:06 - 00:00:09] 同学们就要做一个非常非常重要的决定
[00:00:09 - 00:00:10] 就是关于选科
[00:00:10 - 00:00:11] 你六选三怎么选
[00:00:11 - 00:00:13] 三加一加二到底该怎么选
[00:00:13 - 00:00:15] 那么咱们今天会有两期视频
[00:00:15 - 00:00:16] 来给大家讲一讲
[00:00:16 - 00:00:18] 选科到底怎么选是最科学的
[00:00:18 - 00:00:19] 首先咱们今天讲一讲
[00:00:19 - 00:00:21] 要不要选物理
[00:00:21 - 00:00:22] 物理这个学科
[00:00:22 - 00:00:25] 大家要知道它是比较难的一个学科
[00:00:25 - 00:00:26] 那么在实行新高考的很多省份
[00:00:26 - 00:00:28] 很多同学都因为物理比较难
[00:00:28 - 00:00:31] 就是弃选物理而不选物理
[00:00:31 - 00:00:32] 但大家你要知道
[00:00:32 - 00:00:34] 我们现在高一6选3一号
[00:00:34 - 00:00:35] 还是3加1加2也好
[00:00:35 - 00:00:38] 让你选科其实就是让你在干嘛呢
[00:00:38 - 00:00:39] 让你在定专业
[00:00:39 - 00:00:41] 所以说到底要不要选物理呢
[00:00:41 - 00:00:42] 我想问大家几个问题
[00:00:42 - 00:00:44] 首先第一个问题
[00:00:44 - 00:00:47] 你将来要选一些大功科专业吗
[00:00:47 - 00:00:48] 比如像图目啊
[00:00:48 - 00:00:49] 计算机啊
[00:00:49 - 00:00:50] 包括像机械啊
[00:00:50 - 00:00:51] 自动化啊
[00:00:51 - 00:00:52] 电器啊这种专业
[00:00:52 - 00:00:54] 包括最近炒的比较火的
[00:00:54 - 00:00:55] 像人工智能类专业
[00:00:55 - 00:00:58] 那么这些专业都是要求你必须选物理的
[00:00:58 - 00:01:00] 如果你想学这些专业
[00:01:00 - 00:01:01] 那你想都不用想
[00:01:01 - 00:01:02] 物理是一定要选的
[00:01:02 - 00:01:03] 那么第二点呢
[00:01:03 - 00:01:04] 大家一定要注意
[00:01:04 - 00:01:07] 你不要以为说只有功课才会要求物理
[00:01:07 - 00:01:11] 而很多知名高校的经济类管理类专业
[00:01:11 - 00:01:13] 他在做选课要求的时候
[00:01:13 - 00:01:15] 也会要求选物理
[00:01:15 - 00:01:16] 比如说大家有兴趣
[00:01:16 - 00:01:17] 你可以看一下像清华大学
[00:01:17 - 00:01:19] 同纪大学
[00:01:19 - 00:01:20] 上海交通大学
[00:01:20 - 00:01:24] 这种非常非常综合实力强的这种名校
[00:01:24 - 00:01:25] 他们在经济类管理类专业上
[00:01:25 - 00:01:28] 都是要求要选物理的
[00:01:28 - 00:01:32] 所以说要不要选物理关键看你将来想学什么专业
[00:01:32 - 00:01:34] 或者说你想学金管类专业的话
[00:01:34 - 00:01:36] 要不要就抱这些985的名校
