BV号：BV1qE411X7e9
标题：BV1qE411X7e9
链接：https://www.bilibili.com/video/BV1qE411X7e9
识别语言：zh
语言置信度：1
分段数：407
生成时间：2026-04-04 06:49:13

[00:00:02 - 00:00:03] 十大威胁机场
[00:00:03 - 00:00:04] 否则的话
[00:00:04 - 00:00:06] 就会冲到前面的沙灿上
[00:00:06 - 00:00:08] 在落地的时候
[00:00:08 - 00:00:09] 被一个火球打中了
[00:00:09 - 00:00:10] 自动落地
[00:00:10 - 00:00:11] 降30秒
[00:00:11 - 00:00:12] 你将来会不会去飞下这个
[00:00:12 - 00:00:13] 好的
[00:00:13 - 00:00:14] 我特别想去
[00:00:14 - 00:00:15] 哎呀
[00:00:15 - 00:00:16] 你看我就说嘛
[00:00:16 - 00:00:17] 我赶紧就拿出手机
[00:00:17 - 00:00:18] 我说这得打通
[00:00:18 - 00:00:19] 那个
[00:00:19 - 00:00:21] 你是可以打卡去的
[00:00:21 - 00:00:22] 我可以特别想去
[00:00:22 - 00:00:24] 你说这半天就这么难落
[00:00:24 - 00:00:25] 就是我落了呗
[00:00:25 - 00:00:33] 就是
[00:00:33 - 00:00:34] 大家好
[00:00:34 - 00:00:36] 欢迎收看小型逗逼脱口秀大开眼界
[00:00:36 - 00:00:39] 我是让学习变得更快乐的张雪峰老师
[00:00:39 - 00:00:40] 我们今天前来的两位嘉宾
[00:00:40 - 00:00:42] 都是资深的飞行人员
[00:00:42 - 00:00:43] 首先给大家介绍一下
[00:00:43 - 00:00:45] 我们资深的机长王思淳老师
[00:00:46 - 00:00:47] 大家好
[00:00:47 - 00:00:49] 那么我们这边的美女
[00:00:49 - 00:00:50] 就是我们的李飞鱼
[00:00:50 - 00:00:51] 原来的空姐喽
[00:00:51 - 00:00:52] 大家好
[00:00:52 - 00:00:53] 我是李飞鱼
[00:00:53 - 00:00:55] 两位都是飞行人比较丰富的人
[00:00:55 - 00:00:58] 我的飞行人也很丰富
[00:00:58 - 00:01:00] 我就是对一个问题特别感兴趣
[00:01:00 - 00:01:02] 就是原来我就是去那个
[00:01:02 - 00:01:03] 昆明讲课的时候
[00:01:03 - 00:01:04] 经常飞昆明
[00:01:04 - 00:01:05] 然后的话
[00:01:05 - 00:01:06] 就是每次飞昆明的时候
[00:01:06 - 00:01:08] 起飞和降落的时候
[00:01:08 - 00:01:09] 都特别的颠簸
[00:01:09 - 00:01:11] 然后我们问了一下我们昆明的校长说
[00:01:11 - 00:01:13] 所有的老师来的时候
[00:01:13 - 00:01:15] 都说到昆明就很颠
[00:01:15 - 00:01:16] 这是为什么的
[00:01:17 - 00:01:19] 有些人他可能会说
[00:01:19 - 00:01:20] 这是飞行员的技术
[00:01:20 - 00:01:21] 但实际上不是的
[00:01:21 - 00:01:24] 这个是跟他本身昆明的地形有关系
[00:01:24 - 00:01:25] 所以我猜想
[00:01:25 - 00:01:28] 你在起飞降落的时候觉得比较颠
[00:01:28 - 00:01:29] 那应该是下午的
[00:01:29 - 00:01:30] 为什么下午
[00:01:30 - 00:01:32] 因为那个时候空气比较热
[00:01:32 - 00:01:34] 就是太阳照射一段时间
[00:01:34 - 00:01:35] 然后气温比较热
[00:01:35 - 00:01:38] 这时候这个气流会比较明显
[00:01:38 - 00:01:41] 哎呦你们这还得学这气象学的东西是吗
[00:01:41 - 00:01:43] 啊对这个是飞源必修的
[00:01:43 - 00:01:44] 哎那你像
[00:01:45 - 00:01:47] 呃我知道国内营我飞的城市比较多
[00:01:47 - 00:01:50] 大多数的就是这个机场都是比较安全的
[00:01:50 - 00:01:52] 像昆明原来那种比较巅的是手剑的
[00:01:52 - 00:01:54] 那如果说国外的话
[00:01:54 - 00:01:56] 有没有一些就是比较南降落的机场的
[00:01:56 - 00:01:57] 就是比较危险的机场
[00:01:57 - 00:02:00] 好往上有一个什么十大危险机场
[00:02:00 - 00:02:01] 有有有这个东西吧
[00:02:01 - 00:02:01] 有
[00:02:01 - 00:02:02] 啊真有吗
[00:02:02 - 00:02:03] 呃
[00:02:03 - 00:02:05] 你来说我来说
[00:02:05 - 00:02:10] 民航飞机它走的这种危险的地方比较少
[00:02:10 - 00:02:11] 可能比较特别吧
[00:02:11 - 00:02:13] 我自己飞过只飞过两个
[00:02:13 - 00:02:15] 你飞民航你还飞过俩的
[00:02:15 - 00:02:15] 对
[00:02:15 - 00:02:18] 那还有8个是机长飞机
[00:02:18 - 00:02:20] 你哪两个机长飞机
[00:02:20 - 00:02:22] 这个是一个是圣宝罗的
[00:02:22 - 00:02:23] 圣宝罗机场
[00:02:23 - 00:02:23] 对
[00:02:23 - 00:02:26] 圣宝罗就跟刚刚我们说的这种
[00:02:26 - 00:02:27] 离城是比较近
[00:02:27 - 00:02:28] 它离城是非常近
