BV号：BV1MiFVzKE3a
标题：BV1MiFVzKE3a
链接：https://www.bilibili.com/video/BV1MiFVzKE3a
识别语言：zh
语言置信度：1
分段数：94
生成时间：2026-04-03 00:25:36

[00:00:00 - 00:00:02] 可以和能是不一樣的
[00:00:02 - 00:00:05] 如果說你要想進國網的話
[00:00:05 - 00:00:07] 你最好報電器別報別的專業
[00:00:07 - 00:00:08] 知道嗎
[00:00:08 - 00:00:10] 他說基本機也可以進電網
[00:00:10 - 00:00:11] 來我給大家再看一下
[00:00:11 - 00:00:12] 來各位朋友
[00:00:12 - 00:00:13] 我給你看一下電器
[00:00:13 - 00:00:14] 電網電力行業
[00:00:14 - 00:00:15] 來各位家長
[00:00:15 - 00:00:17] 國家電網公司招聘類別
[00:00:17 - 00:00:18] 大家注意首先第一類的話
[00:00:18 - 00:00:19] 它是電工類
[00:00:19 - 00:00:21] 主要崗位就是電網
[00:00:21 - 00:00:22] 調控運行
[00:00:22 - 00:00:23] 書店運檢
[00:00:23 - 00:00:24] 便店運檢
[00:00:24 - 00:00:25] 電力營銷等等
[00:00:25 - 00:00:28] 大家注意它只要電器類
[00:00:28 - 00:00:31] 他只要電器類
[00:00:31 - 00:00:34] 他後面的這個港要的人就很少了
[00:00:34 - 00:00:35] 各位家長
[00:00:35 - 00:00:38] 他後面這些港要的人就很少了
[00:00:38 - 00:00:39] 少到什麼程度
[00:00:39 - 00:00:40] 各位朋友
[00:00:40 - 00:00:41] 我給你說
[00:00:41 - 00:00:42] 你看光照片的時候
[00:00:42 - 00:00:43] 你就能看得出來
[00:00:43 - 00:00:44] 光照片的時候
[00:00:44 - 00:00:46] 他的電工類的崗位招聘人數
[00:00:46 - 00:00:48] 大概是其他崗位招聘人數的
[00:00:48 - 00:00:49] 五倍還要多
[00:00:49 - 00:00:50] 一個聲望
[00:00:50 - 00:00:52] 他電器類電工類
[00:00:52 - 00:00:54] 很有可能他一批招
[00:00:54 - 00:00:55] 就招大概四五百人
[00:00:55 - 00:00:57] 但是其他招聘人數加起來
[00:00:57 - 00:00:58] 可能都不到50人
[00:00:58 - 00:01:00] 他比如说其他功课类
[00:01:00 - 00:01:01] 给大家看一下
[00:01:01 - 00:01:01] 你像他这种岗
[00:01:01 - 00:01:02] 对吧
[00:01:02 - 00:01:04] 叫做信息通信工程建设
[00:01:04 - 00:01:05] 这种岗和其他功课类
[00:01:05 - 00:01:07] 这两个类在招的时候
[00:01:07 - 00:01:08] 这四个类在招的时候
[00:01:08 - 00:01:10] 加起来都不及他的六分之一
[00:01:10 - 00:01:11] 到这种程度
[00:01:11 - 00:01:12] 所以说各位朋友你别瞎抱
[00:01:12 - 00:01:13] 能动是进不了逛的
[00:01:13 - 00:01:14] 能动是发电的
[00:01:14 - 00:01:16] 它是进入到发电企业
[00:01:16 - 00:01:17] 什么叫发电企业
[00:01:17 - 00:01:18] 比如像大唐
[00:01:18 - 00:01:18] 大唐
[00:01:18 - 00:01:19] 大唐就是发电企业
[00:01:19 - 00:01:21] 给大家去取个例子
[00:01:21 - 00:01:22] 给大家去举个例子
[00:01:22 - 00:01:23] 来各位家长
[00:01:23 - 00:01:24] 华能大唐
[00:01:24 - 00:01:24] 这个就是发电
[00:01:24 - 00:01:27] 你看 华能 大堂 这是发电企业
[00:01:27 - 00:01:28] 能源动力的第一个方向
[00:01:28 - 00:01:29] 各位下两就是
[00:01:29 - 00:01:32] 能源功能是将热能转化为电能
[00:01:32 - 00:01:34] 或者将其他生物智能
[00:01:34 - 00:01:36] 其他能转化为电能
[00:01:36 - 00:01:37] 这都叫能源功能是
[00:01:37 - 00:01:38] 那么其他能就是
[00:01:38 - 00:01:40] 我们第二个方向叫新能源
[00:01:40 - 00:01:42] 将太阳能 风能 生物智能
[00:01:42 - 00:01:43] 转化为电能
[00:01:43 - 00:01:45] 这个就是我们的新能源
[00:01:45 - 00:01:47] 它们的大堂堂堂什么叫新能源
[00:01:47 - 00:01:48] 新能源就是刚才我说的
[00:01:48 - 00:01:50] 将生物智能 将太阳能
[00:01:50 - 00:01:53] 将风能 将水能转化为电能
[00:01:53 - 00:01:54] 这个句子 新能源
[00:01:54 - 00:01:57] 将传统能源就是热能转化为电能
[00:01:57 - 00:01:58] 这个叫传统能源
[00:01:58 - 00:01:59] 大家听懂了吗
[00:01:59 - 00:02:01] 各位家人你们听懂了吗
[00:02:01 - 00:02:02] 什么叫新能源
[00:02:02 - 00:02:03] 除了煤以外
[00:02:03 - 00:02:06] 除了石油以外的其他能源
[00:02:06 - 00:02:08] 转化为电能叫新能源
[00:02:08 - 00:02:09] 因为你要烧煤
[00:02:09 - 00:02:10] 你要烧石油的话
[00:02:10 - 00:02:11] 不好意思
[00:02:11 - 00:02:11] 怎么样
[00:02:11 - 00:02:12] 对大气
[00:02:12 - 00:02:14] 对整个环境的影响会相对比较大
[00:02:14 - 00:02:17] 所以说我们现在要研究一些新的能源方式
[00:02:17 - 00:02:20] 将他们的能源转化为电能
