BV号：BV1kM4m1m7NJ
标题：BV1kM4m1m7NJ
链接：https://www.bilibili.com/video/BV1kM4m1m7NJ
识别语言：zh
语言置信度：1
分段数：90
生成时间：2026-04-03 09:51:14

[00:00:00 - 00:00:01] 最近看留言我发现一个现象
[00:00:01 - 00:00:04] 有不少人还挺关注新大学的
[00:00:04 - 00:00:07] 这不今年又有一些新大学就要开始招生了
[00:00:07 - 00:00:08] 其实这也是个好消息
[00:00:08 - 00:00:11] 因为咱们同学上好大学的机会又增加了不少
[00:00:11 - 00:00:14] 那在这些新的大学里边有一所我非常看好
[00:00:14 - 00:00:15] 就是康福大学
[00:00:15 - 00:00:18] 之所以看好它主要是因为它的专业性非常强
[00:00:18 - 00:00:20] 更重要的是它不差资源
[00:00:20 - 00:00:22] 而且还是照样同意
[00:00:22 - 00:00:25] 在讲康大之前我想先问大家一个问题
[00:00:25 - 00:00:26] 大家有没有想过
[00:00:26 - 00:00:28] 为啥咱们国家要办这样一所大学
[00:00:28 - 00:00:30] 其实很简单
[00:00:30 - 00:00:31] 因为需求摆在这
[00:00:31 - 00:00:33] 一方面现在各个国家
[00:00:33 - 00:00:34] 包括咱们中国
[00:00:34 - 00:00:35] 老领化是一年比一年严重
[00:00:35 - 00:00:37] 再一个就是现在很多人
[00:00:37 - 00:00:38] 就比如像张老师
[00:00:38 - 00:00:40] 生活节奏也比较快
[00:00:40 - 00:00:41] 多做压力也非常的大
[00:00:41 - 00:00:43] 什么亚建 康亚 浙安 阿尔的毛病
[00:00:43 - 00:00:44] 就全出来了
[00:00:44 - 00:00:46] 在这样的大环境下
[00:00:46 - 00:00:48] 整个社会对于康复服务的需求
[00:00:48 - 00:00:50] 那是层层的无聊
[00:00:50 - 00:00:52] 所以说康复类人才未来一定会很强确
[00:00:52 - 00:00:53] 当然了
[00:00:53 - 00:00:54] 现在已经有一些学校
[00:00:54 - 00:00:56] 开了康复相关的专业
[00:00:56 - 00:00:57] 也培养出了一些人才
[00:00:57 - 00:00:58] 但是人才缺口
[00:00:58 - 00:00:59] 还是很大
[00:00:59 - 00:01:01] 那作为一所新型研究性大学
[00:01:01 - 00:01:04] 康大一门亲死培养康复的人才
[00:01:04 - 00:01:06] 走的是八角创新
[00:01:06 - 00:01:08] 国际化领军人才培养的路子
[00:01:08 - 00:01:10] 主打一个重要的经
[00:01:10 - 00:01:11] 别看成立时间短
[00:01:11 - 00:01:12] 但康大其实大有来头
[00:01:12 - 00:01:13] 石油教育部
[00:01:13 - 00:01:14] 中国残联
[00:01:14 - 00:01:16] 国家卫健委等国家部委和山东省
[00:01:16 - 00:01:18] 共同支持建设的
[00:01:18 - 00:01:20] 是咱们国家甚至是全世界第一所
[00:01:20 - 00:01:22] 以康复为特色的大学
[00:01:22 - 00:01:23] 半学地就在经济发达
[00:01:23 - 00:01:25] 景色优美的海滨城市清岛
[00:01:25 - 00:01:27] 这个背景 这个定位 这个位置
[00:01:27 - 00:01:29] 你说康大未来的发展能不好吗
[00:01:29 - 00:01:32] 那在咱们同学最关心的专业这一块
[00:01:32 - 00:01:34] 康大今年有康复物理治疗
[00:01:34 - 00:01:35] 康复作业治疗
[00:01:35 - 00:01:36] 临床医学
[00:01:36 - 00:01:37] 生物医学工程
[00:01:37 - 00:01:38] 生物心细学
[00:01:38 - 00:01:40] 五个本科招生专业
[00:01:40 - 00:01:40] 不管读哪个
[00:01:40 - 00:01:42] 前景都是非常不错的
[00:01:42 - 00:01:43] 而且据张老师所知
[00:01:43 - 00:01:45] 去年康大还在建设的时候
[00:01:45 - 00:01:46] 青岛市势力医院
[00:01:46 - 00:01:49] 青岛市中心医院和青岛康复医院
[00:01:49 - 00:01:51] 就已经成了它的复苏医院
[00:01:51 - 00:01:53] 目前在北上广这些地方
[00:01:53 - 00:01:55] 也有很多大的三家医院的资源
[00:01:55 - 00:01:57] 刚起步就这方面的平台
[00:01:57 - 00:01:59] 一方面是学校的实力有保障
[00:01:59 - 00:02:03] 二来对大家之后的实习找工作也很有帮助
[00:02:03 - 00:02:04] 说了这么多
[00:02:04 - 00:02:05] 最后还是要落脚到就业上
[00:02:05 - 00:02:07] 之前直播的时候我也说过
[00:02:07 - 00:02:09] 康复利专业他是不出手工作的
[00:02:09 - 00:02:12] 而且康大培养出来的学生毕业以后
[00:02:12 - 00:02:15] 那都是奔着升学出国或者进三甲医院去的
[00:02:15 - 00:02:15] 再一个
[00:02:15 - 00:02:19] 咱们同学除了去一些国内外的一些名校继续生造
[00:02:19 - 00:02:21] 他还能在咱们康大接量往下读
[00:02:21 - 00:02:24] 因为他本身就研究上培养资格
[00:02:24 - 00:02:26] 最后张老师要强调一下
[00:02:26 - 00:02:28] 康复绝对是一个招养产业
[00:02:28 - 00:02:30] 而作为领域内独一份的高校
[00:02:30 - 00:02:32] 康复大学才开始招生
[00:02:32 - 00:02:34] 第一届学生算是赶上好时候了
[00:02:34 - 00:02:34] 所以说
[00:02:34 - 00:02:36] 先往这方面发展的同学
[00:02:36 - 00:02:37] 可得把握好几个机会
[00:02:37 - 00:02:38] 过了这个村儿
[00:02:38 - 00:02:39] 可就没这个地儿了
