BV号：BV1N8411G7z6
标题：BV1N8411G7z6
链接：https://www.bilibili.com/video/BV1N8411G7z6
识别语言：zh
语言置信度：1
分段数：14
生成时间：2026-04-03 16:21:26

[00:00:01 - 00:00:03] 我知道很多直播间的家长
[00:00:03 - 00:00:06] 很多直播间的朋友其实不是高工段的家长
[00:00:06 - 00:00:07] 也不是高工段的学生
[00:00:07 - 00:00:09] 就是为了来听个乐子对吧
[00:00:09 - 00:00:12] 来有这样的家长扣个5来我看有多少
[00:00:12 - 00:00:13] 有这样的人扣个5
[00:00:13 - 00:00:16] 你家那么久没有抱出任何需求
[00:00:16 - 00:00:17] 也没有考验的需求
[00:00:17 - 00:00:20] 就是晚上没啥事就看我直播带是嘚瑟的是吧
[00:00:20 - 00:00:24] 一帮人一天天的啊
[00:00:24 - 00:00:36] 这是个正经的数学规划直播间好吗
[00:00:36 - 00:00:38] 当娱乐主播看的
[00:00:41 - 00:00:44] 你要在我面前我帮帮给你两拳头知道吗
[00:00:44 - 00:00:46] 当娱乐主播来看看真是的
