BV号：BV1ER4y1x7QF
标题：BV1ER4y1x7QF
链接：https://www.bilibili.com/video/BV1ER4y1x7QF
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 21:07:31

[00:00:00 - 00:00:02] 大家好我上学习别人更回来的张雪峰老师
[00:00:02 - 00:00:06] 那么我做生学规划这方面已经做了十多年了
[00:00:06 - 00:00:09] 那么我会发现很多高中生的家长真的是太累了
[00:00:09 - 00:00:12] 在知习层面上很多家长已经立不从心了
[00:00:12 - 00:00:16] 在沟通层面上高中生已经有了强烈的自我意识
[00:00:16 - 00:00:19] 有的时候你会发现你跟孩子就根本无法同频
[00:00:19 - 00:00:21] 在教育层面上高中生已经进入了叛逆期
[00:00:21 - 00:00:23] 很多家长甚至束手不涩
[00:00:23 - 00:00:25] 也还每天吃不好睡不好
[00:00:25 - 00:00:27] 整天挂着一张所谓的高考点
[00:00:27 - 00:00:28] 焦虑的不行
[00:00:28 - 00:00:30] 正在这些现象我写了这本西书
[00:00:30 - 00:00:32] 《决胜高中三年关键期》
[00:00:32 - 00:00:33] 在这本书里面
[00:00:33 - 00:00:35] 我会有层次的递进的方式
[00:00:35 - 00:00:37] 来教你如何陪孩子
[00:00:37 - 00:00:39] 有效的度过高中的三年
[00:00:39 - 00:00:39] 第一步
[00:00:39 - 00:00:40] 深入剖析
[00:00:40 - 00:00:42] 高中生到底发生了哪些变化
[00:00:42 - 00:00:43] 第二步
[00:00:43 - 00:00:45] 纠正高中生家乡经常犯了一些教育错误
[00:00:45 - 00:00:46] 第三步
[00:00:46 - 00:00:49] 给出高中生会遇到的各类问题的解决方法
[00:00:49 - 00:00:50] 第四步
[00:00:50 - 00:00:52] 给出了合理的三年的学习规划建议
[00:00:52 - 00:00:54] 相信这本书的内容
[00:00:54 - 00:00:56] 可以帮助到高中的家长们
[00:00:56 - 00:00:58] 解决你的焦虑病
[00:00:58 - 00:00:59] 做好孩子的堅強後盾
