BV号：BV1QW61YxE23
标题：BV1QW61YxE23
链接：https://www.bilibili.com/video/BV1QW61YxE23
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-03 06:51:39

[00:00:00 - 00:00:01] 我想问一下
[00:00:01 - 00:00:06] 有一个专业叫材料科学以工程
[00:00:06 - 00:00:08] 那个是到底是大成什么
[00:00:08 - 00:00:11] 家长材料可大了
[00:00:11 - 00:00:14] 凝目极所制过制过键
[00:00:14 - 00:00:16] 所有东西都可以叫材料
[00:00:16 - 00:00:17] 这个叫材料
[00:00:17 - 00:00:18] 这个也叫材料
[00:00:18 - 00:00:20] 这个纸呢还有不同的
[00:00:20 - 00:00:21] 你看我们这个纸
[00:00:21 - 00:00:23] 这个纸我们的提分笔记
[00:00:23 - 00:00:26] 它皮的这个纸和里边的这个纸
[00:00:26 - 00:00:27] 它也不一样
[00:00:27 - 00:00:29] 这个手机里边也有材料
[00:00:29 - 00:00:31] 手机里边都是材料
[00:00:31 - 00:00:32] 它是一个很大的东西
[00:00:32 - 00:00:35] 材料构成了我们的世间万物
[00:00:35 - 00:00:37] 所以说你说老师材料是干嘛的
[00:00:37 - 00:00:39] 你这个东西很难给你解释
[00:00:39 - 00:00:40] 它可能是做刀片的
[00:00:40 - 00:00:42] 它可能是做芯片的
[00:00:42 - 00:00:44] 那刀片和芯片就完全不一样
[00:00:44 - 00:00:46] 刀片叫金属材料
[00:00:46 - 00:00:47] 芯片叫龟
[00:00:47 - 00:00:49] 龟叫无机非金属材料
[00:00:49 - 00:00:52] 你的鞋的鞋底叫做高分子材料
[00:00:52 - 00:00:55] 然后如果说你现在做三地打印
[00:00:55 - 00:00:56] 那个叫中材制造
[00:00:56 - 00:00:59] 材料是世间万物的组成体
[00:00:59 - 00:01:01] 所以说你说材料到底是干嘛的
[00:01:01 - 00:01:02] 这个真的没法跟你说
[00:01:02 - 00:01:04] 他说你可能是做纸的
[00:01:04 - 00:01:05] 也可能是做金属
[00:01:05 - 00:01:06] 也可能是做龟
[00:01:06 - 00:01:08] 也可能是做炭
[00:01:08 - 00:01:09] 有可能是做金钢石
[00:01:09 - 00:01:11] 有可能是有现在那个钻石
[00:01:11 - 00:01:13] 我不知道大家有没有了不了解
[00:01:13 - 00:01:14] 现在钻石能种出来
[00:01:14 - 00:01:16] 那种出来那个钻石
[00:01:16 - 00:01:17] 它也叫材料
[00:01:17 - 00:01:18] 那你说我们航空器上
[00:01:18 - 00:01:21] 我们希望航空器的重量更轻
[00:01:21 - 00:01:22] 它发射的时候
[00:01:22 - 00:01:24] 它所耗的燃料更少
[00:01:24 - 00:01:26] 这个材料在穿越大气层的时候
[00:01:26 - 00:01:27] 还得耐热
[00:01:27 - 00:01:29] 那这也叫材料
[00:01:29 - 00:01:31] 所以说的话你说的材料那就太多了
