BV号：BV1f1KPeJEJH
标题：BV1f1KPeJEJH
链接：https://www.bilibili.com/video/BV1f1KPeJEJH
识别语言：zh
语言置信度：1
分段数：48
生成时间：2026-04-03 05:53:44

[00:00:00 - 00:00:01] 现在就是想学
[00:00:01 - 00:00:03] 就是现在小孩比较喜欢学数学
[00:00:03 - 00:00:05] 学数学专业
[00:00:05 - 00:00:07] 但是现在不知道这个数学以后转工
[00:00:07 - 00:00:08] 好不好转呀
[00:00:08 - 00:00:09] 好转
[00:00:09 - 00:00:10] 好转是吧
[00:00:10 - 00:00:12] 就是就怕说以后他学了数学
[00:00:12 - 00:00:13] 又不好转工
[00:00:13 - 00:00:15] 他也不喜欢当老师再学的
[00:00:15 - 00:00:16] 然而是这样子
[00:00:16 - 00:00:17] 数学可以这么理解
[00:00:17 - 00:00:19] 它叫万物之母
[00:00:19 - 00:00:20] 它是几乎所有行业
[00:00:20 - 00:00:22] 和所有专业的基础
[00:00:22 - 00:00:24] 尤其是现在大家你会发现
[00:00:24 - 00:00:25] 有东西叫大数据
[00:00:25 - 00:00:28] 就是所有的行业数字化
[00:00:28 - 00:00:31] 数据化这个事非常非常非常的重要
[00:00:31 - 00:00:35] 就是可以通过数据去判断很多
[00:00:35 - 00:00:39] 去预判很多未来的各种各样的事情和行为
[00:00:39 - 00:00:41] 所以说数学建模在很多行业
[00:00:41 - 00:00:43] 所有的行业都是非常老
[00:00:43 - 00:00:45] 它可以为任何行业不能
[00:00:45 - 00:00:46] 再让就是对于数学这种专业
[00:00:46 - 00:00:47] 大家不要理解为说
[00:00:47 - 00:00:49] 老实它跟功课
[00:00:49 - 00:00:51] 功课是功课数学是数学
[00:00:51 - 00:00:55] 现在功课数学的这种交调融合种度非常非常高
[00:00:55 - 00:00:55] 知道吧
[00:00:55 - 00:00:56] 就是我们经常讲
[00:00:56 - 00:00:58] 第四次工业革命的抓手
[00:00:58 - 00:01:00] 就是数据数学
[00:01:00 - 00:01:02] 我们如何利用数学
[00:01:02 - 00:01:04] 去为各行各业富能
[00:01:04 - 00:01:05] 这个很重要
[00:01:05 - 00:01:07] 它几乎为所有的行业都可以去富能
[00:01:07 - 00:01:09] 包括现在做很多很多的实验
[00:01:09 - 00:01:10] 现在做农学实验
[00:01:10 - 00:01:11] 药学实验
[00:01:11 - 00:01:13] 都要先做数据建模
[00:01:13 - 00:01:14] 然后再去做实验
[00:01:14 - 00:01:16] 都不是直接做的
[00:01:16 - 00:01:18] 所以说它可以为任何行业富能
[00:01:18 - 00:01:19] 这是一个很好的专业
[00:01:19 - 00:01:20] 但前提条件是
[00:01:20 - 00:01:21] 你得研究上以上毕业
[00:01:21 - 00:01:23] 本货毕业啥也干不上
