BV号：BV1bJ411y7mp
标题：BV1bJ411y7mp
链接：https://www.bilibili.com/video/BV1bJ411y7mp
识别语言：zh
语言置信度：1
分段数：420
生成时间：2026-04-04 04:52:24

[00:00:02 - 00:00:06] 黄冬天方大学就我了解啊
[00:00:06 - 00:00:09] 他应该不是一个二有冬天大学
[00:00:09 - 00:00:11] 经常开玩笑的时候我要现在再去
[00:00:11 - 00:00:14] 就是像小庄生一样去念社会
[00:00:14 - 00:00:15] 我们就进不去了
[00:00:15 - 00:00:16] 是吧
[00:00:16 - 00:00:19] 中一要大学学真就推拿的
[00:00:19 - 00:00:21] 然后的话我说我要找一个助理
[00:00:21 - 00:00:24] 然后好多时候老师我会推拿
[00:00:24 - 00:00:25] 嗯
[00:00:25 - 00:00:26] 我找的
[00:00:26 - 00:00:27] 我找的
[00:00:27 - 00:00:37] 大家好欢迎收看小型读比图秀大开言界
[00:00:37 - 00:00:39] 我是要學習變得更快樂的張雪鋒老師
[00:00:39 - 00:00:40] 關注大開眼界
[00:00:40 - 00:00:42] 了解各行各業背後的故事
[00:00:42 - 00:00:43] 為你的專業選擇
[00:00:43 - 00:00:45] 提供更多的幫助
[00:00:45 - 00:00:46] 我們本期請到的嘉賓
[00:00:46 - 00:00:48] 依舊是我們大城的運營大衛
[00:00:48 - 00:00:50] 我們的曹老師
[00:00:50 - 00:00:50] 大家好
[00:00:50 - 00:00:51] 曹老師
[00:00:51 - 00:00:54] 你本科是在哪個學生讀的
[00:00:54 - 00:00:56] 教大系裡面
[00:00:56 - 00:00:58] 大家不認的一個學校
[00:00:58 - 00:00:59] 不能說不認
[00:00:59 - 00:01:01] 這個東華遙通是吧
[00:01:01 - 00:01:02] 沒有叫華東教大學
[00:01:02 - 00:01:04] 華東教東大學
[00:01:04 - 00:01:06] 那華東教東大學就我了解
[00:01:06 - 00:01:09] 他应该不是一个二二一的大学
[00:01:09 - 00:01:10] 经常开玩笑的时候
[00:01:10 - 00:01:11] 我要现在再去
[00:01:11 - 00:01:14] 就是像小庄生年去面试
[00:01:14 - 00:01:15] 我们就进不去了
[00:01:15 - 00:01:16] 是吧
[00:01:16 - 00:01:16] 对
[00:01:16 - 00:01:19] 那现在像你们额上周拼的时候
[00:01:19 - 00:01:21] 还有什么其他的硬性的优雄吗
[00:01:21 - 00:01:22] 其实没有
[00:01:22 - 00:01:23] 其实不会有特别硬性
[00:01:23 - 00:01:25] 包括学校这种
[00:01:25 - 00:01:26] 那我举个例子
[00:01:26 - 00:01:28] 比如说学生做奖励
[00:01:28 - 00:01:30] 那额上肯定是很多同学都想来的
[00:01:30 - 00:01:31] 对吧
[00:01:31 - 00:01:31] 那好了
[00:01:31 - 00:01:32] 那现在给你三个学生
[00:01:32 - 00:01:33] 你分别给他们一个建议
[00:01:33 - 00:01:35] 那一个是二二一的
[00:01:35 - 00:01:38] 比如说配二 然后一个是三本
[00:01:38 - 00:01:40] 对 那如果像你比如说三本这个学生
[00:01:40 - 00:01:42] 他先定格上的话 他在简历虚哦
[00:01:42 - 00:01:46] 他肯定要比别人更努力一下
[00:01:46 - 00:01:48] 这是 我指的努力是
[00:01:48 - 00:01:51] 简历上面还有他在找工作之前的努力
[00:01:51 - 00:01:54] 因为毕竟我们要承认学校和学校之间有差距
[00:01:54 - 00:01:56] 而且 怎么说呢
[00:01:56 - 00:01:58] 本身学校也是一种申请工具
[00:01:58 - 00:02:00] 对吧 这是我们要承认的
[00:02:00 - 00:02:02] 但是不是说这是绝对的
[00:02:02 - 00:02:04] 尤其是要去找工作的时候
[00:02:04 - 00:02:05] 我的建议是说
[00:02:05 - 00:02:10] 你一定要在你的能力突出向上
