BV号：BV1zerhBREB4
标题：BV1zerhBREB4
链接：https://www.bilibili.com/video/BV1zerhBREB4
识别语言：zh
语言置信度：1
分段数：59
生成时间：2026-04-03 00:40:48

[00:00:00 - 00:00:02] 你得先问问孩子的意见
[00:00:02 - 00:00:03] 因为你这个分析段
[00:00:03 - 00:00:06] 你只能上一个很普通很普通的一个学校
[00:00:06 - 00:00:07] 有可能是明白
[00:00:07 - 00:00:09] 有可能是一个非常普通的工班
[00:00:09 - 00:00:10] 然后的话
[00:00:10 - 00:00:11] 你最多就是考个研究生
[00:00:11 - 00:00:12] 考个研究生以后家长
[00:00:12 - 00:00:15] 以我对你现在目前那个情况的了解
[00:00:15 - 00:00:16] 你说说我想上加拿大上博士
[00:00:16 - 00:00:19] 家长博士不是孩子努力考的
[00:00:19 - 00:00:20] 博士是申请制
[00:00:20 - 00:00:21] 你要是申请不上博士的话
[00:00:21 - 00:00:22] 你学了一最高的学历
[00:00:22 - 00:00:24] 很有可能就是硕士了
[00:00:24 - 00:00:27] 你学了一最高学历是硕士的话
[00:00:27 - 00:00:28] 你很有可能将来毕业以后
[00:00:28 - 00:00:30] 我要在你们县医院工作
[00:00:30 - 00:00:31] 现在的小孩
[00:00:31 - 00:00:32] 每夜行可大了
[00:00:32 - 00:00:34] 你说你毕业以后
[00:00:34 - 00:00:35] 你回到县里边去工作
[00:00:35 - 00:00:36] 他不一定愿意的
[00:00:36 - 00:00:38] 这个事你一定要先商量明白再去报
[00:00:38 - 00:00:39] 听明白了吗
[00:00:39 - 00:00:40] 你如果是中低分析段
[00:00:40 - 00:00:41] 你想学医的
[00:00:41 - 00:00:43] 一定先问清楚这个问题
[00:00:43 - 00:00:45] 就是回到你家乡的县医院
[00:00:45 - 00:00:47] 或地理医院工作的话
[00:00:47 - 00:00:48] 你愿意不愿意
[00:00:48 - 00:00:49] 如果说你家乡是
[00:00:49 - 00:00:50] 经济比较发达的
[00:00:50 - 00:00:51] 地理医院的话
[00:00:51 - 00:00:52] 可能也就是县医院
[00:00:52 - 00:00:53] 比如像苏州
[00:00:53 - 00:00:54] 你要老师我们家是苏州的
[00:00:54 - 00:00:55] 对吧
[00:00:55 - 00:00:57] 老师我想到苏州的医院就业
[00:00:57 - 00:00:57] 那好了
[00:00:57 - 00:00:59] 你如果说是硕士毕业
[00:00:59 - 00:01:01] 苏都的三甲医院你都听不懂
[00:01:01 - 00:01:03] 你只能进下面现在三甲医院
[00:01:03 - 00:01:04] 你愿不愿意
[00:01:04 - 00:01:05] 你不愿意的话
[00:01:05 - 00:01:05] 那白答
[00:01:05 - 00:01:07] 那你别抱这个专业
[00:01:07 - 00:01:08] 听明白了吗
[00:01:08 - 00:01:09] 你先跟小孩商量好
[00:01:09 - 00:01:10] 别以为
[00:01:10 - 00:01:11] 别应该
[00:01:11 - 00:01:12] 这事没有应该的
[00:01:12 - 00:01:13] 开工没有回头店
[00:01:13 - 00:01:15] 后悔了就没有后悔要可以吃了
[00:01:15 - 00:01:17] 所以说这种事情
[00:01:17 - 00:01:18] 涉及到孩子命运的事情
[00:01:18 - 00:01:20] 千万不要你以为
[00:01:20 - 00:01:23] 千万不要应该要确定答案
[00:01:23 - 00:01:24] 听懂了吗 家长
