BV号：BV1ye4y1t71b
标题：BV1ye4y1t71b
链接：https://www.bilibili.com/video/BV1ye4y1t71b
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 17:32:15

[00:00:00 - 00:00:02] 对于你学计算机 那叫如虎天意
[00:00:02 - 00:00:04] 计算机学到最后其实就用数学
[00:00:04 - 00:00:07] 如果说你数学特别特别强好的话
[00:00:07 - 00:00:08] 你将来去学计算机的话
[00:00:08 - 00:00:10] 你基本上会要比整个学计算机的同学
[00:00:10 - 00:00:11] 更加高级一些
[00:00:11 - 00:00:13] 因为计算机这个专业
[00:00:13 - 00:00:14] 你在网上走的时候
[00:00:14 - 00:00:16] 高级的这种数据开发功能时
[00:00:16 - 00:00:17] 你数学如果学得比较好的话
[00:00:17 - 00:00:18] 你数学底子比较好
[00:00:18 - 00:00:20] 数学逻辑比较好的话
[00:00:20 - 00:00:22] 对于你学计算机 那叫如虎天意
[00:00:22 - 00:00:23] 我跟你说的是
[00:00:23 - 00:00:25] 它将来可以转计算机是其中的一个方向
[00:00:25 - 00:00:27] 而不是说让你真的所谓的说
[00:00:27 - 00:00:29] 你本拆学数学你将来转计算机
[00:00:29 - 00:00:30] 如果说你本拆学算机
[00:00:30 - 00:00:31] 你学数学
[00:00:31 - 00:00:32] 数学学的比较好
[00:00:32 - 00:00:33] 你做量化做的比较好
[00:00:33 - 00:00:35] 你数学学的比较明白
[00:00:35 - 00:00:36] 你继续考数学是没有问题的
[00:00:36 - 00:00:37] 如果说你本拆学算机
[00:00:37 - 00:00:39] 研究程序的到计算机的话
[00:00:39 - 00:00:40] 是非常非常有优势的
[00:00:40 - 00:00:42] 到最后就是玩算法
[00:00:42 - 00:00:43] 计算机是一个比较高的壁垒
[00:00:43 - 00:00:45] 数学是比计算机更高的壁垒
[00:00:45 - 00:00:46] 你数学这个专业
[00:00:46 - 00:00:46] 还有一个什么特点
[00:00:46 - 00:00:47] 你在报纸院的时候
[00:00:47 - 00:00:49] 数学的分一定比计算机分低
[00:00:49 - 00:00:50] 所以说的话
[00:00:50 - 00:00:51] 如果说你毛死数学的话
[00:00:51 - 00:00:53] 会让你的报考院校打次会更高一些
