BV号：BV13K411F78k
标题：BV13K411F78k
链接：https://www.bilibili.com/video/BV13K411F78k
识别语言：zh
语言置信度：1
分段数：27
生成时间：2026-04-04 00:12:17

[00:00:00 - 00:00:02] 你回不来,医学就是这样的,
[00:00:02 - 00:00:05] 各位家长,如果说你们在唐山有一些亲戚朋友在医院工作,
[00:00:05 - 00:00:09] 你问一问唐山各大医院的大夫、护士,
[00:00:09 - 00:00:15] 所有的工作人员,他们大多数毕业于哪个省份的学校,你们何不也少?
[00:00:15 - 00:00:19] 外省毕业的几乎很少,我不能说没有,但是很少。
[00:00:19 - 00:00:26] 10月1,你涉及到未来的实习,更涉及到未来的考研。
[00:00:26 - 00:00:29] 所以说的话,他考本省的学校
[00:00:29 - 00:00:32] 考本地的学校的就业会有资源用事
[00:00:32 - 00:00:35] 所以说学医不要只看学生,专业还明白
[00:00:35 - 00:00:36] 就是地狱
[00:00:36 - 00:00:39] 因为老百姓看病,医就是这样
[00:00:39 - 00:00:40] 对吧
[00:00:40 - 00:00:42] 你基本上你生病现在哪儿?他现在本地看
[00:00:42 - 00:00:44] 对不对?哪有人排名
[00:00:44 - 00:00:45] 我给大家举个例子
[00:00:45 - 00:00:46] 我来这讲课了
[00:00:46 - 00:00:47] 啪晕到了
[00:00:47 - 00:00:50] 口土白嘛,陽明風範的,你還在那兒查呢
[00:00:50 - 00:00:53] 陽別東哪個學校比較好,我要死人啊
[00:00:54 - 00:00:57] 你不乾淨給我送醫院,還在那兒查你說比較好呢,對不對
[00:00:57 - 00:01:00] 你要不是那種要死人的病,基本上大家本地的東西看對不對
[00:01:00 - 00:01:02] 本地看不了,你還要去外地看
[00:01:02 - 00:01:04] 所以說你說你所謂的專業排名有什麼意義呢
[00:01:04 - 00:01:07] 在醫學裡面沒有什麼意義,能明白嗎
[00:01:07 - 00:01:08] 所以說你在那上學,基本上在哪個就業
[00:01:08 - 00:01:10] 醫學,老老實實,你想在哪個就業
[00:01:10 - 00:01:13] 你就給他報紋學校,知道吧
