BV号：BV1vq4y197kK
标题：BV1vq4y197kK
链接：https://www.bilibili.com/video/BV1vq4y197kK
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 21:58:21

[00:00:00 - 00:00:01] 二十歲進入實驗的起步
[00:00:01 - 00:00:03] 三十歲進入實驗的頂峰
[00:00:03 - 00:00:05] 四十歲進入了實驗的突頭期
[00:00:05 - 00:00:08] 所以地域性很重要
[00:00:08 - 00:00:11] 如果說你想讓孩子在山西的醫院就業
[00:00:11 - 00:00:13] 你老老實實給他報山西的學校
[00:00:13 - 00:00:14] 你不要報外省的學校
[00:00:14 - 00:00:16] 報外省的學校回不來
[00:00:16 - 00:00:17] 基本回不來
[00:00:17 - 00:00:17] 第二
[00:00:17 - 00:00:18] 醫學這個做完業
[00:00:18 - 00:00:19] 你要做好心理準備
[00:00:19 - 00:00:21] 成才時間特別長
[00:00:21 - 00:00:23] 現在縣醫院招聘
[00:00:23 - 00:00:24] 最起碼都得碩石
[00:00:24 - 00:00:26] 三甲醫院都得博士
[00:00:26 - 00:00:29] 最起碼十年期
[00:00:29 - 00:00:31] 當別人的孩子30多歲的時候
[00:00:31 - 00:00:33] 已經在某些行業有一些建樹了
[00:00:33 - 00:00:35] 你的孩子30多歲
[00:00:35 - 00:00:37] 剛剛進入事業的起步階段
[00:00:37 - 00:00:40] 但醫學這個專業好處好在哪裡
[00:00:40 - 00:00:44] 它是少有的越老越吃香的行業
[00:00:44 - 00:00:46] 大家發現了嗎
[00:00:46 - 00:00:46] 你30歲的時候
[00:00:46 - 00:00:49] 剛剛進入事業的起點
[00:00:49 - 00:00:49] 對嗎
[00:00:49 - 00:00:51] 40歲進入事業的上升
[00:00:51 - 00:00:53] 50歲進入事業的黃金
[00:00:53 - 00:00:55] 60歲進入事業的輝煌
[00:00:55 - 00:00:59] 70歲又被反聘了回來
[00:00:59 - 00:01:01] 医院反平性上很多对不对
[00:01:01 - 00:01:04] 但你学别的专业所谓的好专业呢
[00:01:04 - 00:01:07] 计算机这专业多好啊
[00:01:07 - 00:01:08] 二岁进入失业的起步
[00:01:08 - 00:01:10] 三二岁进入失业的顶峰
[00:01:10 - 00:01:12] 四十岁进入了失业的突头期
[00:01:14 - 00:01:17] 五十岁他们先能活到五十岁再说
[00:01:17 - 00:01:18] 他有可能猝死了中间
