BV号：BV1yT4y1A7FS
标题：BV1yT4y1A7FS
链接：https://www.bilibili.com/video/BV1yT4y1A7FS
识别语言：zh
语言置信度：1
分段数：101
生成时间：2026-04-04 01:24:42

[00:00:32 - 00:00:34] 给大家说一下换了两个装备
[00:00:34 - 00:00:36] 一个就是这个袜子
[00:00:36 - 00:00:37] 然后换成了无纸袜
[00:00:37 - 00:00:40] 这也是经过我们专业的同学来提醒我
[00:00:40 - 00:00:42] 他说雪峰地称无纸袜
[00:00:42 - 00:00:43] 我说为什么
[00:00:43 - 00:00:44] 他说如果说你要跑步跑到
[00:00:44 - 00:00:46] 就是40公里以后的话
[00:00:46 - 00:00:49] 你这个五个脚指头之间会来挪
[00:00:49 - 00:00:51] 这样的话会带脚指头之间磨出水泡
[00:00:51 - 00:00:52] 就是你要穿无纸袜的话
[00:00:52 - 00:00:55] 这样的话就是防止脚指间来磨出水泡
[00:00:55 - 00:00:58] 所以说我临时买了一双
[00:00:58 - 00:00:59] 无纸袜
[00:00:59 - 00:01:03] 百分百了
[00:01:03 - 00:01:08] 大家看到了
[00:01:08 - 00:01:11] 给我们上一次介绍的那个鞋是不一样的
[00:01:11 - 00:01:13] 那我这一次换的这双鞋呢
[00:01:13 - 00:01:15] 它最重要的一个特点是什么呢
[00:01:15 - 00:01:17] 就是它的碳板会更厚一些
[00:01:17 - 00:01:18] 就是这样
[00:01:18 - 00:01:20] 你的脚往下落地的时候
[00:01:20 - 00:01:24] 它会有一个非常非常一个很明显的一种
[00:01:24 - 00:01:27] 就是一种弹力和一种支撑
[00:01:27 - 00:01:29] 就是可能不是说耐克的那双鞋
[00:01:29 - 00:01:30] 就是它的弹力不够
[00:01:30 - 00:01:32] 说我体重太大
[00:01:32 - 00:01:33] 那可能这双鞋呢
[00:01:33 - 00:01:34] 更适合体重大的人
[00:01:34 - 00:01:35] 起碼大的人
[00:01:35 - 00:01:36] 那双系列可能是
[00:01:36 - 00:01:37] 适合提供
[00:01:37 - 00:01:38] 没有像我这么大的人
[00:01:38 - 00:01:40] 毕竟我现在也是
[00:01:40 - 00:01:41] 将近160斤
[00:01:41 - 00:01:43] 然后有的跑者是140斤 120斤
[00:01:43 - 00:01:44] 我觉得还是不太一样的
[00:01:44 - 00:01:45] 所以说
[00:01:45 - 00:01:47] 我离时决定换了一双
[00:01:47 - 00:01:48] 这样的一个
[00:01:48 - 00:01:50] 就是看起来颜色更加鲜艳的鞋
[00:01:50 - 00:01:52] 然后大家可能对于这个东西
[00:01:52 - 00:01:52] 是不太了解的
[00:01:52 - 00:01:54] 说这个是什么
[00:01:54 - 00:01:56] 大家看到这个东西
[00:01:56 - 00:01:57] 是我们在跑马
[00:01:57 - 00:01:58] 跑马拉松的时候
[00:01:58 - 00:02:01] 它的一个计时的芯片
[00:02:01 - 00:02:02] 这个是一个计时的芯片
[00:02:02 - 00:02:03] 然后从6.5我们开跑
[00:02:03 - 00:02:04] 开始计时
[00:02:04 - 00:02:07] 它是一个会准确计时的一个芯片
[00:02:07 - 00:02:09] 所以是绑在鞋带上的
[00:02:10 - 00:02:11] 凡是零
[00:02:12 - 00:02:14] 这个也是之前大家推荐的
[00:02:14 - 00:02:15] 就是
[00:02:15 - 00:02:16] 就是
[00:02:19 - 00:02:21] 这个叫做盐版
[00:02:21 - 00:02:24] 这个是不充盐粉和
[00:02:27 - 00:02:28] 垫解质的
[00:02:28 - 00:02:29] 但是这个东西如果说
[00:02:29 - 00:02:31] 鸟放在嘴里边含着吃的话
[00:02:31 - 00:03:01] 我非常想把这个
[00:03:02 - 00:03:03] 我人家选择对自己的
[00:03:03 - 00:03:05] 这有个地方松铁在这
[00:03:06 - 00:03:16] 然后你看前面那个戴帽子
[00:03:16 - 00:03:17] 兔耳的的
[00:03:17 - 00:03:18] 然后的话
[00:03:18 - 00:03:19] 那个是我们的官方的兔子
[00:03:19 - 00:03:21] 就是就是
[00:03:21 - 00:03:22] 就是它是我们的一个技师标点
[00:03:22 - 00:03:23] 你知道吧
[00:03:23 - 00:03:24] 然后有两个半小时的兔子
[00:03:24 - 00:03:25] 三个小时的兔子
[00:03:25 - 00:03:26] 三个半小时的兔子
[00:03:26 - 00:03:27] 四个小时的兔子
[00:03:27 - 00:03:29] 四个半小时的兔子
[00:03:29 - 00:03:30] 就是当你看到那个兔子的时候
[00:03:30 - 00:03:32] 你大概知道自己的成绩
[00:03:32 - 00:03:34] 全码成绩大概是在四个小时以内
[00:03:34 - 00:03:36] 那你就超过四个小时的兔子
[00:03:36 - 00:03:37] 然后的话
[00:03:37 - 00:03:38] 你要是在四个小时的兔子
[00:03:38 - 00:03:38] 后面的话呢
[00:03:38 - 00:03:40] 你的成绩应该是在四小时后面的
[00:03:40 - 00:03:41] 对
[00:03:41 - 00:03:43] 然后的话就是一个三照的点
[00:03:45 - 00:03:48] 第49名
[00:06:21 - 00:06:22] 第49名
[00:06:22 - 00:06:28] 是人的是不是
[00:06:28 - 00:06:30] 120人第49名
[00:06:30 - 00:06:31] 而且第一次马上走
[00:06:31 - 00:06:32] 手满
[00:06:32 - 00:06:34] 4小时07 56秒
[00:06:34 - 00:06:35] 手满太棒了
[00:06:35 - 00:06:37] 而且冲过以后觉得还没跑够
[00:06:37 - 00:06:38] 还要再加一点
[00:06:39 - 00:06:41] 可以可以
[00:06:41 - 00:06:42] 太棒了太棒了
[00:06:42 - 00:06:44] 感觉还可以
[00:06:44 - 00:06:45] 还可以还可以
