BV号：BV1Hi4y1a7dc
标题：BV1Hi4y1a7dc
链接：https://www.bilibili.com/video/BV1Hi4y1a7dc
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 13:01:02

[00:00:00 - 00:00:01] 什么影响说的录取未辞啊
[00:00:01 - 00:00:06] 一就是上面的招生计划有没有增减
[00:00:06 - 00:00:08] 我给大家举个简单的例子
[00:00:08 - 00:00:10] 比如说清华北大
[00:00:10 - 00:00:14] 清华北大一共在某个省份招100人
[00:00:14 - 00:00:16] 结果清华北大今年对这个省分家计划了
[00:00:17 - 00:00:18] 他招110人
[00:00:20 - 00:00:23] 那下边的学校位置变化会怎么样
[00:00:23 - 00:00:24] 会往下走
[00:00:24 - 00:00:25] 为什么呢
[00:00:25 - 00:00:27] 比如说清北一共录100人
[00:00:27 - 00:00:29] 傅教也录100人
[00:00:29 - 00:00:31] 结果清北扩招了10个人
[00:00:31 - 00:00:34] 也就是上清北的有110人
[00:00:34 - 00:00:34] 那么上富郊的
[00:00:34 - 00:00:35] 如果它不变的话
[00:00:35 - 00:00:37] 它应该最低陆曲位次到200亿
[00:00:37 - 00:00:39] 往下走
[00:00:39 - 00:00:42] 但上面的缩轴陆曲位次会往上走
[00:00:42 - 00:00:44] 所以说它得看一下整体的
[00:00:44 - 00:00:44] 比如说大老师
[00:00:44 - 00:00:46] 我们家这个情况在221左右
[00:00:46 - 00:00:48] 在985左右
[00:00:48 - 00:00:49] 那你能不能录到221
[00:00:49 - 00:00:50] 能不能录到985
[00:00:50 - 00:00:51] 其实方法非常简单
[00:00:51 - 00:00:53] 你看一下往年
[00:00:53 - 00:00:55] 比你们家这个孩子的位次
[00:00:55 - 00:00:56] 高的那些学校
[00:00:56 - 00:00:58] 它今年的整体
[00:00:58 - 00:01:00] 招生计划是在这么多还是在减少
[00:01:00 - 00:01:01] 这是第一
[00:01:01 - 00:01:02] 第二的话
[00:01:02 - 00:01:04] 就看你上面的人他会怎么想
[00:01:04 - 00:01:06] 比你分高的人他会怎么想
[00:01:06 - 00:01:06] 他会往哪儿抱
