BV号：BV1s94y1D7Gu
标题：BV1s94y1D7Gu
链接：https://www.bilibili.com/video/BV1s94y1D7Gu
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 18:12:53

[00:00:00 - 00:00:02] 大家如果說自己找一家志願田爆機構
[00:00:02 - 00:00:04] 那你得看一下它的專業性
[00:00:04 - 00:00:05] 這個專業你未來你怎麼發展
[00:00:05 - 00:00:08] 你得去咨詢一下 了解一下
[00:00:08 - 00:00:09] 這個志願田爆老師狗屁股不懂
[00:00:09 - 00:00:10] 還敢給你報紙運
[00:00:10 - 00:00:12] 大家又如果有興趣的話
[00:00:12 - 00:00:14] 你當其他的當地的志願田爆機構
[00:00:14 - 00:00:14] 你去問問他
[00:00:14 - 00:00:16] 去年我給我兒子報紙運報到南大
[00:00:16 - 00:00:18] 你們這是要不要兼職老師
[00:00:18 - 00:00:19] 我可以在你這做兼職老師
[00:00:19 - 00:00:20] 你問題要不要
[00:00:20 - 00:00:21] 而且大家有興趣
[00:00:21 - 00:00:22] 等到6月份的時候
[00:00:22 - 00:00:23] 你在網上搜
[00:00:23 - 00:00:25] 高考志願田爆師兼職群
[00:00:25 - 00:00:28] 你在網上搜一堆居然史
[00:00:28 - 00:00:29] 就是一幫正在上大學的
[00:00:29 - 00:00:30] 跑下来
[00:00:30 - 00:00:32] 就是他自己志愿报完以后
[00:00:32 - 00:00:33] 他自己又心得了
[00:00:33 - 00:00:34] 就给你孩子保证
[00:00:34 - 00:00:35] 然后我们据我了解
[00:00:35 - 00:00:37] 我们是全国唯一一家
[00:00:37 - 00:00:40] 用全职志愿情报老师的团队
[00:00:40 - 00:00:41] 就是我们
[00:00:41 - 00:00:42] 我来到苏州以后的话
[00:00:42 - 00:00:43] 我专门做了一个高报的公司
[00:00:43 - 00:00:45] 就是我现在做的这个事
[00:00:45 - 00:00:46] 就是因为我就像我所说的
[00:00:46 - 00:00:47] 原来做考研
[00:00:47 - 00:00:49] 我就觉得那帮学生考研
[00:00:49 - 00:00:50] 很多的坑都是在高产期
[00:00:50 - 00:00:51] 挖的
[00:00:51 - 00:00:52] 再加上新高考改革
[00:00:52 - 00:00:55] 所以说我就觉得要用我的知识
[00:00:55 - 00:00:57] 要用我的理解去给大家讲
[00:00:57 - 00:00:58] 希望大家在专业选择上
[00:00:58 - 00:00:59] 方向不要错
[00:00:59 - 00:01:00] 因为当地你要知道
[00:01:00 - 00:01:01] 一旦你专业方式选错了
[00:01:01 - 00:01:03] 你未来要花的钱和力气
[00:01:03 - 00:01:05] 要分辈的
[00:01:05 - 00:01:06] 所以很麻烦
[00:01:06 - 00:01:07] 好 说说大家这个玩意的话
[00:01:07 - 00:01:08] 一定要去多了解多学习
