BV号：BV17g41137tr
标题：BV17g41137tr
链接：https://www.bilibili.com/video/BV17g41137tr
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-04-03 23:18:40

[00:00:00 - 00:00:02] 然后第二个阶段的就是新中国成立
[00:00:02 - 00:00:03] 综合型大学变为专业性院校
[00:00:03 - 00:00:06] 这个标志性的事件就是1952年
[00:00:07 - 00:00:09] 1952年要进行的一个叫越西大调整
[00:00:09 - 00:00:12] 52年之前中国的大学都是一些综合性的大学
[00:00:12 - 00:00:13] 就是一个大学里边
[00:00:13 - 00:00:14] 什么专业都有
[00:00:14 - 00:00:15] 这个专业也有
[00:00:15 - 00:00:16] 那个专业也有
[00:00:16 - 00:00:17] 那个专业也有
[00:00:17 - 00:00:19] 但是为了适应咱们新中国的一个建设
[00:00:19 - 00:00:23] 我们52年进行过一次非常全面的越西大调整
[00:00:23 - 00:00:28] 它的调整方向就是将综合型大学全部转为专业性院校
[00:00:28 - 00:00:35] 那就使得一些所谓的老牌大学在整个怎么说呢
[00:00:35 - 00:00:39] 就是分裂阶段所谓的造成了很多很多的影响
[00:00:39 - 00:00:41] 以及所谓的损失
[00:00:41 - 00:00:44] 我觉得大家经常有学校同学说
[00:00:44 - 00:00:45] 当年我们学校多牛多牛多牛
[00:00:45 - 00:00:46] 结果50年约系统的时候
[00:00:46 - 00:00:48] 我们学校怎么怎么样
[00:00:48 - 00:00:51] 我觉得你不能用这种话来说这个事
[00:00:51 - 00:00:51] 为什么呢
[00:00:51 - 00:00:53] 太小家子去
[00:00:53 - 00:00:54] 知道吧
[00:00:54 - 00:00:55] 就是格局
[00:00:55 - 00:00:56] 知道吧
[00:00:56 - 00:00:58] 格局太低了
[00:00:58 - 00:01:01] 因为我们那个收少进行全新中国的一个建设
[00:01:01 - 00:01:03] 你不能说只依我这个学校
[00:01:03 - 00:01:05] 我自己的得失怎么怎么样
[00:01:05 - 00:01:07] 因为你从全盘来看
[00:01:07 - 00:01:07] 所以说的话
[00:01:07 - 00:01:09] 当时比较著名的一些事件
[00:01:09 - 00:01:11] 比如说大家原来知道的
[00:01:11 - 00:01:12] 我跟大家讲过的
[00:01:12 - 00:01:13] 对吧
[00:01:13 - 00:01:15] 原来国立中央大学
[00:01:15 - 00:01:17] 然后一分为很多家
[00:01:17 - 00:01:17] 到这成立一个什么
[00:01:17 - 00:01:18] 到那成立一个什么
[00:01:18 - 00:01:19] 对吧
[00:01:19 - 00:01:20] 那么这是南京大学我讲过的
[00:01:20 - 00:01:22] 大家还有很多不知道的
[00:01:22 - 00:01:24] 比如像山西大学
[00:01:24 - 00:01:26] 山西大学当年也是很厉害的
[00:01:26 - 00:01:28] 山西大学也是当年很厉害的
[00:01:28 - 00:01:30] 结果在50年院期调冷的时候
[00:01:30 - 00:01:35] 山西大学基本上分裂出了现在山西几乎所有的大学
[00:01:35 - 00:01:39] 你看太元理工大学当年也是山西大学的工学院分出来的
[00:01:39 - 00:01:42] 然后山西一科大学也是山西大学的医学院分出来的
[00:01:42 - 00:01:44] 山西大学农学院
[00:01:44 - 00:01:47] 就是现在不是现在叫山西农学大学也是山西大学农学院分出来的
[00:01:47 - 00:01:49] 也分裂了很多分裂成很多部分
[00:01:49 - 00:01:52] 包括像当年的广西大学
[00:01:53 - 00:01:56] 也是综合实力非常强的学校
[00:01:56 - 00:01:57] 然后也是分
[00:01:57 - 00:01:59] 然后的话就开始这种拆分
[00:01:59 - 00:02:00] 当时这些大学可以说为咱们
[00:02:00 - 00:02:02] 徐农国的这个工业建设
[00:02:02 - 00:02:05] 真的是做出了很大很大的贡献
[00:02:05 - 00:02:05] 这是第二个结构
