BV号：BV1Wq4y1k75b
标题：BV1Wq4y1k75b
链接：https://www.bilibili.com/video/BV1Wq4y1k75b
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 21:38:15

[00:00:00 - 00:00:03] 大家好我上学习变得更快乐的张雪锋老师
[00:00:03 - 00:00:06] 这每逢双十一国民的手速真的是
[00:00:06 - 00:00:09] 堪比大学食堂的一个抢饭现场
[00:00:09 - 00:00:11] 咱也不知道大家都抢了啥
[00:00:11 - 00:00:13] 反正大家是把兜里的钱都花完了
[00:00:13 - 00:00:15] 花完以后的话咱就等着什么
[00:00:15 - 00:00:17] 就成天就等着收获了
[00:00:17 - 00:00:19] 也成天看我这快递到哪了
[00:00:19 - 00:00:20] 对不对
[00:00:20 - 00:00:21] 咱买完他得送
[00:00:21 - 00:00:22] 对吧
[00:00:22 - 00:00:24] 你看那每天全网的商品
[00:00:24 - 00:00:24] 那成交量
[00:00:24 - 00:00:27] 再看看一任堆积承山的这个箱子
[00:00:27 - 00:00:28] 就面临的一个什么样的问题
[00:00:28 - 00:00:30] 叫做物流問題
[00:00:30 - 00:00:32] 大家觉得物流是干嘛的呢
[00:00:32 - 00:00:33] 肯定有人说
[00:00:33 - 00:00:36] 物流不就是送快递的吗
[00:00:36 - 00:00:36] 我跟你说
[00:00:36 - 00:00:40] 你可千万别在物流专业的面前说这句话
[00:00:40 - 00:00:41] 他问怕他们揍你
[00:00:41 - 00:00:42] 我们大学里边
[00:00:42 - 00:00:46] 与物流相关专业的叫做物流管理与工程类
[00:00:46 - 00:00:49] 简直言之就是包括对物流进行计划
[00:00:49 - 00:00:52] 组织指挥协调等一系列活动
[00:00:52 - 00:00:55] 那么他属于我们学科大类中的管理类
[00:00:55 - 00:00:57] 下边分这四个学科
[00:00:57 - 00:00:59] 那是哪是个学科呢
[00:00:59 - 00:01:03] 直到的同学可以在评论区讨论起来
[00:01:03 - 00:01:05] 我们明天同一时间节日了
