BV号：BV1p34y187mY
标题：BV1p34y187mY
链接：https://www.bilibili.com/video/BV1p34y187mY
识别语言：zh
语言置信度：1
分段数：109
生成时间：2026-04-03 20:11:00

[00:00:00 - 00:00:03] 我個人估計成績應該不是特別的好吧
[00:00:04 - 00:00:05] 對中等吧
[00:00:05 - 00:00:05] 嗯
[00:00:06 - 00:00:08] 你知道我怎麼猜說你成績不是特別好的嗎
[00:00:09 - 00:00:10] 不知道
[00:00:10 - 00:00:11] 來我們再練一位家長
[00:00:11 - 00:00:11] 來
[00:00:11 - 00:00:12] 哎
[00:00:12 - 00:00:13] 哎你好
[00:00:13 - 00:00:13] 是我嗎
[00:00:13 - 00:00:15] 是你是你是你
[00:00:15 - 00:00:16] 我讓他臉亮亮吧
[00:00:16 - 00:00:18] 你嚇我一跳
[00:00:18 - 00:00:19] 哈哈哈哈
[00:00:20 - 00:00:22] 趙老師你好你好
[00:00:22 - 00:00:23] 啊
[00:00:23 - 00:00:26] 那個我是河北高三考生的家長
[00:00:26 - 00:00:27] ok選的什麼
[00:00:27 - 00:00:29] 啊我們選的是大文
[00:00:29 - 00:00:31] 大文啊,哦,实地正
[00:00:31 - 00:00:32] 对对对对
[00:00:32 - 00:00:35] 然后的话,还在将来,我给你说一下文科啊
[00:00:35 - 00:00:38] 大家注意,我们在这里文科的家长和搞同学故意
[00:00:38 - 00:00:41] 给你说一下文科报职院的几个大方向
[00:00:41 - 00:00:43] 第一个大方向就是语文和外语的示范
[00:00:43 - 00:00:45] 第二个大方向是加上其他示范
[00:00:45 - 00:00:50] 因为你大文的话可以有历史,可以有私证,可以有地理,可以有小学教育
[00:00:50 - 00:00:52] 可以有学前教育这种专业
[00:00:52 - 00:00:56] 但是这些专业跟语文和外语的示范,差距要稍微有一点大
[00:00:56 - 00:01:00] 因为同样一个学校语文和英语的示范类是分最高的
[00:01:00 - 00:01:02] 然后其他的示范分相对比较低一些
[00:01:02 - 00:01:03] 这是第二个大方向
[00:01:03 - 00:01:05] 就是所有的示范我都可以接受
[00:01:05 - 00:01:07] 第三个大方向是报法学
[00:01:07 - 00:01:09] 第四个大方向是报经管
[00:01:09 - 00:01:11] 第五个大方向是空铃校
[00:01:11 - 00:01:13] 就是我为了上好地区上个好学校
[00:01:13 - 00:01:17] 然后的话呢这个我就可以就是专业
[00:01:17 - 00:01:18] 我可以去稍微牺牲一点
[00:01:18 - 00:01:20] 所以说的话这五个方向
[00:01:20 - 00:01:22] 你在报志愿的时候选择一个
[00:01:22 - 00:01:24] 咱们现在想报哪一个
[00:01:24 - 00:01:27] 还要喜欢那种 孩子应该是你
[00:01:27 - 00:01:29] 你自己比较喜欢新闻传播类的东西
[00:01:29 - 00:01:31] 新闻传播这种传播
[00:01:31 - 00:01:33] 新闻传播是这样的 家长
[00:01:33 - 00:01:34] 新闻传播我个人觉得是这样的
[00:01:34 - 00:01:37] 咱们没有必要在报纸院的时候给孩子报
[00:01:37 - 00:01:39] 因为这种专业它没有专业门槛
[00:01:39 - 00:01:41] 就是我们现在看到的
[00:01:41 - 00:01:42] 因为你看我也是网红的话 对吧
[00:01:42 - 00:01:43] 然后的话呢
[00:01:43 - 00:01:46] 就是我们现在知道的新媒体行业
[00:01:46 - 00:01:47] 做的比较好的人
[00:01:47 - 00:01:49] 几乎是没有学新闻传播的
[00:01:49 - 00:01:50] 所以说这种东西
[00:01:50 - 00:01:51] 它专业门槛相对比较低
[00:01:51 - 00:01:55] 如果干新闻传播也是进自媒体行当的话
[00:01:55 - 00:01:57] 你没有必要上来决心传播
[00:01:57 - 00:01:58] 能听懂我的话吧
[00:01:58 - 00:01:59] 能能能
[00:01:59 - 00:01:59] 对
[00:02:00 - 00:02:01] 所以说的话就是这样
[00:02:01 - 00:02:02] 那你男孩女孩
[00:02:03 - 00:02:04] 女孩
[00:02:04 - 00:02:06] 女孩可能想当老师是吧
[00:02:07 - 00:02:08] 好像还不太愿意
[00:02:08 - 00:02:09] 他想当主持人
[00:02:09 - 00:02:11] 想当主持人就比较麻烦了
[00:02:11 - 00:02:13] 想当主持人跟他学什么专业
[00:02:13 - 00:02:14] 其实没什么差大关系
[00:02:14 - 00:02:15] 所以说的话
[00:02:15 - 00:02:16] 这个军机就得看他
[00:02:16 - 00:02:18] 将来自己的发展能力了
[00:02:18 - 00:02:19] 然后的话
[00:02:19 - 00:02:20] 如果说能尽量选的意欲
[00:02:20 - 00:02:23] 这辆选地域文科一定要选地域
[00:02:23 - 00:02:25] 文科一定要选地域
[00:02:25 - 00:02:25] 因为
[00:02:25 - 00:02:26] 我们这个知道
[00:02:26 - 00:02:26] 对
[00:02:26 - 00:02:29] 因为我们文科大多数专业都是社会人文学科
[00:02:29 - 00:02:30] 社会人文学科的话
[00:02:31 - 00:02:33] 社会人文学科的话就是地域真的很重要
[00:02:34 - 00:02:37] 因为你将来大概率是进入到服务行业
[00:02:37 - 00:02:39] 服务行业如果当地经济不好的话
[00:02:39 - 00:02:41] 那你这个就会很麻烦
[00:02:41 - 00:02:44] 我个人估计成绩应该不是特别的好吧
[00:02:45 - 00:02:45] 对
[00:02:45 - 00:02:46] 中等吧
[00:02:47 - 00:02:48] 你知道我怎么猜出来
[00:02:48 - 00:02:49] 你成绩不是特别好的吗
[00:02:49 - 00:02:51] 不知道
[00:02:51 - 00:02:54] 因为你说的不管是中文专业也好
[00:02:54 - 00:02:55] 还是新闻创众业也好的话
[00:02:55 - 00:02:57] 他们有个共同的特点就是没有数学
[00:02:57 - 00:02:59] 数学学得很一般
[00:02:59 - 00:03:01] 想避开数学对吧
[00:03:01 - 00:03:02] 对
[00:03:02 - 00:03:05] 老师太聪明了
[00:03:05 - 00:03:08] 所以说有的时候大家说
[00:03:08 - 00:03:10] 说张老师哇的天怎么
[00:03:10 - 00:03:11] 我一说什么情况
[00:03:11 - 00:03:12] 我就说几句话
[00:03:12 - 00:03:14] 你怎么就猜得特别的准
[00:03:14 - 00:03:16] 那数学是特别的权团
[00:03:16 - 00:03:17] 对
[00:03:17 - 00:03:18] 所以说就是想避开数学
[00:03:18 - 00:03:24] 我一看你专业的选择,我就知道你大概要干嘛
