BV号：BV1c34y1X7d4
标题：BV1c34y1X7d4
链接：https://www.bilibili.com/video/BV1c34y1X7d4
识别语言：zh
语言置信度：1
分段数：51
生成时间：2026-04-03 22:24:08

[00:00:00 - 00:00:02] 我每退一次到危险 每退一次到危险
[00:00:02 - 00:00:04] 他都快可是跪下来都快
[00:00:04 - 00:00:07] 我想问一下那个雪峰老师
[00:00:07 - 00:00:08] 就是
[00:00:08 - 00:00:09] 要考研啊
[00:00:09 - 00:00:11] 哈哈哈哈
[00:00:11 - 00:00:13] 老师那个就是
[00:00:13 - 00:00:16] 这个男的这个就是医生啊老师啊还有演员
[00:00:16 - 00:00:19] 这个三个身份您有什么秘诀吗
[00:00:19 - 00:00:20] 这个演员这个事情
[00:00:20 - 00:00:23] 这个大家也知道我自从所谓的火力后的话
[00:00:23 - 00:00:25] 拍电影拍院线电影确实是第一次
[00:00:25 - 00:00:27] 但是希望不是最后一次
[00:00:27 - 00:00:29] 然后的话呢这个以前也拍过一些网大
[00:00:29 - 00:00:33] 然后的话我总是跟我的寻找说你要去体验一些你没有体验过的美好
[00:00:33 - 00:00:35] 包括拍电影也是这样啊
[00:00:35 - 00:00:37] 因为原来我确实没有拍过运线电影
[00:00:37 - 00:00:39] 然后的话这次拍运线电影的话
[00:00:39 - 00:00:42] 他发现就是当演员也不是一个很容易的事情
[00:00:42 - 00:00:45] 比如说大家可能在电影里边你看到的一个镜头
[00:00:45 - 00:00:46] 可能你就那么一分钟两分钟
[00:00:46 - 00:00:48] 但是我们后面要拍很多次
[00:00:48 - 00:00:53] 然后的话后来我才知道这个当演员最害怕导演那个喊一句话
[00:00:53 - 00:00:55] 这条很不错我们再保一条就是再来一次的意思
[00:00:55 - 00:00:58] 然后的话就是真的很少有所谓一次过
[00:00:58 - 00:00:59] 就你觉得你很好
[00:00:59 - 00:01:00] 但是也很难意思过
[00:01:00 - 00:01:02] 你看我一向最深就是拍那个
[00:01:02 - 00:01:04] 推那个钢琴家的那场戏
[00:01:04 - 00:01:04] 我的天啊
[00:01:04 - 00:01:07] 就是那个美女让我推了十多遍
[00:01:07 - 00:01:08] 我每推一次倒个线
[00:01:08 - 00:01:09] 每推一次倒个线
[00:01:09 - 00:01:11] 然后的话就快可是跪下来就快
[00:01:11 - 00:01:11] 剪掉了
[00:01:11 - 00:01:13] 对剪掉了那段是吧
[00:01:13 - 00:01:13] 哦
[00:01:16 - 00:01:17] 对
[00:01:17 - 00:01:18] 然后的话真的就是
[00:01:18 - 00:01:19] 但是你看拍了半天剪掉了
[00:01:19 - 00:01:21] 中秋味道日换鲜到
[00:01:21 - 00:01:22] 由我参演的电影
[00:01:22 - 00:01:23] 日常换鲜指南的
[00:01:23 - 00:01:25] 将于9月19号全国上映
[00:01:25 - 00:01:25] 在这里呢
[00:01:25 - 00:01:28] 我先来给大家送出一波福利
[00:01:28 - 00:01:29] 参与评论区互动
[00:01:29 - 00:01:31] 说一说你的中秋怎么过
[00:01:31 - 00:01:34] 我们将送给你日常幻想之南的电影票
[00:01:34 - 00:01:35] 这个中秋
[00:01:35 - 00:01:37] 幻你一笑
