BV号：BV1Nz4y1K7Z8
标题：BV1Nz4y1K7Z8
链接：https://www.bilibili.com/video/BV1Nz4y1K7Z8
识别语言：zh
语言置信度：1
分段数：32
生成时间：2026-04-03 13:22:05

[00:00:00 - 00:00:02] 明年专业组干净的会很少
[00:00:02 - 00:00:03] 最干净的专业组是什么呢
[00:00:03 - 00:00:06] 是学一的必物必化合逼生
[00:00:06 - 00:00:08] 比如说山西一科大学的临床医学所在的组
[00:00:08 - 00:00:10] 哈尔滨一科大学临床医学所在的组
[00:00:10 - 00:00:12] 中南大学临床医学所在的组
[00:00:12 - 00:00:13] 非常干净
[00:00:13 - 00:00:14] 就是必物必化合逼生
[00:00:14 - 00:00:16] 因为必物必化合逼生
[00:00:16 - 00:00:19] 一定是临床类或口香医学类
[00:00:19 - 00:00:21] 它不会有别的专业是必物必化合逼生
[00:00:21 - 00:00:23] 大多数理工类专业是必物必化
[00:00:23 - 00:00:24] 大赞
[00:00:24 - 00:00:24] 什么意思
[00:00:24 - 00:00:27] 比如说计算机和材料是不是一个组
[00:00:27 - 00:00:29] 计算机和材料是不是一个组
[00:00:29 - 00:00:30] 明年就是一个组
[00:00:30 - 00:00:33] 因为计算机大多数院校的选课要求是B5B化
[00:00:33 - 00:00:34] 材料也是B5B
[00:00:34 - 00:00:35] 它大多数是一个组
[00:00:35 - 00:00:38] 但是有的学校在本省高层的时候会打散
[00:00:38 - 00:00:40] 计算机叫B5B化组
[00:00:40 - 00:00:42] 1.材料叫B5B化组
[00:00:42 - 00:00:43] 2.材料不是一个组
[00:00:43 - 00:00:45] 你包计算机调集不到的材料
[00:00:45 - 00:00:46] 有的学校会这样
[00:00:46 - 00:00:48] 但是有的学校是计算机考上可以调集到材料
[00:00:48 - 00:00:49] 不同学校不一样
[00:00:49 - 00:00:51] 看这个学校的招生政策
[00:00:51 - 00:00:53] 它的专业组招生政策
[00:00:53 - 00:00:54] 会不会给你打散
[00:00:54 - 00:00:55] 这个不一定
