BV号：BV1jx41197Tc
标题：BV1jx41197Tc
链接：https://www.bilibili.com/video/BV1jx41197Tc
识别语言：zh
语言置信度：1
分段数：169
生成时间：2026-04-04 07:43:28

[00:00:02 - 00:00:05] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:05 - 00:00:06] 现在是暑假了
[00:00:06 - 00:00:09] 暑假对于大多数的大学上来讲的话
[00:00:09 - 00:00:10] 那是非常开心的一个假期
[00:00:10 - 00:00:13] 但是对于那些刚毕业的同学来讲的话
[00:00:13 - 00:00:14] 可能就有点小难受了
[00:00:14 - 00:00:16] 别看你们上了几年大学
[00:00:16 - 00:00:19] 到了社会上你可是一个一年级的新生
[00:00:19 - 00:00:21] 有很多紧手的问题等着你
[00:00:21 - 00:00:23] 比如说租房子的事情
[00:00:23 - 00:00:24] 说到毕业租房
[00:00:24 - 00:00:25] 很多同学可能是第一次租房子
[00:00:25 - 00:00:28] 对于租房子这个事可能就没有什么概念
[00:00:28 - 00:00:30] 那么咱们今天这个租房补习班
[00:00:30 - 00:00:33] 照样社区结合自己十多年的北漂经历
[00:00:33 - 00:00:35] 还有大家一些比较常见的问题
[00:00:35 - 00:00:37] 给大家一些比较合理的建议
[00:00:37 - 00:00:42] 拿多少钱来租房子比较合适呢
[00:00:42 - 00:00:45] 给大家介绍一个系数叫做房根系数
[00:00:45 - 00:00:47] 就是说我们租房子的资金
[00:00:47 - 00:00:51] 和我们每个月的收入比重大概是多少
[00:00:51 - 00:00:54] 那么这个房根系数在25%到30%之间
[00:00:54 - 00:00:55] 是比较合理的
[00:00:55 - 00:00:58] 所以说大家如果说想用比较少的资金
[00:00:58 - 00:01:01] 去租到一个自己比较想住的房子的话
[00:01:01 - 00:01:03] 还是有点难度的
[00:01:03 - 00:01:07] 要说刚毕业的时候吧
[00:01:07 - 00:01:08] 咱们收入也都不高
[00:01:08 - 00:01:08] 对吧
[00:01:08 - 00:01:09] 咱们租个好房子
[00:01:09 - 00:01:12] 关键是咱得付得起这个房租啊
[00:01:12 - 00:01:13] 你到社会上租房子
[00:01:13 - 00:01:14] 你说地段好的房子吧
[00:01:14 - 00:01:16] 租金就特别的贵
[00:01:16 - 00:01:19] 搞不好房价系数一下子就到了高压线了
[00:01:19 - 00:01:21] 那地段不好的房子吧
[00:01:21 - 00:01:22] 又远又偏
[00:01:22 - 00:01:24] 条件还不一定好
[00:01:24 - 00:01:25] 你又不一定想去住
[00:01:25 - 00:01:27] 所以说新加比这个事就非常的重要
[00:01:27 - 00:01:30] 那怎么才能找到一个租金不贵
[00:01:30 - 00:01:33] 住得还好的这么一个房源
[00:01:33 - 00:01:36] 这可能就有一定的运气和技巧性了
[00:01:39 - 00:01:41] 再加上大家普遍缺乏社会经验
[00:01:41 - 00:01:42] 那么在第一次租房子的时候
[00:01:42 - 00:01:44] 不可避免的会遇到一些问题
[00:01:44 - 00:01:46] 比如说去哪找房子
[00:01:46 - 00:01:46] 对吧
[00:01:46 - 00:01:49] 怎么找到比较适合自己的这个房子
[00:01:49 - 00:01:51] 现在租房子你会发现各种中介费
[00:01:51 - 00:01:52] 服务费
[00:01:52 - 00:01:53] 压金
[00:01:53 - 00:01:54] 预付款什么的
[00:01:54 - 00:01:55] 确实是挺多的
[00:01:55 - 00:01:57] 咱们刚才毕业收入又不是特别的高
[00:01:57 - 00:01:59] 这笔钱对于咱们来讲
[00:01:59 - 00:02:01] 应该是一个非常非常大的一个数额了
[00:02:01 - 00:02:01] 对吧
[00:02:01 - 00:02:04] 但如果大家想把这笔钱给省下来
[00:02:04 - 00:02:05] 比如这个中介费
[00:02:05 - 00:02:06] 先把他给省下来的话
[00:02:06 - 00:02:08] 最好是直接跟房东接触
[00:02:08 - 00:02:10] 那下面的内容你要仔细听好了
[00:02:10 - 00:02:12] 可都是咱们租房子的干货
[00:02:16 - 00:02:18] 在大家现在收入不是很高
[00:02:18 - 00:02:18] 对吧
[00:02:18 - 00:02:20] 这个租金的预算比较有限
[00:02:20 - 00:02:21] 在情况下
[00:02:21 - 00:02:25] 大家一定要把房根的吸收控制的不要太高
[00:02:25 - 00:02:26] 建议大家就是在租房子的时候
[00:02:26 - 00:02:29] 你那个房租不要超过你公租的三成
[00:02:29 - 00:02:31] 在这个合适的价格区经境内
[00:02:31 - 00:02:34] 大家再去找比较合适的地方
[00:02:34 - 00:02:34] 说实话
[00:02:34 - 00:02:35] 大家刚开始毕业
[00:02:35 - 00:02:38] 如果说真的让你去压衣富三的话
[00:02:38 - 00:02:40] 大家的自給壓力也普遍都是比較大的
[00:02:40 - 00:02:42] 那這個時候大家就盡量關注一些
[00:02:42 - 00:02:44] 比如像零壓金
