BV号：BV1Bc6TYoE2T
标题：BV1Bc6TYoE2T
链接：https://www.bilibili.com/video/BV1Bc6TYoE2T
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-03 07:25:33

[00:00:00 - 00:00:04] 第二,赋分,赋分制极大的避免了提难一程度
[00:00:04 - 00:00:06] 对于选拔人才的影响
[00:00:06 - 00:00:08] 极大避免了提难一程度
[00:00:08 - 00:00:09] 对于选拔人才的影响
[00:00:09 - 00:00:10] 大家想一想
[00:00:10 - 00:00:13] 如果说我们高考题出难了,出简单了
[00:00:13 - 00:00:15] 对于选拔人才来讲,公平吗?
[00:00:15 - 00:00:17] 化学提出的特别的难
[00:00:17 - 00:00:18] 难到什么程度?
[00:00:18 - 00:00:21] 我们俩孩子其实化学学的非常好
[00:00:21 - 00:00:24] 结果这个化学提出的很难
[00:00:24 - 00:00:25] 我明明能让人二十分
[00:00:25 - 00:00:26] 结果出的题太难
[00:00:26 - 00:00:28] 简单题过于简单,难题过于难
[00:00:28 - 00:00:30] 我明明能拉人20分
[00:00:30 - 00:00:32] 结果现在我只拉别人10分
[00:00:32 - 00:00:34] 对于学习好多同学来讲公平
[00:00:34 - 00:00:36] 如果提出的简单公平吗
[00:00:36 - 00:00:37] 也不公平啊
[00:00:37 - 00:00:39] 一个孩子今天不学题
[00:00:39 - 00:00:41] 一出的太简单
[00:00:41 - 00:00:43] 一个不能不学题的孩子都能考90
[00:00:43 - 00:00:45] 我们家还得考100
[00:00:45 - 00:00:47] 不是因为他只能考100
[00:00:47 - 00:00:49] 是因为卷子才有100分
[00:00:49 - 00:00:50] 提出的过简单行吗
[00:00:50 - 00:00:51] 也不行
[00:00:51 - 00:00:52] 所以说
[00:00:52 - 00:00:52] 不分你
[00:00:52 - 00:00:54] 提出的再难
[00:00:54 - 00:00:56] 你只要是这个省的前面的学生
[00:00:56 - 00:00:58] 你就是高分
[00:00:58 - 00:00:59] 提出的更簡單
[00:00:59 - 00:01:01] 你別看你瘸麵粉很高
[00:01:01 - 00:01:03] 是因為大家都跑這麼高
[00:01:03 - 00:01:04] 付分往下付
[00:01:04 - 00:01:05] 提出難了
[00:01:05 - 00:01:06] 往上付
[00:01:06 - 00:01:07] 提出簡單往下付
[00:01:07 - 00:01:08] 合理的
[00:01:08 - 00:01:10] 拉開同學和同學之間的差距
[00:01:10 - 00:01:12] 你是怎麼等級
[00:01:12 - 00:01:14] 就賦予一定等級的分
[00:01:14 - 00:01:16] 避免了其難易程度
[00:01:16 - 00:01:18] 對於懸拔人才的影響
[00:01:18 - 00:01:21] 能想出這個辦法的人
[00:01:21 - 00:01:21] 真好
[00:01:21 - 00:01:22] 我建議啊
[00:01:22 - 00:01:24] 不應該是兩顆付分
[00:01:24 - 00:01:25] 應該多付分
[00:01:25 - 00:01:26] 應該多付分
[00:01:26 - 00:01:28] 物理不應該也這麼付分嗎
[00:01:28 - 00:01:29] 你物理付分不也一样的吗
[00:01:29 - 00:01:31] 你物理付分我如果提出难了
[00:01:31 - 00:01:33] 我物理考的高的
[00:01:33 - 00:01:33] 我照样搞
[00:01:33 - 00:01:35] 我就可以付出分
[00:01:35 - 00:01:36] 物理考的简单的
[00:01:36 - 00:01:37] 那你就往下付分
[00:01:37 - 00:01:39] 结果你会发现这两年真的
[00:01:39 - 00:01:41] 就是这个卷子提出的难易程度
[00:01:41 - 00:01:44] 对于初提老师的要求真的是太大了
[00:01:44 - 00:01:46] 要求真的太高了
[00:01:46 - 00:01:48] 这是新高考的第二个改革
