BV号：BV1tT5yz4EHA
标题：BV1tT5yz4EHA
链接：https://www.bilibili.com/video/BV1tT5yz4EHA
识别语言：zh
语言置信度：1
分段数：78
生成时间：2026-04-03 05:11:40

[00:00:00 - 00:00:02] 我是河北考生女孩
[00:00:02 - 00:00:04] 选的是史蒂正大温
[00:00:04 - 00:00:08] 就是他能在我们省特空线上
[00:00:08 - 00:00:10] 就是四五十分左右吧
[00:00:10 - 00:00:12] 家里也没有什么资源
[00:00:12 - 00:00:17] 就是说想让孩子在汉语研和财会
[00:00:17 - 00:00:19] 这两个专业当中选一个或者示范
[00:00:19 - 00:00:21] 家长看你自己也想上哪一个
[00:00:21 - 00:00:22] 家长
[00:00:22 - 00:00:23] 你家县城的还是市里的
[00:00:23 - 00:00:25] 市里的地基市
[00:00:25 - 00:00:25] 地基市
[00:00:25 - 00:00:26] 那家长要我选
[00:00:26 - 00:00:27] 我们可能会选的财会
[00:00:27 - 00:00:28] 汉语研
[00:00:28 - 00:00:29] 什么叫汉语研
[00:00:29 - 00:00:30] 汉语言家长你就想啊
[00:00:30 - 00:00:32] 他如果口功的时候
[00:00:32 - 00:00:33] 他是有专门的港
[00:00:33 - 00:00:34] 文秘港他就找汉语言
[00:00:34 - 00:00:35] 他别的专业他不找
[00:00:35 - 00:00:37] 然后的话再比如说
[00:00:37 - 00:00:38] 你像考语文老师
[00:00:38 - 00:00:39] 那也是找汉语言
[00:00:39 - 00:00:40] 别的专业也不找
[00:00:40 - 00:00:41] 家长你要可说
[00:00:41 - 00:00:43] 你看从口功的角度来讲
[00:00:43 - 00:00:45] 财快跟汉语言是一样的
[00:00:45 - 00:00:45] 岗位都很多
[00:00:45 - 00:00:46] 什么单位都要
[00:00:46 - 00:00:47] 对吧
[00:00:47 - 00:00:48] 但是加上你想一想
[00:00:48 - 00:00:49] 财快在口功的时候
[00:00:49 - 00:00:51] 港其实一般是比汉语言要多的
[00:00:51 - 00:00:51] 为什么
[00:00:51 - 00:00:53] 因为财快有垂直单位
[00:00:53 - 00:00:54] 汉语言没有垂直单位
[00:00:54 - 00:00:55] 你懂我的意思吗
[00:00:55 - 00:00:56] 比如说数据
[00:00:56 - 00:00:58] 比如说财政局 比如说审计局
[00:00:58 - 00:01:00] 他就只招财会不招汉语言
[00:01:00 - 00:01:04] 或者说财会招得比汉语言招得要远远的多很多
[00:01:04 - 00:01:05] 所以说你在看这个专业的时候
[00:01:05 - 00:01:08] 就是有的专业在口供的时候有垂直单位
[00:01:08 - 00:01:11] 有的口专业口供的时候是没有垂直单位的
[00:01:11 - 00:01:13] 那么财会就比汉语言要优势在这里
[00:01:13 - 00:01:14] 这是第一点
[00:01:14 - 00:01:14] 第二点
[00:01:14 - 00:01:16] 你家是地级式的
[00:01:16 - 00:01:19] 也就是说你是几乎不接受在县城工作的
[00:01:19 - 00:01:20] 对吗
[00:01:20 - 00:01:22] 如果说你是不接受在县一级工作的话
[00:01:22 - 00:01:25] 你要知道现在在地级式当老师
[00:01:25 - 00:01:27] 最起码都得硕士研究生学历
[00:01:27 - 00:01:28] 而汉语研这个转业
[00:01:28 - 00:01:30] 考师范类的研究生
[00:01:30 - 00:01:32] 特别特别的难
[00:01:32 - 00:01:33] 第三
[00:01:33 - 00:01:35] 从在社会就业的角度来讲
[00:01:35 - 00:01:37] 你财快在各个企业当中
[00:01:37 - 00:01:39] 是有明确的感
[00:01:39 - 00:01:42] 比如说我们公司一定会找财快
[00:01:42 - 00:01:43] 因为我们公司挺大的
[00:01:43 - 00:01:45] 然后需要算的账还是蛮多的
[00:01:45 - 00:01:47] 但是我们公司一定会找汉语研
[00:01:47 - 00:01:50] 你如果说一些在一些重要的组织当中
[00:01:50 - 00:01:51] 需要文明
[00:01:51 - 00:01:53] 给领导去写稿怎么样的
[00:01:53 - 00:01:54] 我们公司需要吗
[00:01:54 - 00:01:55] 我们公司是不需要的
[00:01:55 - 00:01:56] 所以说汉语言这个专业
[00:01:56 - 00:01:58] 你说他干什么都能干
[00:01:58 - 00:02:00] 你说他具体是干什么的
[00:02:00 - 00:02:01] 不好说
[00:02:01 - 00:02:04] 所以说如果说你要让我在这两个专业当中选一个的话
[00:02:04 - 00:02:05] 要我选我肯定会有选择财坏
[00:02:05 - 00:02:08] 我肯定不会把汉语言放得下
[00:02:08 - 00:02:09] 我肯定会把财坏放得下
