BV号：BV1Zb4y167Lk
标题：BV1Zb4y167Lk
链接：https://www.bilibili.com/video/BV1Zb4y167Lk
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 23:00:23

[00:00:00 - 00:00:02] 你們家孩子把手機這麼拿
[00:00:02 - 00:00:03] 誇誇話這就發信息
[00:00:03 - 00:00:05] 你們家孩子把手機奔喉過來
[00:00:05 - 00:00:06] 劈迷
[00:00:08 - 00:00:09] 王者榮耀
[00:00:09 - 00:00:11] 蘇自媒體就不是幹啥這個了嗎
[00:00:12 - 00:00:14] 是做遊戲的
[00:00:15 - 00:00:16] 對 蘇自媒體就是做遊戲的
[00:00:16 - 00:00:18] 比如說你家孩子
[00:00:18 - 00:00:19] 放假以後
[00:00:19 - 00:00:20] 天天拿手機
[00:00:20 - 00:00:21] 這麼拿
[00:00:21 - 00:00:22] 誇誇話這就發信息
[00:00:22 - 00:00:24] 你們家孩子把手機奔喉過來
[00:00:24 - 00:00:25] 劈迷
[00:00:27 - 00:00:28] 王者榮耀
[00:00:28 - 00:00:31] 做遊戲的 做遊戲的東西就能夠用起來
[00:00:31 - 00:00:33] 太中獎了
[00:00:33 - 00:00:36] 騰訊機商公司現在就是一家遊戲公司
[00:00:36 - 00:00:41] 王主任這家公司是天美工作室做的
[00:00:41 - 00:00:43] 那個T1就是天美工作室
[00:00:43 - 00:00:46] 天美工作室在哪裡?天美工作室在成都
[00:00:46 - 00:00:51] 王主任當年王主任剛開發出來的鑄有多中獎?
[00:00:51 - 00:00:53] 一個照人的皮膚
[00:00:53 - 00:00:56] 6塊錢一個賣了5天賣了2.1億
[00:00:56 - 00:01:00] 那一年,监委工作室花年中奖怎么花?
[00:01:00 - 00:01:02] 99个月的月薪
[00:01:02 - 00:01:06] 对,年中奖花99个月的月薪
[00:01:06 - 00:01:08] 孩子工资一万块钱一个月,年中奖花99万
[00:01:08 - 00:01:10] 特别牛逼
[00:01:10 - 00:01:12] 而各位大家,你会发现什么?
[00:01:12 - 00:01:15] 一个学校,他如果有数字媒体技术专业
[00:01:15 - 00:01:17] 一定放在哪个学院,计算级学院
