BV号：BV1QP411G7wp
标题：BV1QP411G7wp
链接：https://www.bilibili.com/video/BV1QP411G7wp
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-05 00:34:26

[00:00:00 - 00:00:01] 其實人要是想上進的話
[00:00:01 - 00:00:03] 他無非就是兩種方式
[00:00:03 - 00:00:04] 他有一個很好的願望
[00:00:04 - 00:00:06] 想辦法去實現
[00:00:06 - 00:00:08] 這是他第一個往上去爭取
[00:00:08 - 00:00:09] 目標的一個方向
[00:00:09 - 00:00:10] 第二個方向
[00:00:10 - 00:00:11] 他有一個很不好的狀況
[00:00:11 - 00:00:12] 他想去逃離
[00:00:12 - 00:00:13] 他想去逃避
[00:00:13 - 00:00:14] 就很多人說
[00:00:14 - 00:00:15] 張老師你為什麼這麼貧
[00:00:15 - 00:00:17] 我跟你說這兩點我都具備
[00:00:17 - 00:00:18] 我家從小從年特別的不好
[00:00:18 - 00:00:20] 我高三畢業那一年
[00:00:20 - 00:00:22] 我們家一個月就600塊錢的錢
[00:00:22 - 00:00:23] 我爸我媽送我去正中上學
[00:00:23 - 00:00:24] 在北京停了一天
[00:00:24 - 00:00:26] 說兒子咱們第一次來北京
[00:00:26 - 00:00:28] 爸爸媽媽帶你去北京賺一口
[00:00:28 - 00:00:29] 那個時候我們那個年代
[00:00:29 - 00:00:31] 还没有什么所谓的地图捣牢
[00:00:31 - 00:00:31] 什么都没有
[00:00:31 - 00:00:34] 那个时候就在火车站出来埋一张地图
[00:00:34 - 00:00:35] 地图车上面有公交车
[00:00:35 - 00:00:36] 结尤几度到哪儿进行
[00:00:36 - 00:00:37] 我爸说
[00:00:37 - 00:00:38] 咱虽然说没考上北大
[00:00:38 - 00:00:40] 咱们去北大转一轮
[00:00:40 - 00:00:40] 我跟我爸
[00:00:40 - 00:00:42] 我们两个人在北京坐公交车
[00:00:42 - 00:00:43] 转了一下午
[00:00:43 - 00:00:44] 没找到北大的款
[00:00:44 - 00:00:45] 你说到新大不打车呢
[00:00:45 - 00:00:46] 没钱
[00:00:46 - 00:00:47] 打什么车
[00:00:47 - 00:00:48] 一个月就600万
[00:00:48 - 00:00:48] 没钱
[00:00:48 - 00:00:50] 所以说我再也不希望
[00:00:50 - 00:00:53] 我的后代吃我小手
[00:00:53 - 00:00:54] 所以说我一直拼
[00:00:54 - 00:00:55] 一直拼一直拼
[00:00:55 - 00:00:56] 我希望我的下一代
[00:00:56 - 00:00:57] 我的下下一代
[00:00:57 - 00:00:58] 逃离贫穷
[00:00:58 - 00:00:59] 第二点
[00:00:59 - 00:01:01] 希望有一个目标去实现
[00:01:01 - 00:01:03] 我这个人特别喜欢足球
[00:01:03 - 00:01:03] 我最喜欢的球队
[00:01:03 - 00:01:05] 意大利的AC米兰
[00:01:05 - 00:01:06] 西班牙的黄家玛德里
[00:01:06 - 00:01:06] 我说我有一天
[00:01:06 - 00:01:08] 我一定要到意大利的
[00:01:08 - 00:01:09] AC米兰的主场
[00:01:09 - 00:01:10] 盛西罗球场
[00:01:10 - 00:01:11] 黄家玛德里的主场
[00:01:11 - 00:01:12] 博纳夫球场去看球
[00:01:12 - 00:01:13] 这个愿望我实现
[00:01:13 - 00:01:15] 我站在博纳夫球场的时候
[00:01:15 - 00:01:16] 你知道我内心什么感受
[00:01:16 - 00:01:17] 我真
[00:01:18 - 00:01:19] 我就这点感受
[00:01:19 - 00:01:21] 我能从黑龙江省七七八二
[00:01:21 - 00:01:23] 是赴云县那么小的一个小县主
[00:01:23 - 00:01:26] 我走到我最喜欢的球队的主场
[00:01:26 - 00:01:28] 跟着这些人一起去纳函
[00:01:28 - 00:01:29] 为我的主队加油
[00:01:29 - 00:01:31] 我不該為我自己感到驕傲
[00:01:31 - 00:01:33] 我那一刻我突然就想起來
[00:01:33 - 00:01:34] 我上高中的時候
[00:01:34 - 00:01:37] 我們高中學院裡面貼了一個橫幅叫做
[00:01:37 - 00:01:39] 未來的你會感謝現代努力的你自己
[00:01:39 - 00:01:43] 所以說人要麼就是為了一個目標去實現
[00:01:43 - 00:01:45] 要麼就是為了投離某種狀況去離
[00:01:45 - 00:01:47] 你加油你也可以的
[00:01:47 - 00:01:49] 沒有什麼實現不了的目標
[00:01:49 - 00:01:50] 就看你幹不幹
