BV号：BV1ne4y1t7pg
标题：BV1ne4y1t7pg
链接：https://www.bilibili.com/video/BV1ne4y1t7pg
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 17:07:48

[00:00:00 - 00:00:05] 老師您好,怎麼樣能成為明星身邊的經紀人?
[00:00:08 - 00:00:09] 同學,我給你說一下
[00:00:09 - 00:00:13] 首先,明星旁邊的經紀人,他是需要有一定能力的
[00:00:13 - 00:00:15] 經紀人的話,他要談商務的
[00:00:15 - 00:00:17] 首先,第一,你的談判能力一定要強
[00:00:17 - 00:00:20] 其次的話,你對於明星的經紀人,你要知道
[00:00:20 - 00:00:23] 你要學會一些除了你綜合能力以外的知識
[00:00:23 - 00:00:24] 我給你舉個簡單的例子
[00:00:24 - 00:00:27] 比如說,明星在做一個節目的時候要簽合同
[00:00:27 - 00:00:28] 你懂法務嗎?
[00:00:28 - 00:00:31] 如果说你看到这个明星的合同里边有一项是有问题的
[00:00:31 - 00:00:33] 比如说他可以用这个明星的销项权
[00:00:33 - 00:00:34] 那他用这个明星的销项权的话
[00:00:34 - 00:00:36] 那他到底怎么用这是一个问题
[00:00:36 - 00:00:37] 再比如闭税
[00:00:37 - 00:00:40] 有很多明星都是因为这种问题进取的
[00:00:40 - 00:00:40] 听说过吧
[00:00:40 - 00:00:43] 如果说你懂一些财务知识
[00:00:43 - 00:00:47] 你能够帮助明星把这方面给他打理明白打理清楚的话
[00:00:47 - 00:00:49] 你觉得同样能力情况下他会用谁呢
[00:00:49 - 00:00:51] 就是你学了会计也好学了法律也好
[00:00:51 - 00:00:53] 将来想做你想做的这个工作不耽误
[00:00:53 - 00:00:55] 因为他对于人的综合能力要求比较高
[00:00:55 - 00:00:57] 但是因为你学了会计你学了法律
[00:00:57 - 00:01:00] 你能帮这个明星处理很多很多其他的事
[00:01:00 - 00:01:02] 能帮他处理其他的问题
[00:01:02 - 00:01:03] 他一定会更看重你
[00:01:03 - 00:01:03] 这是第一点
[00:01:03 - 00:01:04] 第二点
[00:01:04 - 00:01:06] 如果说你这个理想你实现了还好
[00:01:06 - 00:01:07] 如果实现不了
[00:01:07 - 00:01:09] 你最起码给自己一个口供口边的机会
[00:01:09 - 00:01:10] 能理解我的意思了吧
