BV号：BV1Qq4y1j7Lr
标题：BV1Qq4y1j7Lr
链接：https://www.bilibili.com/video/BV1Qq4y1j7Lr
识别语言：zh
语言置信度：1
分段数：27
生成时间：2026-04-03 23:39:40

[00:00:00 - 00:00:02] 大家好我上學習那更快樂的張學芳老師
[00:00:02 - 00:00:03] 明天就要高考了
[00:00:03 - 00:00:06] 張老師在這裡給大家提幾點小想
[00:00:06 - 00:00:09] 首先在考前大家一定要放鬆心態
[00:00:09 - 00:00:11] 千萬不要覺得說我這次考完試以後
[00:00:11 - 00:00:14] 我的人生就決定了遠沒有
[00:00:14 - 00:00:16] 你看我當年不也沒考完千話百大嗎
[00:00:16 - 00:00:18] 但現在不是也混得好好的對不對
[00:00:18 - 00:00:21] 那在考試過程當中的如果遇到不會的問題的話
[00:00:21 - 00:00:23] 您去簽放一放
[00:00:23 - 00:00:26] 咱們先把咱們會做的題給他弄會了
[00:00:26 - 00:00:28] 對吧給他把這個分給他拿了
[00:00:28 - 00:00:29] 咱們不會的實在不行懵
[00:00:29 - 00:00:32] 你相信我啊就我这个开过关的嘴告诉你
[00:00:32 - 00:00:34] 你懵的一定全是对的
[00:00:34 - 00:00:37] 在考后呢先不要着急对答案
[00:00:37 - 00:00:39] 等我们把所有的考试给我们考完以后的话
[00:00:39 - 00:00:41] 咱们先稍微放松一下
[00:00:41 - 00:00:44] 但是最后的环节高好志愿田报一定要去重视一下
[00:00:44 - 00:00:46] 因为即使你考的不是特别好的话
[00:00:46 - 00:00:49] 在志愿田报环节当中咱们可以去占便宜
[00:00:49 - 00:00:50] 如果说你有需要的话
[00:00:50 - 00:00:53] 可以随时联系我们风学未来的志愿团队
[00:00:53 - 00:00:57] 我们会随时给你提供我们志愿田报的服务
[00:00:57 - 00:00:59] 最后祝愿大家明天上个考场
[00:00:59 - 00:01:02] 绝对绝对能够加油加油加油
[00:01:02 - 00:01:05] 考的一定 非常好非常好
