BV号：BV1R7zUYAENy
标题：BV1R7zUYAENy
链接：https://www.bilibili.com/video/BV1R7zUYAENy
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 07:21:45

[00:00:00 - 00:00:01] 新高科目第三个改革
[00:00:01 - 00:00:03] 自愿更加科学
[00:00:03 - 00:00:06] 分成院秀专业组和专业家院校两种不同的
[00:00:06 - 00:00:07] 院秀专业组
[00:00:07 - 00:00:10] 选科要求相同的专业为同一个专业组
[00:00:10 - 00:00:12] 原来李克批文科批招生的时候
[00:00:12 - 00:00:14] 一个孩子抱理工类专业
[00:00:14 - 00:00:17] 很有可能会被迫学文科专业
[00:00:17 - 00:00:17] 为什么
[00:00:17 - 00:00:18] 因为他有天服从投机
[00:00:18 - 00:00:20] 有学生抱职院
[00:00:20 - 00:00:21] 抱合肺工业大学
[00:00:21 - 00:00:22] 第一职院
[00:00:22 - 00:00:23] 电气工程集体自动化
[00:00:23 - 00:00:24] 第二职院计算机
[00:00:24 - 00:00:25] 第三职院电子信息
[00:00:25 - 00:00:26] 第四职院机械
[00:00:26 - 00:00:27] 第五职院自动化
[00:00:27 - 00:00:28] 第六职院遗弃
[00:00:30 - 00:00:33] 一个理工科的学生抱一个理工科的高校
[00:00:33 - 00:00:35] 他不想学文科专业
[00:00:35 - 00:00:37] 原来是很有可能你抱理工类专业
[00:00:37 - 00:00:39] 给你调集到学文科专业的
[00:00:39 - 00:00:43] 但是现在我们选科要求不一样
[00:00:43 - 00:00:44] 选科要求不一样的专业
[00:00:44 - 00:00:45] 他不是一个专业组
[00:00:45 - 00:00:48] 印度尼西亚语选科要求是庇雾加不限
[00:00:48 - 00:00:51] 计算机电子信息电器选科要求是庇雾庇化
[00:00:51 - 00:00:54] 印度尼西亚语和计算机这种专业
[00:00:54 - 00:00:56] 他的选科要求不一样
[00:00:56 - 00:00:59] 所以这两个专业一定不在一个专业组
[00:00:59 - 00:01:00] 听明白了吗
[00:01:00 - 00:01:03] 印度尼西亚语的选科与求是必物加不限
[00:01:03 - 00:01:05] 而计算机的选科与求是必物加必化
[00:01:05 - 00:01:08] 这两个专业因为选科与求不一样
[00:01:08 - 00:01:11] 所以一定不在同一个专业组
[00:01:11 - 00:01:12] 那你报理工内专业
[00:01:12 - 00:01:16] 就一定不会被迫侨击到文科专业
[00:01:16 - 00:01:19] 能量充分的满足大家在报职院
[00:01:19 - 00:01:21] 对于专业和院校的需求
[00:01:21 - 00:01:23] 这是新高考改革的第三个
[00:01:23 - 00:01:26] 所以说新高考改革的三个点的方向
[00:01:26 - 00:01:27] 都是为我们家长
[00:01:27 - 00:01:31] 为我们学生将来不管是在学习上
[00:01:31 - 00:01:33] 还是在选拔人才上
[00:01:33 - 00:01:34] 还是在报考上
[00:01:34 - 00:01:36] 非常非常非常好
