BV号：BV1NrdHYDEAB
标题：BV1NrdHYDEAB
链接：https://www.bilibili.com/video/BV1NrdHYDEAB
识别语言：zh
语言置信度：1
分段数：59
生成时间：2026-04-03 05:19:38

[00:00:00 - 00:00:02] 当然我给大家先说明白一个道理啊
[00:00:02 - 00:00:03] 来各位朋友
[00:00:03 - 00:00:05] 首先请记住张老师下边的这句话
[00:00:05 - 00:00:09] 低空经济它不是一个所谓的专业
[00:00:09 - 00:00:11] 它是一个领域
[00:00:11 - 00:00:12] 听懂了吗
[00:00:12 - 00:00:14] 它跟人工智能是一样子的
[00:00:14 - 00:00:15] 低空经济它是一个领域
[00:00:15 - 00:00:17] 它不是一个专业
[00:00:17 - 00:00:19] 首先各位家人你要守面明白第一点
[00:00:19 - 00:00:21] 不是说你不学低空经济
[00:00:21 - 00:00:23] 你就干不了低空经济
[00:00:23 - 00:00:24] 就跟你不学人工智能
[00:00:24 - 00:00:25] 你就干不了人工智能
[00:00:25 - 00:00:26] 这句话是不对的
[00:00:26 - 00:00:28] 因为人工智能也是一个领域
[00:00:28 - 00:00:29] 它不是一个专业
[00:00:29 - 00:00:30] 低空经济也是
[00:00:30 - 00:00:31] 它是一个领域
[00:00:31 - 00:00:32] 它不是一个专业
[00:00:32 - 00:00:33] 那各位家长
[00:00:33 - 00:00:35] 你想低空经济
[00:00:35 - 00:00:36] 首先是什么
[00:00:36 - 00:00:37] 是不是得有飞行器啊
[00:00:37 - 00:00:38] 对不对
[00:00:38 - 00:00:39] 它首先得有飞行器吧
[00:00:39 - 00:00:40] 各位家长
[00:00:40 - 00:00:41] 你要知道飞行器
[00:00:41 - 00:00:42] 它归根结底
[00:00:42 - 00:00:43] 它是什么
[00:00:43 - 00:00:45] 它是一个机械的自动化装置
[00:00:45 - 00:00:46] 大家听明白了吗
[00:00:46 - 00:00:48] 它是一个机械的自动化装置
[00:00:48 - 00:00:49] 能明白吗
[00:00:49 - 00:00:50] 那它需要什么呢
[00:00:50 - 00:00:52] 一 可能会需要机械
[00:00:52 - 00:00:53] 二 它需要控制
[00:00:53 - 00:00:54] 三 它需要软件
[00:00:54 - 00:00:56] 四 它需要电子
[00:00:56 - 00:00:57] 因为低空经济
[00:00:57 - 00:00:58] 你到底是什么
[00:00:58 - 00:00:59] 你小心吃生鸡也好
[00:00:59 - 00:01:00] 还是无人鸡也好
[00:01:00 - 00:01:01] 它都需要芯片
[00:01:01 - 00:01:02] 对不对
[00:01:02 - 00:01:03] 5它需要通信
[00:01:03 - 00:01:04] 对吧
[00:01:04 - 00:01:06] 如果说我现在搞
[00:01:06 - 00:01:08] 我搞无人鸡去投放快递
[00:01:08 - 00:01:10] 我搞无人鸡去投放外卖
[00:01:10 - 00:01:11] 我是不是也得有通信
[00:01:11 - 00:01:12] 我在哪能控制这个无人鸡
[00:01:12 - 00:01:13] 对不对
[00:01:13 - 00:01:14] 所以说你会发现
[00:01:14 - 00:01:18] 这些专业都可以为低空经济负能
[00:01:18 - 00:01:21] 而不是说我只有学低空经济才能干
[00:01:21 - 00:01:22] 我学这些专业
[00:01:22 - 00:01:24] 我都可以为低空经济这个行业负能
[00:01:24 - 00:01:25] 听懂了吗
