BV号：BV1iFcde5Eer
标题：BV1iFcde5Eer
链接：https://www.bilibili.com/video/BV1iFcde5Eer
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 06:08:55

[00:00:00 - 00:00:02] 我们通常想想一下 考工也好 考边也好
[00:00:02 - 00:00:04] 我们把所有的专业分成三类专业
[00:00:04 - 00:00:07] 第一类专业叫做可以横跨部门的
[00:00:07 - 00:00:09] 就比如说医院也有 学校也有
[00:00:09 - 00:00:11] 它这个专业既可以考医院那边
[00:00:11 - 00:00:13] 又可以考学校那边
[00:00:13 - 00:00:14] 所以说像这种专业
[00:00:14 - 00:00:16] 我们叫做横跨单位类的考工
[00:00:16 - 00:00:17] 考边的专业
[00:00:17 - 00:00:20] 叫法学财会汉语言私证
[00:00:20 - 00:00:22] 然后第二类的话叫垂直类
[00:00:22 - 00:00:23] 那什么叫做垂直类呢
[00:00:23 - 00:00:25] 就是只能考某一个单位
[00:00:25 - 00:00:27] 别的单位它基本上考不了
[00:00:27 - 00:00:28] 比如说咱举个简单的例子
[00:00:28 - 00:00:30] 比如说预防医学
[00:00:30 - 00:00:33] 那很有可能预防医学医院它也有
[00:00:33 - 00:00:34] 但是它预防医学这种专业
[00:00:34 - 00:00:35] 它只能考医院的变
[00:00:35 - 00:00:37] 它考不了学校的变
[00:00:37 - 00:00:39] 它考不了其他单位的变
[00:00:39 - 00:00:40] 所以说的话
[00:00:40 - 00:00:43] 这种专业叫做垂直考供考变的专业类
[00:00:43 - 00:00:44] 那第三种的话
[00:00:44 - 00:00:45] 它叫三不限
[00:00:45 - 00:00:46] 因为毕竟医院也好
[00:00:46 - 00:00:47] 学校也好
[00:00:47 - 00:00:48] 它有一些岗位
[00:00:48 - 00:00:49] 它不限专业
[00:00:49 - 00:00:50] 谁都能干
[00:00:50 - 00:00:51] 然后的话
[00:00:51 - 00:00:52] 那这种叫三不限
[00:00:52 - 00:00:53] 但三不限的话
[00:00:53 - 00:00:54] 考供考变的难度比较大
[00:00:54 - 00:00:55] 横化部门类的话
[00:00:55 - 00:00:56] 东边不亮西边亮
[00:00:56 - 00:00:57] 它可以考这个单位
[00:00:57 - 00:00:58] 可以考那个单位
[00:00:58 - 00:01:00] 它可以考大家所谓都想去的
[00:01:00 - 00:01:02] 它也可以考大家所谓都不想去
[00:01:02 - 00:01:03] 就是相对地方来讲
[00:01:03 - 00:01:05] 可能相对偏一点
[00:01:05 - 00:01:06] 它可能精神压力就没有那么大
