BV号：BV1oh41147Qg
标题：BV1oh41147Qg
链接：https://www.bilibili.com/video/BV1oh41147Qg
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-03 21:29:35

[00:00:00 - 00:00:03] 新冠炮主要是在三方面進行了比較大的改革
[00:00:03 - 00:00:05] 第一個改革就是課改
[00:00:05 - 00:00:07] 第二個改革就是風速改
[00:00:07 - 00:00:09] 第三個改革叫志願改
[00:00:09 - 00:00:10] 主要就是這三方面
[00:00:10 - 00:00:12] 課改是什麼意思呢?
[00:00:12 - 00:00:16] 課改就是由原來的文理分科變成3加1加2或者6選3
[00:00:16 - 00:00:18] 因為現在是有的省份是6選3
[00:00:18 - 00:00:20] 有的省份是3加1加2
[00:00:20 - 00:00:22] 我們後面也會跟大家解釋什麼都6選3
[00:00:22 - 00:00:23] 什麼都3加1加2
[00:00:23 - 00:00:25] 哪些省份是6選3
[00:00:25 - 00:00:26] 哪些省份3加1加2
[00:00:26 - 00:00:29] 這個各位家長一定要仔細去聽
[00:00:29 - 00:00:31] 那么第二呢叫分数改
[00:00:31 - 00:00:32] 分数改是什么呢
[00:00:32 - 00:00:35] 我们原来的考分都是卷面分
[00:00:35 - 00:00:37] 我们原来的考分都是卷面分
[00:00:37 - 00:00:38] 你卷得上打了多少分
[00:00:38 - 00:00:40] 你就是多少分
[00:00:40 - 00:00:41] 提再难
[00:00:41 - 00:00:42] 你也是那么高的分
[00:00:42 - 00:00:44] 你像我当年高考的时候
[00:00:44 - 00:00:47] 就经历了巨说有史以来最难的一届高考
[00:00:47 - 00:00:49] 就是那年提很难
[00:00:49 - 00:00:51] 那那年黑东江省的一本分书线
[00:00:51 - 00:00:53] 只有476分
[00:00:53 - 00:00:55] 那到第二年的时候
[00:00:55 - 00:00:58] 黑东江省的一本分书线就涨到了541分
[00:00:58 - 00:01:00] 那為什麼會出現這樣的情況
[00:01:00 - 00:01:02] 就是因為我們那一年高考題太難了
[00:01:02 - 00:01:05] 第二年高考題相對比較簡單
[00:01:05 - 00:01:08] 那麼為了領氣題難易程度
[00:01:08 - 00:01:11] 對分身線以及孩子考分的影響
[00:01:11 - 00:01:14] 所以說我們第二個改革叫做分數改
[00:01:14 - 00:01:17] 那分數改這個東西會造成一些後果
[00:01:17 - 00:01:19] 我們也會給大家講
[00:01:19 - 00:01:20] 那第三部分叫做志願改
[00:01:20 - 00:01:23] 就是報考志願的方法要改變
[00:01:23 - 00:01:27] 由原来的以院校为导向
[00:01:27 - 00:01:28] 专业兼服通条计
[00:01:28 - 00:01:29] 这种暴追的方法
[00:01:29 - 00:01:32] 然后的话改成了现在部分省份
[00:01:32 - 00:01:35] 是纯纯的以专业为导向
[00:01:35 - 00:01:37] 然后的话学校兼
[00:01:37 - 00:01:39] 你在进行调整
