BV号：BV1TT411y7ok
标题：BV1TT411y7ok
链接：https://www.bilibili.com/video/BV1TT411y7ok
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 16:25:18

[00:00:00 - 00:00:01] 稳定和收入是成反比的
[00:00:01 - 00:00:02] 如果说你收入高
[00:00:02 - 00:00:04] 你不要抱怨自己累
[00:00:04 - 00:00:05] 你看看你银行卡里有多少钱
[00:00:05 - 00:00:06] 你不要抱怨自己累
[00:00:06 - 00:00:08] 你看看你的收入有多高
[00:00:08 - 00:00:08] 你稳定
[00:00:08 - 00:00:09] 但是缺钱的
[00:00:09 - 00:00:11] 你不要抱怨穷
[00:00:11 - 00:00:13] 你看看你有什么休息的时间
[00:00:13 - 00:00:14] 你在看看那帮人有什么休息的时间
[00:00:14 - 00:00:16] 多看看自己有
[00:00:16 - 00:00:17] 少看自己没有
[00:00:17 - 00:00:19] 当老师跟你说这句话
[00:00:19 - 00:00:21] 就说明老张活得很通透了
[00:00:21 - 00:00:22] 对吧
[00:00:22 - 00:00:24] 他们总评价我有一点叫人间清醒
[00:00:24 - 00:00:25] 多看自己有
[00:00:25 - 00:00:26] 少看自己没有
