BV号：BV1cTzKBnE14
标题：BV1cTzKBnE14
链接：https://www.bilibili.com/video/BV1cTzKBnE14
识别语言：zh
语言置信度：1
分段数：104
生成时间：2026-04-03 00:35:08

[00:00:00 - 00:00:01] 这是教你占便宜
[00:00:01 - 00:00:02] 来 我再教你避空
[00:00:02 - 00:00:05] 大家不要以为你自己很聪明
[00:00:05 - 00:00:07] 说老师 我叫我这弯道抽车
[00:00:07 - 00:00:09] 哪那么多弯道抽车
[00:00:09 - 00:00:10] 别乱弯道抽车
[00:00:10 - 00:00:11] 知道吧
[00:00:11 - 00:00:12] 来给大家举个例子
[00:00:12 - 00:00:13] 比如说法学
[00:00:13 - 00:00:14] 韩徒家长说 张老师
[00:00:14 - 00:00:16] 我们家还得想学法学
[00:00:16 - 00:00:17] 韩徒家长自作聪明
[00:00:17 - 00:00:19] 不是名字里边有法学的
[00:00:19 - 00:00:21] 是法学 懂吗
[00:00:21 - 00:00:22] 比如说 韩徒家长
[00:00:22 - 00:00:24] 说张老师 我看到有一个专业
[00:00:24 - 00:00:26] 在这 大家注意看
[00:00:26 - 00:00:26] 这有一个专业
[00:00:26 - 00:00:28] 叫电子商务级法律
[00:00:28 - 00:00:28] 看到没有
[00:00:28 - 00:00:29] 韩大家长说老师
[00:00:29 - 00:00:32] 老师他这个名字里边带法律
[00:00:32 - 00:00:33] 电子商务级法律
[00:00:33 - 00:00:34] 他应该是法学吧
[00:00:34 - 00:00:37] 你有这个中国本贪专业摸录以后你就知道了
[00:00:37 - 00:00:38] 电子商务级法律
[00:00:38 - 00:00:40] 它属于电子商务类
[00:00:40 - 00:00:41] 它不属于法律类
[00:00:41 - 00:00:44] 电子商务类是不能考法考的
[00:00:44 - 00:00:47] 电子商务类是不能直接考律事业这个证的
[00:00:47 - 00:00:48] 说张老师
[00:00:48 - 00:00:50] 我包的那个专业叫电子商务级法律
[00:00:50 - 00:00:52] 我也不能考律事业这个证吗
[00:00:52 - 00:00:52] 不能
[00:00:52 - 00:00:54] 因为它属于电子商务类
[00:00:54 - 00:00:55] 它不属于法律大类
[00:00:55 - 00:00:57] 社区纠证
[00:00:57 - 00:00:59] 他名字里边没有一个字是代法的
[00:00:59 - 00:01:01] 但是他可以考虑是这些作用
[00:01:01 - 00:01:02] 但是电的商务及法律
[00:01:02 - 00:01:04] 他名字里边代法律
[00:01:04 - 00:01:06] 他是不能考律师职业资格证的
[00:01:06 - 00:01:07] 因为他是属于电的商务人
[00:01:07 - 00:01:09] 这就叫你闭坑
[00:01:09 - 00:01:10] 然后我再说理工类
[00:01:10 - 00:01:12] 理工类很多家长说张老师
[00:01:12 - 00:01:12] 我现在报局院
[00:01:12 - 00:01:13] 我要干嘛呢
[00:01:13 - 00:01:15] 张老师我要进国家电网公司
[00:01:15 - 00:01:16] 很多家长说张老师
[00:01:16 - 00:01:17] 我知道了
[00:01:17 - 00:01:18] 我进国家电网公司
[00:01:18 - 00:01:19] 我得学电器嘛
[00:01:19 - 00:01:19] 对不对
[00:01:19 - 00:01:20] 学电器
[00:01:20 - 00:01:21] 但大家注意一下
[00:01:21 - 00:01:22] 说学电器
[00:01:22 - 00:01:26] 学电器说的是电器大类
[00:01:26 - 00:01:29] 而不是名字里边带电器能明白吗
[00:01:29 - 00:01:30] 什么叫电器大类
[00:01:30 - 00:01:31] 各位家长
[00:01:31 - 00:01:32] 你有这个错题本
[00:01:32 - 00:01:33] 你有依据一个思绪
[00:01:33 - 00:01:34] 你就知道了
[00:01:34 - 00:01:35] 这个叫电器大类
[00:01:35 - 00:01:38] 这里边的专业都叫电器大类
[00:01:38 - 00:01:38] 知道吗
[00:01:38 - 00:01:40] 比如说光源与众名
[00:01:40 - 00:01:40] 光源与众名
[00:01:40 - 00:01:42] 有一年我给孩子报纸院
[00:01:42 - 00:01:44] 我给他报了光源与众名
[00:01:44 - 00:01:46] 然后家长回头给我举报了
[00:01:46 - 00:01:46] 他说我是骗子
[00:01:46 - 00:01:47] 为什么呢
[00:01:47 - 00:01:49] 因为我给他报了光源与众名
[00:01:49 - 00:01:51] 他说我给他们家报纸院
[00:01:51 - 00:01:53] 报了个专业是熊登报的
[00:01:53 - 00:01:55] 光源与众名
[00:01:55 - 00:01:57] 但是你看了这个专业大内你就知道了
[00:01:57 - 00:01:59] 光源与照明它属于
[00:01:59 - 00:02:01] 光源与照明属于电气大内
[00:02:01 - 00:02:03] 智能源互联网工程
[00:02:03 - 00:02:04] 这个就不是计算机
[00:02:04 - 00:02:05] 不是能源与动力
[00:02:05 - 00:02:06] 它是电气大内
[00:02:06 - 00:02:08] 结果很多家长报志愿的
[00:02:08 - 00:02:09] 说报志愿报到哪了
[00:02:09 - 00:02:10] 大家注意看这儿
[00:02:10 - 00:02:12] 有一个建筑电气化与智能化
[00:02:12 - 00:02:13] 看到了吗
[00:02:13 - 00:02:14] 建筑电气化
[00:02:14 - 00:02:15] 大家注意
[00:02:15 - 00:02:16] 它名字里边带电气
[00:02:16 - 00:02:18] 但它属于土木
[00:02:18 - 00:02:20] 有的家长报志愿报到这儿来了
[00:02:20 - 00:02:21] 注意看
[00:02:21 - 00:02:23] 农业工程内里边有一个专业叫做
[00:02:23 - 00:02:25] 农业电器化看到了吗
[00:02:25 - 00:02:26] 农业电器化
[00:02:26 - 00:02:29] 说老师我们家还得要考国网报电器
[00:02:29 - 00:02:31] 结果报卷报过农业电器化
[00:02:31 - 00:02:32] 它属于农业工程
[00:02:32 - 00:02:34] 它不属于电器
[00:02:34 - 00:02:36] 是这些专业属于电器
