BV号：BV155411f7LM
标题：BV155411f7LM
链接：https://www.bilibili.com/video/BV155411f7LM
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 20:34:43

[00:00:00 - 00:00:02] 下面我们给大家说一下理工类的一个专业
[00:00:02 - 00:00:03] 就是电气能源类
[00:00:03 - 00:00:05] 电气能源类我们是把它放在一个里给大家讲
[00:00:05 - 00:00:07] 就是一 我们的能源动力类
[00:00:07 - 00:00:09] 二 我们的电气工程类
[00:00:09 - 00:00:10] 大家注意一下
[00:00:10 - 00:00:12] 下面我教给大家一个很有意思的小技巧
[00:00:12 - 00:00:13] 什么呢
[00:00:13 - 00:00:17] 就是大家要注意叫同一一级学科下
[00:00:17 - 00:00:21] 不同的本科专业是相关专业
[00:00:21 - 00:00:23] 比如说大家注意这两个专业
[00:00:23 - 00:00:25] 它就是相关专业
[00:00:25 - 00:00:27] 那么在大多数的省份
[00:00:27 - 00:00:29] 有一个学校叫沈阳工程学院
[00:00:29 - 00:00:31] 听说过这个学校吗
[00:00:31 - 00:00:35] 这个学校原来也是电力部的指数高校
[00:00:35 - 00:00:37] 那么他在招本科生的时候
[00:00:37 - 00:00:40] 就招收了两个专业
[00:00:40 - 00:00:43] 一个专业叫做电器工程集体自动化
[00:00:43 - 00:00:46] 第二个专业就叫做智能电网信息工程
[00:00:46 - 00:00:47] 大家注意
[00:00:47 - 00:00:49] 这两个专业在大多数的省份
[00:00:49 - 00:00:52] 其实都不是一个分
[00:00:52 - 00:00:53] 一般情况下
[00:00:53 - 00:00:56] 第一个专业分数要稍微高一些
[00:00:56 - 00:00:59] 第二个专业分数要稍微低一些
[00:00:59 - 00:00:59] 知道吗
[00:00:59 - 00:01:02] 但其实他都属于什么
[00:01:02 - 00:01:04] 他都属于电气类
[00:01:04 - 00:01:06] 那你报第一个专业
[00:01:06 - 00:01:07] 你知道他最好的专业是第一个专业
[00:01:07 - 00:01:08] 你分不够
[00:01:08 - 00:01:12] 第二个专业其实跟他是一类专业
[00:01:12 - 00:01:14] 都属于电气大类
[00:01:14 - 00:01:16] 你未来在报国家电稳公司的时候
[00:01:16 - 00:01:18] 你都可以报
[00:01:18 - 00:01:20] 所以说大家你在报支援的时候的话
[00:01:20 - 00:01:21] 也要知道这叫什么
[00:01:21 - 00:01:25] 同意一级学科下的本科专业
[00:01:25 - 00:01:28] 都是相关专业
