BV号：BV1HS4y1X7ze
标题：BV1HS4y1X7ze
链接：https://www.bilibili.com/video/BV1HS4y1X7ze
识别语言：zh
语言置信度：1
分段数：93
生成时间：2026-04-03 21:17:51

[00:00:00 - 00:00:02] 其他二属于是哈尔滨的第二大城市了吗
[00:00:02 - 00:00:03] 大哥,弟弟
[00:00:04 - 00:00:05] 大哥,你弟弟没学好
[00:00:05 - 00:00:08] 什么叫其他二属于是哈尔滨的第二大城市啊
[00:00:08 - 00:00:10] 其他二属于是哈尔滨的中央风格的一部分
[00:00:10 - 00:00:11] 就不在下说啊
[00:00:12 - 00:00:14] 这是嘴飘了
[00:00:14 - 00:00:16] 哈喽你好,张老师
[00:00:16 - 00:00:17] 你好你好
[00:00:17 - 00:00:20] 你好你好,我刚开始我还不俗合你的联卖条件
[00:00:20 - 00:00:23] 当时你是娱乐主播是吧
[00:00:23 - 00:00:24] 对对对,娱乐主播
[00:00:24 - 00:00:26] 娱乐主播平时都做啥呀
[00:00:27 - 00:00:29] 呃,这个
[00:00:29 - 00:00:31] 唱歌跳舞为主
[00:00:31 - 00:00:32] 但像我们这种是
[00:00:32 - 00:00:33] 户外美食为辅
[00:00:33 - 00:00:36] 你们平时都播什么
[00:00:36 - 00:00:37] 你们平时就是说
[00:00:37 - 00:00:39] 我出去跟彭时范来
[00:00:39 - 00:00:40] 给大家看好我们吃啥
[00:00:40 - 00:00:40] 就缠我们
[00:00:40 - 00:00:42] 对对对
[00:00:42 - 00:00:44] 就是播吃饭
[00:00:44 - 00:00:45] 埋锅造饭
[00:00:45 - 00:00:46] 背水挖坑
[00:00:46 - 00:00:48] 鱼堂干堂
[00:00:48 - 00:00:49] 然后呢
[00:00:49 - 00:00:50] 就包括我自己
[00:00:50 - 00:00:52] 我自己就是
[00:00:52 - 00:00:54] 算是翻山越岭吧
[00:00:54 - 00:00:57] 用双脚脏梁祖国的河山
[00:00:57 - 00:01:01] 然后就是去一些风景好的地方
[00:01:01 - 00:01:02] 嗯
[00:01:02 - 00:01:03] 那比如说呢
[00:01:03 - 00:01:05] 比如说你去过你觉得哪最好
[00:01:05 - 00:01:06] 我们今天经常说城市
[00:01:06 - 00:01:07] 你觉得哪最好
[00:01:07 - 00:01:11] 我现在我现在就在这江的礼水
[00:01:11 - 00:01:13] 礼水
[00:01:13 - 00:01:15] 礼水还是礼水
[00:01:15 - 00:01:16] 礼水啊
[00:01:16 - 00:01:18] 到了这个地方我才知道叫礼水
[00:01:18 - 00:01:21] 啊叫礼水就是正常礼的那个礼是吧
[00:01:21 - 00:01:23] 对对美丽的例子
[00:01:23 - 00:01:23] 对
[00:01:23 - 00:01:25] 然后的话正常叫礼水
[00:01:25 - 00:01:27] 离水
[00:01:27 - 00:01:29] 那有什么好玩的或者好吃的地方吗
[00:01:29 - 00:01:33] 就是风景好
[00:01:33 - 00:01:35] 风景好
[00:01:35 - 00:01:37] 他有很多的
[00:01:37 - 00:01:41] 这是我们直播间的一个梗
[00:01:41 - 00:01:43] 我们直播间的一个梗
[00:01:43 - 00:01:45] 我说什么他们都习惯扣欺骗失望
[00:01:45 - 00:01:47] 好吧
[00:01:47 - 00:01:49] 其实我是一个娱乐主播
[00:01:49 - 00:01:51] 娱乐主播就脱口秀
[00:01:51 - 00:01:53] 脱口秀其实又约等于吹牛逼
[00:02:23 - 00:02:26] 我们七家哈尔有一个叫扎龙自然保护区
[00:02:26 - 00:02:28] 虽然冬天没有赶紧坐
[00:02:28 - 00:02:29] 但是夏天可以去一去
[00:02:29 - 00:02:33] 那是全国最大的私地自然保护区
[00:02:33 - 00:02:35] 一定要去看一看
[00:02:35 - 00:02:37] 而且到七家哈尔的话一定要吃一个东西
[00:02:37 - 00:02:38] 叫做烤肉
[00:02:38 - 00:02:40] 我们七家哈尔巴比克尔
[00:02:40 - 00:02:40] 知道吧
[00:02:40 - 00:02:42] 就是在七家哈尔
[00:02:42 - 00:02:44] 你听到一个人说吃烧烤
[00:02:44 - 00:02:46] 这个人一定不是七家哈尔
[00:02:46 - 00:02:46] 知道吧
[00:02:46 - 00:02:49] 七家哈尔人会说我们今天晚上去吃烤肉
[00:02:49 - 00:02:50] 这个很厉害
[00:02:50 - 00:02:52] 然后原来你是徒步旅行
[00:02:52 - 00:02:53] 啊徒步就别续了
[00:02:55 - 00:03:00] 没事没事我们就是假徒步真坐车其实
[00:03:00 - 00:03:03] 对有的时候也需要一些带不工具
[00:03:04 - 00:03:10] 对我就我就建议你严重建议你去一下我们七七二去感受一下我们七七二的扎通自然保护区
[00:03:10 - 00:03:18] 也建议感受一下我们七七二的这个这个这个考肉这个真的非常非常非常的这个绝对值得你去
[00:03:18 - 00:03:20] 你去体验一下知道吧
[00:03:20 - 00:03:23] 对对对 黑中疆属于是哈尔滨的第二大城市了吗
[00:03:23 - 00:03:27] 大哥 地理 大哥 你地理没学好
[00:03:27 - 00:03:29] 什么叫七家号是哈尔滨的第二大城市啊
[00:03:29 - 00:03:31] 黑中疆的第二大城市 是吧
[00:03:31 - 00:03:33] 是 黑中疆的第二大城市
[00:03:33 - 00:03:35] 七家号 哈尔滨
[00:03:35 - 00:03:38] 不 七家号是黑中疆不可分割的一部分
[00:03:38 - 00:03:38] 这不在瞎说啊
[00:03:40 - 00:03:41] 这是 嘴飘了
[00:03:41 - 00:03:43] 就是 我想说的是第一大城市哈尔滨
[00:03:43 - 00:03:46] 黑中疆的第二大城市是哈尔滨
[00:03:46 - 00:03:47] 第二大城市是我们七家号
