BV号：BV19u4y1g7hP
标题：BV19u4y1g7hP
链接：https://www.bilibili.com/video/BV19u4y1g7hP
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 13:07:20

[00:00:00 - 00:00:04] 另外的话呢就是在这个阶段可能学校档次没有那么特别重要的情况下就要看
[00:00:04 - 00:00:06] 你到哪个学校能上什么样的专业了
[00:00:06 - 00:00:09] 因为专业会决定了你未来的就业的方向
[00:00:09 - 00:00:15] 那么专业也是各个省份各个城市的主要发展产业的相关情况
[00:00:15 - 00:00:16] 就是我经常给大家讲的
[00:00:16 - 00:00:20] 所以你们在报纸院的时候一定要看一下所谓的这个省的人大报告
[00:00:20 - 00:00:23] 因为省的人大报告当中告诉你了我们这个省要干什么
[00:00:23 - 00:00:25] 干什么 干什么就别发展产业
[00:00:25 - 00:00:27] 如果说你对一些地级市比较心疑
[00:00:27 - 00:00:29] 比如张教师我想来苏州
[00:00:29 - 00:00:30] 那你就要看蘇州市的人大報告
[00:00:30 - 00:00:32] 蘇州市人大報告也告訴你了
[00:00:32 - 00:00:33] 我們蘇州市要幹什麼
[00:00:33 - 00:00:34] 幹什麼
[00:00:34 - 00:00:36] 在江蘇人大報告中它就中間寫了
[00:00:36 - 00:00:40] 叫立正把什麼產業做成
[00:00:40 - 00:00:42] 叫做國家先進製造業產業集群
[00:00:42 - 00:00:44] 大家可以把這個東西打在公平上
[00:00:44 - 00:00:46] 叫國家先進製造業產業集群
[00:00:46 - 00:00:49] 在今年14屆14人大報告中告訴你了
[00:00:49 - 00:00:51] 我們要把什麼什麼什麼專業
[00:00:51 - 00:00:54] 也做成國家先進製造業產業集群
[00:00:54 - 00:00:55] 那到最後的時候
[00:00:55 - 00:00:56] 不管是在政策上
[00:00:56 - 00:00:58] 還是在創業資金
[00:00:58 - 00:01:00] 项目 扶持 需求 动作
[00:01:00 - 00:01:01] 都会有一定的政策的
[00:01:01 - 00:01:02] 因为五年以后
[00:01:02 - 00:01:04] 要总结这五年做的状况
[00:01:04 - 00:01:06] 如果说你对省份货的城市
[00:01:06 - 00:01:09] 有这样的一个倾向的话
[00:01:09 - 00:01:10] 那么你最好是看一下
[00:01:10 - 00:01:12] 相关省份货城市的
[00:01:12 - 00:01:13] 人大广告
[00:01:13 - 00:01:13] 那什么时候告诉你呢
[00:01:13 - 00:01:15] 你该保什么专业才能够
