BV号：BV1iqsoe3EsU
标题：BV1iqsoe3EsU
链接：https://www.bilibili.com/video/BV1iqsoe3EsU
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 08:06:13

[00:00:00 - 00:00:02] 但是我现在是有一个非常大的赞心
[00:00:02 - 00:00:03] 就是如果车辆工程选的话
[00:00:03 - 00:00:06] 就是等于选了行业太窄
[00:00:06 - 00:00:07] 那家长是这样子
[00:00:07 - 00:00:10] 就是你要知道所谓的运载工具
[00:00:10 - 00:00:10] 我们经常讲
[00:00:10 - 00:00:12] 车辆工程所谓的它是一个
[00:00:12 - 00:00:14] 但是这个专业在交通类当中
[00:00:14 - 00:00:17] 它有一个非常更好的名字
[00:00:17 - 00:00:18] 叫做运载工具
[00:00:18 - 00:00:20] 就是运载工具它指的是很多的
[00:00:20 - 00:00:24] 比如说运载工具当中包含我们的车辆
[00:00:24 - 00:00:25] 包含我们的军用车辆
[00:00:25 - 00:00:26] 包含我们的高铁
[00:00:26 - 00:00:29] 包含我们的各种各样的就运载工具
[00:00:29 - 00:00:30] 所以说的话就运载工具
[00:00:30 - 00:00:31] 你船也是运载工具
[00:00:31 - 00:00:33] 飞行器也是运载工具
[00:00:33 - 00:00:35] 然后的话高铁也叫运载工具
[00:00:35 - 00:00:38] 然后我们的乘车也叫运载工具
[00:00:38 - 00:00:39] 所以说的话就是我个人觉得
[00:00:39 - 00:00:42] 它没有你想象当中那么窄
[00:00:42 - 00:00:43] 对 而且的话再有什么呢
[00:00:43 - 00:00:46] 就是现在所谓的人工智能
[00:00:46 - 00:00:49] 对于运载工具它的负能是很强的
[00:00:49 - 00:00:52] 就比如说我们现在开的车是越来越智能的
[00:00:52 - 00:00:55] 它不简单的是一个所谓这个车它能开走
[00:00:55 - 00:00:57] 因为你会发现我们很有可能
[00:00:57 - 00:00:58] 就是要把我们自己的车
[00:00:58 - 00:01:02] 或者要把运载工具当成我们另外的一个价
[00:01:02 - 00:01:05] 我们要有这种乘坐的舒适感
[00:01:05 - 00:01:07] 体验感 智能感
[00:01:07 - 00:01:09] 要多增加这样的感觉
[00:01:09 - 00:01:10] 所以说的话
[00:01:10 - 00:01:12] 因为有这样的一个变化
[00:01:12 - 00:01:14] 所以说它的市场需求量
[00:01:14 - 00:01:16] 它其实一直在所谓的放大
