BV号：BV1sB4y1e7Sr
标题：BV1sB4y1e7Sr
链接：https://www.bilibili.com/video/BV1sB4y1e7Sr
识别语言：zh
语言置信度：1
分段数：25
生成时间：2026-04-03 18:25:42

[00:00:00 - 00:00:01] 出国的时候主要看一下几个东西
[00:00:01 - 00:00:03] 首先第一个东西就是你愿效到党次
[00:00:03 - 00:00:05] 就是你在我们国内是不是985
[00:00:05 - 00:00:06] 是不是2211
[00:00:06 - 00:00:07] 是不是双一流
[00:00:07 - 00:00:08] 然后第二呢要考到什么呢
[00:00:08 - 00:00:11] 就是你本科成绩的平均基点
[00:00:11 - 00:00:12] 你的基点怎么样
[00:00:12 - 00:00:13] 你平时本科成绩怎么样
[00:00:13 - 00:00:14] 然后第三的话才是什么呢
[00:00:14 - 00:00:16] 就是你的一个东西叫拖鸭成绩
[00:00:16 - 00:00:19] 然后的话如果说你要是将来去保研
[00:00:19 - 00:00:20] 想去考研的话
[00:00:20 - 00:00:21] 那第四的话就要看什么呢
[00:00:21 - 00:00:24] 就是看你本科期间的科研情况
[00:00:24 - 00:00:25] 为什么我们有的时候
[00:00:25 - 00:00:26] 在报局院的时候关注说
[00:00:26 - 00:00:28] 这个学校有没有相关的硕石点
[00:00:28 - 00:00:30] 那就是为了能够让你将来在考研的时候
[00:00:30 - 00:00:32] 能够复试阶段
[00:00:32 - 00:00:35] 人家老实问说你本科阶段有没有给你的导师做过科研项目
[00:00:35 - 00:00:37] 你有说实点你做科研项目
[00:00:37 - 00:00:39] 你没有说实点你科研傻
[00:00:39 - 00:00:40] 对不对
[00:00:40 - 00:00:42] 所以说的话这个大家一定要去注意一下
