BV号：BV1PV4y1U7H6
标题：BV1PV4y1U7H6
链接：https://www.bilibili.com/video/BV1PV4y1U7H6
识别语言：zh
语言置信度：1
分段数：17
生成时间：2026-04-03 15:26:53

[00:00:00 - 00:00:02] 就是你不要搞那些
[00:00:02 - 00:00:03] 華里胡哨的
[00:00:03 - 00:00:04] 就是成天給人畫大餅
[00:00:04 - 00:00:05] 你第一步這樣
[00:00:05 - 00:00:06] 第二步這樣
[00:00:06 - 00:00:07] 第三步那樣
[00:00:07 - 00:00:09] 咱什麼實力
[00:00:09 - 00:00:10] 對吧
[00:00:10 - 00:00:11] 就跟我們前兩天打灌難似的
[00:00:11 - 00:00:13] 我得有炸呀
[00:00:13 - 00:00:14] 對吧
[00:00:14 - 00:00:15] 又對面的哥們
[00:00:15 - 00:00:16] 上網是炸他呀
[00:00:16 - 00:00:18] 我沒炸呀
[00:00:18 - 00:00:19] 對吧
[00:00:19 - 00:00:20] 我就沒有那實力呀
[00:00:20 - 00:00:21] 對吧
