BV号：BV1Us421u7q3
标题：BV1Us421u7q3
链接：https://www.bilibili.com/video/BV1Us421u7q3
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-03 10:22:00

[00:00:00 - 00:00:01] 关注张老师的应该知道啊
[00:00:01 - 00:00:03] 我每年都要介绍不少学校
[00:00:03 - 00:00:06] 但是可不是每一所都能够反复提到的
[00:00:06 - 00:00:08] 就比如今天要给大家说的这一所
[00:00:08 - 00:00:09] 不仅直播里面提过很多次
[00:00:09 - 00:00:11] 之前呢也给大家专门的讲过
[00:00:11 - 00:00:13] 他就是咱们东北优实力有特色的
[00:00:13 - 00:00:16] 21双一楼高校东北林业大学
[00:00:16 - 00:00:19] 就像之前说的东北林堂的可能明显没有那么大
[00:00:19 - 00:00:20] 但是实力绝对靠谱
[00:00:20 - 00:00:22] 在业内呢也是数一数二
[00:00:22 - 00:00:25] 而且他还是咱们大陆地区面积最大的大学
[00:00:25 - 00:00:26] 没有之一啊
[00:00:26 - 00:00:28] 光那两个实验林场的面积
[00:00:28 - 00:00:31] 就相当于458个故工了
[00:00:31 - 00:00:32] 至于向学科专业
[00:00:32 - 00:00:33] 培养就为这些
[00:00:33 - 00:00:34] 去年的影响的很细了
[00:00:34 - 00:00:36] 重复的咱们今儿呢就不多说了
[00:00:36 - 00:00:38] 主要还是讲一讲新东西
[00:00:38 - 00:00:40] 比方说在专业这一块
[00:00:40 - 00:00:41] 我去年不是说
[00:00:41 - 00:00:43] 东北林大国家医留本科专业很多
[00:00:43 - 00:00:46] 而且每一个学院都有医留专业嘛
[00:00:46 - 00:00:47] 那在这个基础之上呢
[00:00:47 - 00:00:48] 今年啊它又新开设了
[00:00:48 - 00:00:50] 马克的主义理论
[00:00:50 - 00:00:51] 智慧林业
[00:00:51 - 00:00:53] 农林智能装备工程
[00:00:53 - 00:00:55] 智能建造与智慧交通
[00:00:55 - 00:00:59] 国家公园建设与管理这五个新的专业
[00:00:59 - 00:01:00] 听名字你就知道
[00:01:00 - 00:01:01] 符合国家战略需求
[00:01:01 - 00:01:04] 以后就业发展这块肯定有优势
[00:01:04 - 00:01:06] 去年咱们还说东北领大在人才培养商
[00:01:06 - 00:01:08] 有一些独有的特色
[00:01:08 - 00:01:10] 尤其是向民学内、林业工程内
[00:01:10 - 00:01:13] 生物科学这三个成动班
[00:01:13 - 00:01:14] 还记得咱们去年提到他
[00:01:14 - 00:01:16] 专门培养创新人才的那个
[00:01:16 - 00:01:18] 未来技术学院部
[00:01:18 - 00:01:20] 三个成动班就在这个学院
[00:01:20 - 00:01:22] 今年呢还都升级了
[00:01:22 - 00:01:24] 除了本朔博贯通
[00:01:24 - 00:01:25] 像導師制小班說客
[00:01:25 - 00:01:28] 主服修雙學位都給你安排上了
[00:01:28 - 00:01:31] 在獅子這一塊也都是大師明師
[00:01:31 - 00:01:33] 從院士到教學明師
[00:01:33 - 00:01:35] 再到外國學者的都有
[00:01:35 - 00:01:37] 這幾個班的畢業趣向
[00:01:37 - 00:01:38] 咱們之前也都著重講了
[00:01:38 - 00:01:39] 尤其是深造
[00:01:39 - 00:01:40] 升學率高不所
[00:01:40 - 00:01:42] 去的還都是好學校
[00:01:42 - 00:01:44] 保研的九成以上都去了9852
[00:01:44 - 00:01:47] 最關鍵的是這幾個班的錄取分數
[00:01:47 - 00:01:48] 也都很有好
[00:01:48 - 00:01:49] 像深造
[00:01:49 - 00:01:51] 那報這幾個班準沒錯
[00:01:51 - 00:01:52] 有同學可能會說
[00:01:52 - 00:01:54] 张老师八家班升学率能不高吗
[00:01:54 - 00:01:55] 没关系
[00:01:55 - 00:01:58] 咱们再看一看东北临大的整体升学率
[00:01:58 - 00:01:59] 就我了解
[00:01:59 - 00:02:01] 他的2023届毕业生了
[00:02:01 - 00:02:04] 有四成以上都上岸去了国内外的名校
[00:02:04 - 00:02:06] 而且推便比例也是一年比一年高
[00:02:06 - 00:02:09] 2024届已经超过了20%了
[00:02:09 - 00:02:11] 相当于每五个人里边就有一个保员的
[00:02:11 - 00:02:13] 你想想这是什么概念
[00:02:13 - 00:02:14] 还有一点
[00:02:14 - 00:02:16] 我要专门提一下就是转专意
[00:02:16 - 00:02:18] 东北临大在这方面是很有特点的
[00:02:18 - 00:02:22] 它是多致愿而且不设成绩门口
[00:02:22 - 00:02:24] 每个人都还有两次机会
[00:02:24 - 00:02:25] 这要是再转不了啊
[00:02:25 - 00:02:27] 那就真不能怪学校了
[00:02:27 - 00:02:28] 除了转专业
[00:02:28 - 00:02:31] 这个学校交叉培养的也搞得很好
[00:02:31 - 00:02:34] 有很多前沿的心情的
[00:02:34 - 00:02:37] 腐休专业和微专业供大家选择
[00:02:37 - 00:02:38] 可别小看这些啊
[00:02:38 - 00:02:39] 以后写到简历里边
[00:02:39 - 00:02:41] 那可都是你的竞争力
[00:02:41 - 00:02:42] 老说东北林大
[00:02:42 - 00:02:45] 真不是说咱们偏谈咱们老家的学校
[00:02:45 - 00:02:46] 大家翻粉之前的视频
[00:02:46 - 00:02:48] 再结合一下张老师今天讲的这些
[00:02:48 - 00:02:49] 就不能看出来
[00:02:49 - 00:02:52] 他真的是一所實力願抽名氣的好學校
[00:02:52 - 00:02:54] 多關注一下不會錯的
