BV号：BV1yW4y1s7j2
标题：BV1yW4y1s7j2
链接：https://www.bilibili.com/video/BV1yW4y1s7j2
识别语言：zh
语言置信度：1
分段数：24
生成时间：2026-04-03 17:01:23

[00:00:00 - 00:00:03] 您不是说劝人学法牵刀万寡吗
[00:00:03 - 00:00:04] 这话我先跟你说一下 家长
[00:00:04 - 00:00:06] 劝人学一天打了一批
[00:00:06 - 00:00:08] 劝人学法牵刀万寡
[00:00:08 - 00:00:11] 这个话的出处不是我这张嘴
[00:00:11 - 00:00:14] 我只不过有的时候直播当中我顺带说了
[00:00:14 - 00:00:17] 但不代表这个东西是我原创的
[00:00:17 - 00:00:19] 然后市面都这么说
[00:00:19 - 00:00:21] 为什么所谓的劝人学法牵刀万寡
[00:00:21 - 00:00:23] 主要是因为律师资格证不太好考
[00:00:23 - 00:00:24] 即使是现在
[00:00:24 - 00:00:26] 咱们的律师资格证的过关率
[00:00:26 - 00:00:28] 已经提高到将近20%了
[00:00:28 - 00:00:30] 但是它也不是特别的好考
[00:00:30 - 00:00:32] 就是一旦你学了法学以后
[00:00:32 - 00:00:33] 你律师资格能考下来
[00:00:33 - 00:00:35] 就会面临一个很尴尬的地步
[00:00:35 - 00:00:37] 就是相当于你做律师你也做不了
[00:00:37 - 00:00:38] 考公务员的话
[00:00:38 - 00:00:39] 港就没有原来那么多
[00:00:39 - 00:00:41] 但是你只要能把律师资格能考下来
[00:00:41 - 00:00:43] 你考一个体制内的公务员
[00:00:43 - 00:00:44] 相对还是比较容易的
[00:00:44 - 00:00:46] 竞争压力就没有那么大
