BV号：BV1734y1Q7mP
标题：BV1734y1Q7mP
链接：https://www.bilibili.com/video/BV1734y1Q7mP
识别语言：zh
语言置信度：1
分段数：79
生成时间：2026-04-03 22:32:49

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪凤老师
[00:00:02 - 00:00:03] 今天是教师节
[00:00:03 - 00:00:05] 首先祝愿所有的老师们都能够节日快乐
[00:00:05 - 00:00:07] 那么从今天早上开始
[00:00:07 - 00:00:08] 很多同学也私信我
[00:00:09 - 00:00:10] 来跟我说节日快乐
[00:00:10 - 00:00:12] 在这里要跟大家说一声谢谢
[00:00:12 - 00:00:14] 那么这么多年来很多朋友
[00:00:15 - 00:00:16] 以为我只是个段子手
[00:00:16 - 00:00:17] 或者说以为我是个相声演员
[00:00:17 - 00:00:18] 说张老师
[00:00:18 - 00:00:19] 你说是你是老师
[00:00:19 - 00:00:20] 你到底教什么的
[00:00:20 - 00:00:21] 对吧
[00:00:21 - 00:00:22] 很多同学都觉得你是老师
[00:00:22 - 00:00:23] 你到底教什么的
[00:00:23 - 00:00:26] 其实我主要在两个方面上去给大家知道
[00:00:26 - 00:00:29] 一个方面是在高考的志愿田报上
[00:00:29 - 00:00:31] 因为现在有的省份老高考
[00:00:31 - 00:00:32] 有的省份新高考
[00:00:32 - 00:00:34] 有的省份用专业家院校模式
[00:00:34 - 00:00:37] 有的省份叫院校家专业组模式
[00:00:37 - 00:00:38] 这都不一样
[00:00:38 - 00:00:41] 那么我会通过我对于高校的了解和研究
[00:00:41 - 00:00:44] 给大家更好的一个指导或者建议
[00:00:44 - 00:00:45] 那另外一方面
[00:00:45 - 00:00:47] 我会在考研这方面
[00:00:47 - 00:00:49] 帮助大家选择院校选择专业
[00:00:49 - 00:00:50] 因为在考研的时候
[00:00:50 - 00:00:54] 确实学校和专业之间差别还真的是比较大的
[00:00:54 - 00:00:57] 因为我们中国的本科专业目录
[00:00:57 - 00:00:58] 和研究生专业目录
[00:00:58 - 00:01:01] 其实它并不对等
[00:01:01 - 00:01:02] 比如说给大家随便举两个例子
[00:01:02 - 00:01:04] 你看本科阶段的时候
[00:01:04 - 00:01:06] 电子吸吸工程它就是一个专业
[00:01:06 - 00:01:08] 但是在考研的时候
[00:01:08 - 00:01:10] 电子是电子的信息是信息
[00:01:10 - 00:01:12] 它是两个完全不同的专业
[00:01:12 - 00:01:14] 电子考的专业课和信息考的专业课
[00:01:14 - 00:01:15] 它就完全不一样
[00:01:15 - 00:01:18] 但你在比如说我们在本科阶段的时候
[00:01:18 - 00:01:19] 我们要学了一个专业
[00:01:19 - 00:01:20] 叫做工程项目管理
[00:01:20 - 00:01:21] 它在考研的时候
[00:01:21 - 00:01:23] 它在没有工程项目管理这个专业
[00:01:23 - 00:01:25] 工程项目管理它是个方向
[00:01:25 - 00:01:26] 你考的叫管理科学业工程
[00:01:26 - 00:01:28] 工程项目管理方向
[00:01:28 - 00:01:29] 管理科学工程分成
[00:01:29 - 00:01:30] 工学管理科学工程
[00:01:30 - 00:01:32] 和管理学管理科学工程
[00:01:32 - 00:01:33] 工学的管理科学工程
[00:01:33 - 00:01:34] 它数学考数学1
[00:01:34 - 00:01:35] 英语分数线很低
[00:01:35 - 00:01:37] 而管理学的管理科学工程
[00:01:37 - 00:01:39] 它英语分数线相对较高
[00:01:39 - 00:01:40] 但是数学点
[00:01:40 - 00:01:41] 但是数学点考数学3
[00:01:41 - 00:01:43] 那哪些需要上工学招呢
[00:01:43 - 00:01:45] 哪些需要上管理学招呢
[00:01:45 - 00:01:46] 你看
[00:01:46 - 00:01:48] 这个工作就要很细
[00:01:48 - 00:01:51] 所以说我是在选择的时候会出现
[00:01:51 - 00:01:52] 帮助大家告诉你
[00:01:52 - 00:01:53] 你该怎么选
[00:01:53 - 00:01:55] 你的方向应该在哪里
[00:01:55 - 00:01:56] 我是干这个的
[00:01:56 - 00:01:58] 这两年一直在做这方面的事情
[00:01:58 - 00:02:01] 以后我也会更加努力的帮助大家
[00:02:01 - 00:02:02] 解决大家的问题
[00:02:02 - 00:02:05] 当然我也会把我的所学到的东西
[00:02:05 - 00:02:06] 去交给更多的人
[00:02:06 - 00:02:09] 能够让像我这样的人更多
[00:02:09 - 00:02:10] 然后解决大家的问题
[00:02:10 - 00:02:11] 好吧
[00:02:11 - 00:02:11] 我会继续努力的
[00:02:11 - 00:02:12] 感谢大家的支持
[00:02:12 - 00:02:13] 谢谢
