BV号：BV1tX4y1A7f5
标题：BV1tX4y1A7f5
链接：https://www.bilibili.com/video/BV1tX4y1A7f5
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 23:28:24

[00:00:01 - 00:00:02] 他们家还在去哪儿啊
[00:00:02 - 00:00:05] 老师 我想把你吃
[00:00:05 - 00:00:09] 我们先往东京去过
[00:00:09 - 00:00:12] 比如说有个战略通话
[00:00:12 - 00:00:13] 别的武校
[00:00:13 - 00:00:16] 金融 筷子 通信 计划机 读目的
[00:00:16 - 00:00:16] 宿学
[00:00:16 - 00:00:18] 是不是有这样的教学
[00:00:18 - 00:00:19] 毛病分业就小学生
[00:00:19 - 00:00:20] 毛病分业
[00:00:20 - 00:00:21] 所以说老孩子要学生
[00:00:21 - 00:00:21] 毛病分业
[00:00:21 - 00:00:22] 对
[00:00:22 - 00:00:22] 好了
[00:00:22 - 00:00:31] 毛病和分业有
[00:00:31 - 00:00:32] 喜欢就许喜欢许
[00:00:32 - 00:00:33] 你今天所有的女生
[00:00:33 - 00:00:34] 你不用管她吗
[00:00:34 - 00:00:34] 不
[00:00:34 - 00:00:35] 还
[00:00:35 - 00:00:36] 许
[00:00:36 - 00:00:37] 全
[00:00:37 - 00:00:37] 都
[00:00:37 - 00:00:37] 最
[00:00:37 - 00:00:37] 还
[00:00:37 - 00:00:38] 许
[00:00:38 - 00:00:38] 最
[00:00:38 - 00:00:38] 还
[00:00:38 - 00:00:38] 许
[00:00:38 - 00:00:39] 就是
[00:00:39 - 00:00:39] 你们
[00:00:39 - 00:00:39] 和
[00:00:39 - 00:00:39] 人
[00:00:39 - 00:00:40] 人
[00:00:40 - 00:00:40] 人
[00:00:40 - 00:00:41] 我每天都和
[00:00:41 - 00:00:41] 人
[00:00:41 - 00:00:42] 人
[00:00:42 - 00:00:44] 我说这个要我们去哪儿啊
[00:00:44 - 00:00:47] 老师 我想让我们家孩子去一个离家不远的大
